2a30, 905a
f33d, d037
32c6, 007e
22ed, 8b40
05bc, 9272
4850, 45ae
95ef, 7edd
6eb6, b648
3adc, b534
387d, a2ff
ab5c, eeed
8651, 1518
3441, 29a2
17e7, ea6b
3aa9, c978
f7dc, b36f
3227, f3eb
573a, 320d
1337, f66b
1df3, bc86
10f8, 63fd
a814, 901a
137b, 12e7
5126, 5304
3296, 9d1e
7e44, ff7c
0763, 2567
813a, d804
b536, 2b2b
7c74, aa85
68a6, 4d43
0d24, 0bce
c09a, f50e
aaa7, 6bdd
2794, 7263
e171, bc2c
1793, d883
de9e, 833c
a6e2, ec51
1dc4, 1ebc
d49a, b32a
0011, 317c
6cb7, 3a8d
11f3, 11f8
73e4, 3381
ef6f, c76c
2ce7, 9271
71e3, 6868
9bcf, 272e
9a6d, 84bf
0bde, 841c
c7bb, 2668
a15d, 749d
6c31, 67a0
7439, d7f0
dbe9, e720
724b, 32ee
3c52, d9da
2a9e, fe3f
ec36, 6cf0
d5f1, 672a
9036, 702c
982f, e0be
4b2a, c5d2
fed7, f3d8
2e19, ed04
ab25, 879c
1c2b, de19
2b32, 8c20
70c1, c0c1
c9cd, 7818
ea77, 9835
1453, 3b8a
a447, 0fec
5ce2, f3fb
0236, 0f17
d871, ca9d
6525, 472b
40ea, 7c3d
dab4, dab9
bc43, 8b24
84a4, eaa5
3c7b, 109e
ee22, d6c2
ac8e, 586f
53f8, 011e
0264, d75d
6358, 18cc
3a99, 59a6
1032, 2a4a
9ca4, b07e
decd, 63ca
1a34, 6eac
1593, 85e0
62c1, 85cd
bcb8, ce3b
ed6a, 5c75
d30d, bc28
74dd, 81df
293d, 1d7d
7588, 87a0
08c9, 179a
2b49, 1ab0
a454, 17ab
aeb3, 9af2
e7d9, e1cd
33b8, 0b4e
dec6, f61f
b9c2, 197c
5396, adfb
87bc, 1fb6
e1a3, bb3d
c21f, 4f40
b3e9, 1fa5
46f2, 8fb0
0ae1, 2256
eab9, c094
8cf1, f8a0
5cdc, 06b2
7564, b7ae
b835, 7650
d0fd, 17fa
1361, cdc4
e919, d8db
391e, 6f86
ca21, c88f
66cc, 9fc0
0f9a, f1fe
357c, bfb0
f618, 2d49
35fc, 4a39
be7d, 51de
19b9, 0866
6014, 03bc
6134, bdbc
41f8, 63f4
e2e1, 8ee2
73c5, a736
8f38, c64c
a0b4, 5435
0e97, 3bbd
9d9a, e6d7
3793, b341
1078, 78ef
b09d, 3b11
9242, 7a70
c93c, 6829
2d59, 8304
1ab2, 3e08
4057, 2c72
ffe2, fb0e
a93b, 8df5
4ef1, 6ed0
019e, 89f7
220d, 184d
863b, e825
a9d7, 4f49
d25f, a51f
d2e9, b1b4
acf4, 46ab
e980, eb12
7767, ca58
0446, 003d
f5a3, 6854
86f9, 8ad8
569e, 6ec6
a37b, c86b
fb1e, fab7
0aac, 7046
dea8, f7dd
6d43, 98ae
ad1f, 768e
04fe, 125d
2022, b419
b2d4, d43c
86c9, cec2
ca56, da7e
a9aa, 3462
7553, 0084
5312, 54bd
474b, a1ed
5f60, dcb5
14f1, 8947
b7ca, 2d52
0fbd, 222d
055d, 7f1a
c223, b372
c5b2, 847c
52e5, 9aac
e3b7, ba4e
3034, ec68
0dee, f68e
8599, 4350
bd08, 6f68
c6d9, 4925
e9e0, 7b6a
8e4f, 6614
2e53, c58b
b7ff, af45
5bbc, 8a7d
0c47, 8d12
e4c1, b100
6c4f, 5492
a3b5, 4d11
8e44, 9f4c
e2c2, a2f0
9e19, 3ac3
2a82, 09cd
79ee, 8296
965e, 8d00
5006, 7970
767f, 3beb
4437, 7baf
7d17, d717
d7ef, 5167
5d18, 8003
6f6d, 5285
435e, e040
d8e6, 1fb4
c194, 4d70
faab, 5bc0
b435, 68fd
ca3e, 37b5
76f7, a7e9
0aae, a0cb
2a7d, 4605
7c6d, f45c
606f, 1336
a823, eadb
6e0a, 36f5
9d95, 5d57
6bc4, 8517
313e, 22e8
9d7b, 32de
b653, fff7
1235, 84fc
01fc, aeaa
1abb, 4ebc
b912, f5dd
c4bd, 282d
2c5c, 8e30
1af6, 3dab
d82e, 3f44
58bd, 8855
119e, 61be
1fa9, 4b1c
ed0a, 697d
72eb, 63af
34c1, 3203
270e, 1c70
3939, d219
ad7b, 88b1
d32f, b3fb
ccba, 16a4
4279, 0873
7bb8, f6e0
61f3, 999c
7819, 9684
3153, 284d
807e, 9f10
7784, 40a2
8de2, c8c6
f6ca, 220a
7cc0, dab3
db91, d517
7a2c, e9da
91e6, 8861
1144, 2098
1ccc, b0fa
efe0, 4387
0979, 37ea
b574, 935a
b1c8, 501d
9ff9, 8036
45ac, 2001
a140, 5076
48d3, 990e
1138, 8224
a40a, a509
4375, 76f3
2082, 5c20
bbcc, 9920
30f7, cec1
5bd2, d247
0da2, ca41
b94c, 2dda
c093, 1434
9f76, 6888
f3e3, 7b57
c820, 1fa6
33de, 35b6
2351, 6d16
4e8f, 965a
4294, 9746
b491, e6ee
8394, 989c
687a, 19c5
d66a, 2c13
d66c, 1f3c
4b0b, d977
7c34, 30a3
ebc8, 0527
08af, 3302
ec41, 01b3
27e4, 3cba
490a, 2aab
d48d, c294
d2f6, 6d59
9278, 010b
ec6c, 0c6c
bbac, 8af7
05d4, daa6
2ccd, b3db
5ca5, bf88
3786, 45e5
f4fa, bb72
238d, 267a
3200, fa07
9cf6, e7ae
118d, 85e9
c4f2, 7cd1
2652, b9cc
9e7d, cd1c
c46f, 7a8f
ec2b, c015
d8b1, df18
7726, 3be8
0298, 7619
3de8, 8b88
643b, eecb
01c3, deb0
742d, 32df
c290, 128c
3d40, ad1b
61f4, 3ddb
759b, 7e06
ce65, aab2
d7ba, 3cef
a888, fd3f
7dcf, 323f
ba62, 798d
ef3f, e61e
6911, 3f28
b68c, b4f2
daf9, f9f6
b0f7, 3046
526e, 587d
29f5, 0d29
a983, 8a58
f615, f3a6
5e22, a974
0647, fadb
8178, f3e6
7f44, 5008
80fc, a6c9
0133, d227
d27c, ef66
e746, 07db
9a13, e7bc
4b83, d82b
c80e, 1331
110d, 4ba3
9bc2, 80d3
a373, 9e51
9ed0, bfd0
1617, 4398
4531, 0c82
4e44, ae8f
659c, 39e8
b20e, 1bb6
45cb, f7f7
0e36, d462
de2f, bf4b
b1c2, 65a7
8511, f2f8
526b, fd08
98b2, 84de
c11f, afd6
6b20, e0bc
3185, 39a9
9ce7, 3b33
f4a8, b94a
2da9, 2dd9
d707, be98
445e, cb01
bf0c, 9732
24be, 1312
e3b7, ba4e
cc9b, 7c46
deb7, c0c4
e701, e70f
e361, bb39
5d85, bc89
6318, d003
c0f3, 778f
06e4, 6eaf
8a96, bcba
45be, ef92
6f60, bd04
65ad, 7ddc
5b0e, 0db9
9a84, 5d8d
a940, 3cbc
35d1, 21d0
13ad, a694
7773, 57aa
6648, 6cca
946f, 7e1a
20c6, 6b1e
486c, 0b61
4541, 1ee9
00ad, 52ad
f618, 2d49
3f9c, 85e7
4742, 8ca4
6d5c, eaf8
d086, f290
d1de, fb84
631e, 2dbf
a066, cece
8cba, 6732
153d, 0114
e109, 5820
c43f, 0437
4e71, 937f
ee15, 67a8
9b1e, 19a3
8b63, 6c35
ffd8, 1ddf
d162, 9020
959e, d7fc
9c77, 4c77
219c, bb33
cd5f, 7eed
4c44, 365e
