5747, 6862
4872, c7b1
6a84, dd58
5536, 559c
684d, a809
5aea, 8c06
f61d, 77d2
1800, 46e1
b45f, dfd5
e176, 4318
2262, 1535
ee78, 5151
1617, 2440
02d9, 93d3
b049, 12b6
2df0, 21df
f234, fbc9
5cd3, 830f
ef06, 4c52
3453, 81f7
23b5, 7718
b55f, 1c1c
cf81, f511
711d, 5d81
34eb, 0490
a732, a4e8
0699, 0d85
6f08, 6cce
e524, 99c0
9d8f, 5020
65f6, faa6
7d27, 7121
eba5, 71f9
c427, 6e11
f17e, 18d4
c25b, 95ba
d4cd, bfb8
a508, b8ca
4c69, d057
e3d2, 5fc3
8edb, 4da4
6c7c, 2cad
2dfb, 47cd
a135, 1ecb
0568, a9a8
cb18, ca1d
c927, 3f74
a4d1, 2cf5
afd0, d96c
7574, 708a
df24, 1eb2
ede6, 4716
969a, 4164
0558, 3548
721c, b089
7acb, 270a
9b27, 36dc
8d88, 8cfd
92fe, 2bdc
50e0, 8abb
3320, f4a6
1df8, a589
ba22, ff79
4c77, 532d
d7f7, fb94
f57b, a347
8bff, 7493
aaad, 380e
fd7c, 0479
95cc, 03c9
8208, 7ad6
d77b, de11
d085, 0f56
8e27, 3e1a
82ff, fe46
19a2, 13c3
6565, acc9
7784, 75de
7e95, 4d96
24b0, 1716
eff2, 760c
c7c0, c8f3
3f44, 034b
1cb6, e8e8
f864, 68fa
924b, 605b
7f86, bae7
eb44, 4aee
4e44, e44e
207f, 1950
614f, 6ab5
3491, e46c
023e, c06a
b92c, 5d66
d1bb, d11a
920f, 107d
598b, c3d7
25a7, b6c4
9e34, 4ca7
f901, a656
0ead, c801
0e58, d40c
abe1, d15a
cab2, 4905
2666, 7ca0
b620, 7c4c
2321, 70e8
ccb3, 0313
6608, 39f1
1210, 4673
f83b, e528
d1a9, 0863
c4ad, d86b
7e67, c6f4
5b16, bd49
796b, ef6b
97d9, 98d5
6875, 9b42
b152, 155e
499e, 83f1
59a2, 5963
9bc5, 0512
d479, 9d89
45b1, 491d
cbc5, fe65
d754, bd23
0556, 391f
ba7f, b12c
c69b, ffde
4fc0, 847b
e056, 4925
f420, 99ee
0f7f, 4608
0f41, cc5b
3ee0, 49f6
951d, 0fe7
26d1, 9580
5b06, 866d
99e4, ffea
0989, d95f
b486, 3c27
61c7, 686b
5458, 1e97
7e64, 93d6
f989, f615
065a, 031b
0949, 03da
6da9, 6ba3
3aa3, 312e
4ea0, 28dc
8f91, 95be
bc47, 1f8d
fa4a, 8d4a
3b42, ae22
6912, 4931
b248, 7641
3e76, 37fd
a8eb, 506c
a1a1, d7db
d98a, 3149
6d87, 6de7
370f, d63b
9314, 8d55
7cbe, f9ff
39e7, 34fb
90b0, a040
992f, 3645
5304, 6f4f
99d3, 9d17
c19d, 3b3e
7a27, bb11
71b1, b663
dae4, cb5d
cc44, 9677
3e26, 7049
115b, 488e
2b01, 7a07
9371, c244
4acd, eec1
1b41, d14f
963f, 3e58
a5f3, 6533
c277, 93b4
6df4, 3ea4
cd4d, 65f9
e965, 766c
7374, 6d98
aab6, 9b7c
e0bb, 7917
bf82, eec0
45e9, 4ac4
00d5, e4e2
feb9, dd2c
6b61, 9acb
fffa, ac94
1b0a, 613f
3840, 4761
2176, 2b1f
acd7, 14cd
43b8, e011
5a68, 32c1
7c7c, b640
a849, 9776
6011, 6f11
a82e, dbe9
0e50, 65ea
5083, 894f
d66a, f9f8
4637, a616
6824, be75
448f, 9ff6
afc4, c43d
68e4, de4e
17df, 4b60
ef48, efb1
9fd6, 4cbd
4f5e, 42b1
bf07, c551
dcdc, de40
459e, 93ba
2caf, 5f65
accd, 28fe
d860, a88d
2e17, 17ed
8707, 583a
6dbc, b99f
ec52, 48c2
53b2, ea71
25be, 525b
6814, 7228
629d, c555
33e4, f245
aece, a218
d6cc, a2ff
c2c9, fae2
74a8, 516e
2208, b0dd
54a3, e745
a3e0, c9d4
fe8e, 5292
8c01, 8a4c
ebe6, eb86
15e5, 84a9
8dc8, 92ca
a3eb, d4a8
ab87, ac63
135e, 7c78
ba69, 47f6
2251, 751a
253f, 0489
ab39, be34
cde1, d065
741d, 7e18
2cc9, 1d7d
0ccb, 7c18
62ed, 1f09
be20, 8473
973c, a64f
f478, 0e2e
9e7c, fd25
8a87, 7b7b
118f, 11ef
75ef, b791
9c77, d65e
e805, e12d
4a3d, 7868
bc71, 9dc1
6d1c, f719
2dea, e329
0594, 6237
27c5, 733b
13ca, 097c
eb5e, 426d
9344, f247
1811, 7232
3687, d6be
3e38, f4a7
8f5a, 2a5c
8fc1, e477
5567, 3285
5bc0, 2ba5
165d, bb82
055b, a02d
8dce, ec53
70fd, eac0
cefa, 9b08
1f13, 12a4
15a3, 2665
6ef5, a519
4548, 2374
d845, 564b
7873, 80e4
7dd8, b1d4
2d3c, e23b
53b6, 533e
34cc, faf2
1a6b, 48fd
7269, a16a
d648, 6f28
5779, 5729
c41d, d828
99e9, d1c4
1f65, ce18
1960, 5632
bb78, bdbd
32d4, 7eaa
cdeb, a1ea
3bbe, d7d2
70cb, e69d
83ae, 19c1
c506, cc0f
f222, c579
2cff, 6d29
df32, 074a
9279, c316
6a83, 68d8
d47e, f6f5
633d, c3ab
c156, 209c
2edb, e89b
39e8, f304
106f, 2cdc
88d7, 416d
e0bd, 37f7
6b55, 79a9
0a4a, 01eb
355a, 4964
fe0d, 45c7
2333, 6524
691a, 32b8
1a39, b4ce
965e, 6c1b
1067, 9680
579b, 0e8a
2080, b1ca
365c, 09b0
e3f2, 7b57
3f65, fca0
2b65, e8eb
d25b, d7c4
1b4d, 594c
f18f, 0889
9cc3, 0f6f
d071, f324
a369, b9d3
5bca, 44c4
e76e, 2df1
0df7, 0b13
14a0, 5bd6
e634, 2cdb
4421, 5d48
1b8c, 07e1
7745, cfbc
b8db, 9700
945d, bd67
9659, ac16
2e94, 8737
5cc8, 8b73
51ea, 1a1e
c0b5, ff13
48b3, 4e15
efd6, 89a6
54dc, 7763
1e74, 00d3
fef5, 544d
cabc, b996
6d37, 140f
6c99, ef7e
e3b4, 457b
722d, 454d
179b, 9e53
e0bc, 5f15
336e, 65a4
1ce5, bb84
e13a, 8804
cf15, c0ab
50dc, 65a6
473e, 5834
f87d, f714
ae00, 7731
95bb, ceab
4ae3, f5ed
d41d, 1692
7678, 70eb
0106, 0a9c
8925, 4342
dd8b, bd07
4106, be09
548a, 2724
5e31, 77ab
8e00, 626e
4773, 78bc
5b4a, 1a1d
0a80, 17f7
0dd0, baa4
58d5, 1034
58c7, f591
db9b, 9091
5c4f, 5e5d
f516, b58b
a18d, ab48
df3d, c3d1
fb13, 941f
43a5, 82c9
c9f5, aff9
7e50, b27e
7066, 26dc
b7fd, ca03
6acb, c8de
b9c1, 53db
e538, 20d1
fdc2, 912e
d9b2, 1e6d
4e12, 44b3
80a8, 8d32
389e, 3607
90c0, ffd3
3c29, 9f55
93ec, cfc7
4e4d, 7a4b
6d1c, f719
b923, e685
3c2d, 8296
5472, 27b6
3c60, f2c3
b928, 791e
a038, d334
d567, f2fe
4c3c, 50f6
53b4, 2b52
f272, a376
1b09, 773c
769f, 2c90
e48b, 439a
97d1, 3008
43fd, e1a5
435c, 50c9
8d2a, 4e88
fe1a, 977a
32e7, 599b
cc0f, c506
4272, ef55
b891, 8d97
b56c, e9c2
0c06, db15
9d8b, fb57
6ab1, 26c0
286e, 9e1f
16d5, 7c62
665d, d4ab
0c3f, 9f32
3a1d, ee45
9957, d641
bcd1, 1cd8
84e0, 2def
d3cc, bf1b
a488, 7842
6aee, 65f3
e184, f4cc
5698, eded
2753, b785
6605, c18e
a8e5, ffcf
58eb, 7352
c43d, afc4
e357, 848c
1d2d, 5be7
6d95, 4431
ad5f, 2c0f
08e4, 3c9c
5436, 62d8
9bc1, 67cb
376e, 568e
a396, a481
b8e5, d488
6429, 6d45
b369, ce2f
4389, 4650
d6be, 3687
49be, 55b1
e303, fa50
9ece, a1f4
d025, 2a79
0b07, 3129
1626, 12ec
5cb5, e8a0
9501, f3d1
2263, 627d
091c, 26d4
2dd9, 63ec
cad4, bd60
d97d, 2722
dc6f, a33c
738e, d998
0005, 0593
6212, 9267
4c97, ef6d
4835, a0a7
5ae7, 5a81
4b18, 1188
2486, 1872
8186, 482f
4cb0, 5f12
b6a9, 803c
d9f0, a0cf
55b4, e21a
309c, 3785
8190, 2432
0715, ad10
c366, 60f9
4ba6, e93e
35a1, db93
3f08, 598d
aa45, de20
daf4, 7819
249c, 5103
755c, bdc7
ac29, f979
b6df, 49d3
b559, 8c72
5d34, 0aa5
2227, bc48
d604, cf38
dcfa, 2e98
99e2, 44e1
2762, 4585
a72a, c7b7
6817, 6e21
93d2, fb1b
8b6f, 15f8
2730, 5a92
5583, 19dd
d13b, 6e0d
a47b, c81b
2faa, 89d8
2cf5, a4d1
c837, 1017
65bf, 9059
9e6d, d134
dd47, dd41
4060, 85dc
95db, aaf2
3fdb, fbd2
0307, dfab
47ec, dfdb
a672, d943
1d37, 5bc1
62c0, 6bed
0ee1, f757
96f6, f758
c9aa, f6cb
a68b, 8f08
72e5, 4e4b
e532, 12cf
7bf9, b893
0bab, 7071
755d, 727a
5ad3, 5a00
a6b9, 6952
002b, 634b
fbb5, 14a8
ac77, d22a
b29a, 439d
5704, f59c
d472, ddab
8269, 43d5
3e61, 324d
5300, 74bd
fa9c, bd7b
a404, f8e6
864f, aa8f
2cc3, b563
d6cc, a2ff
2e34, 743e
7e35, 710f
4644, 2378
379e, a286
f6ac, fccf
8f29, e995
278f, 565d
4faa, f553
2e99, ebf0
8d15, 5173
6607, 073c
ac3b, 93a4
6721, e825
1f74, 3593
557e, 8018
f1a0, 3b66
d557, 0831
f08f, 59c4
2bde, d696
2866, 1543
a02f, 9583
b680, 716a
ca1a, 15df
520e, 56d4
7199, ea69
2564, fc8a
a2f9, 6935
d5e4, a9be
ffba, a388
b887, f433
d392, 4257
0e1c, 6845
3364, d052
f504, 1868
8dec, 0c5b
7c3b, 13f1
8c03, 29df
9fce, cce3
7719, a374
89a6, efd6
1dcf, 98f4
dfc5, 2c1a
1123, 2882
3203, 2c15
