9ba0, 70a7
826a, eb4f
6fe3, db39
dd74, 8e66
91d2, 3841
7c29, 93c2
d9a7, d4d8
2498, 3b37
1e3b, 0444
2b7a, fecc
1c93, b247
75b9, 7bc2
cd16, 6afa
e8ea, efd7
5278, 187d
1764, 274e
d836, f3ec
a306, 4fdb
4e5b, aa66
3912, ef1c
587d, c10d
ce09, 4a89
2c40, 33d6
0558, 3deb
9b9c, a2e4
477f, c6a9
fb14, ce35
8f52, a9ae
9300, 49c4
8243, 31f5
a488, 6cc6
176c, 0428
db7e, 1f4d
03ac, df7b
c3b1, a706
3a82, b3bf
ee56, f4d8
497b, 7a19
5eff, 7c0e
0010, a0ac
de5f, c8fd
9f72, 0114
5c91, a215
dbce, 0599
7840, 9ca9
bd7e, 72f2
00a4, ed9c
5d9d, 53cf
5342, 0b5b
b03d, 242f
1536, af75
a34a, cd6c
6042, 6d5e
5256, 4aa3
54aa, 9e06
4fc4, 5573
cffc, 9b87
c49b, 97da
9dba, 2934
9e5a, 5c2b
470b, 0129
fc56, 036f
426b, 73a9
5d92, c969
69c4, 330e
7c5a, 113a
59c0, 919d
3f13, 0deb
f1f3, f308
5f44, 5156
4578, 549f
1a18, 3b8f
811e, c80c
ff47, 10c3
e8e5, 9be7
f700, d927
c24e, 4c59
32ae, 5f6b
6a02, 199d
ef64, d28c
0b0f, 2cd7
794b, da73
463e, cf0f
a3da, 54e6
4aff, ddef
3593, d881
b497, 410b
e33b, 35a1
50eb, 5d07
d80c, da3f
bf48, e718
4028, b1d0
f174, ecb8
30b9, 937f
d5a0, e74c
d0b2, f921
16fc, 8bbb
1b06, f6ff
52d6, 3018
d06e, eb05
7e4c, 93ff
0c44, 7244
6309, 59cb
f5fe, a29b
eb40, aee5
8c92, 4243
a370, 01d7
b6e1, 15d3
18f0, 1ab6
8eba, 445c
0ced, 2971
13f6, 45d0
69d1, bf12
03e6, 4688
a1f2, cb39
0cea, 67ee
b4ca, f4d9
a32d, 25fd
b12a, 2d7a
4495, 9fc5
c6d8, 6450
63f9, 61d6
5414, 7782
af49, faa0
4fc6, b67a
d47e, 578d
51db, 72f8
bdbb, af18
0879, 092e
c079, 9f6a
53b2, 994b
e707, c26f
724a, 9cde
fdc6, 6e3f
3112, 5623
c44f, 80ab
0cc8, a7f6
f71b, e49f
ade7, 916f
33bd, 812e
004a, 44b5
f996, 4c0f
c9b6, 0e01
bb99, 55b5
7e06, 6568
cb46, 55dd
78a5, 7454
a926, cfa6
5f29, 1e19
f33e, 0849
db91, 4af0
4d1f, 1d44
9173, 7486
2a79, 466f
fac4, 0e93
62ed, 58aa
37ab, 6a78
68c5, fe3b
5ec0, f2f7
a94e, 4053
7244, 0c44
f7a8, 54cb
a888, 5b3f
45ce, fec4
f09f, b8e7
d648, fd96
416a, d2c6
131d, f6e6
b8e2, a1fb
a0bf, 6e46
