f813, 6eb8
906d, 20f4
db68, ef95
fa43, 48b5
c0da, 5e44
54ce, 4641
6179, 261f
be21, 1ff1
d0fa, 7a2c
73ab, 6641
18e4, cf93
f9b8, 7f38
dc2b, f5fe
4408, 5e11
67e5, a9ce
61f2, 2c9f
00f2, 7bea
d0eb, 0896
9e7d, 60d3
2cd3, 4c98
36bb, 22f1
71ad, a9f4
9874, 77fa
df20, d9d7
2d84, 664c
09a1, 5aa8
7d53, 7653
e246, 688e
946d, cfb3
503b, ab73
7926, 505f
e783, dc0f
d073, 8eb5
33ea, 8e7d
0a95, 4645
7ac0, b784
35e3, 06e5
0661, 1403
13c1, 3a0f
353a, 807d
a6c5, 06bc
8866, bf15
779b, 08b3
cf7a, ec3c
4442, 22e1
fca2, f096
1b03, 0b46
0c6a, f2ef
c801, 1d4d
e05b, b4cc
97cb, f570
8b53, 2940
1454, 6fc1
50f2, 101a
16ce, d929
7bd6, 0a61
3180, 64a3
3e1c, d1c8
ce7e, efab
6346, 8e9d
92a8, 09ef
663d, 2d20
a7c9, 98ad
5f54, 255c
87bd, dfb4
47dd, ada0
9cb3, 645f
bdbe, 6966
b672, 4d67
1813, dbcf
b664, 0069
68bb, ec25
6973, fa14
fd81, ce83
9189, cbd7
3736, 3a44
9053, ee0e
8cfe, d921
9d78, fab5
0e4c, be3a
8b97, f40c
e6e6, c518
0c9a, 297f
c8cc, 5ebc
f000, 0a6c
3bd3, 9a33
833d, 5e4d
7702, 70d0
ac34, 8fb0
6f5f, 589c
9b80, 1842
b9d1, 4d3a
8087, edd9
b0d5, d45b
037d, b61a
e4fd, 51c4
7f69, f6c9
3b80, 72c0
b183, d15d
b67a, fba5
560d, 28dc
3931, 100b
9c90, 85dc
44f1, 5444
b9ff, e289
bfa5, 81b1
1f01, 15e2
c799, a996
ad2d, 3661
4b67, a89c
d7ab, 5b07
fbc0, 1bc0
c247, 2887
3d0f, b65c
d65d, 1139
a454, 7119
a56c, f16f
82b3, 7991
16dd, 6bcd
8a79, 0746
fcb9, ce08
f0a5, 4619
7d36, 9aba
09fa, 363f
d50b, a1b2
54e8, 6963
e743, e66a
a2e6, c83f
53f1, 380e
0e29, 5fc3
7ce5, 99c0
1b01, 449f
46a1, ddca
37d1, a953
9cf4, 81d3
224c, 3017
a34c, b649
e06c, 5b99
1140, 29fe
6111, b177
e592, 6e63
9ca9, 9ca6
4c0d, a8f1
6a6f, 9565
8c4a, 6452
2bba, 2b2a
bdff, 2ad2
e486, 225e
08ff, 06fd
2988, 92e1
570a, 8f16
ff87, e82a
0d7d, 8375
0654, cb1b
81fc, 6325
ae3b, dc59
1555, 5839
e9d7, 80e1
f3d4, c234
906e, 9033
c25d, a2ed
9d54, 1398
0569, b4c0
f787, 132f
9925, 23a8
cd78, a8f2
c7d0, 9f97
84e8, 2bf9
eb2a, 0c43
7682, 4621
fb04, 7ddc
5c53, 0726
7193, d77a
2cfa, 7a00
0bd5, 38f8
548e, a211
b9b5, a206
727c, 6e72
87d5, 39de
bd66, 21fc
c6da, 4963
2926, c939
02e2, ea7b
00d6, 2f62
1f28, c992
67af, 1873
2743, 250e
015c, 7e96
0102, b9c9
3797, dcad
293a, 6db3
bf88, dbac
16c6, fd6d
c7ae, 9cef
1225, c658
4c2f, c05c
1b2b, 229a
d082, 3243
8ceb, c533
040d, 98db
8db3, 4be6
4ba3, 2cc5
461d, 2b67
4097, 729c
67f6, ef3f
fba7, 89e3
afa4, c44e
cb56, 1edf
fffe, a8b8
b392, 3a37
c641, e63d
d734, 68e0
3796, 7a9a
6291, 14eb
f978, 9927
4e7b, 8f0c
ff37, ba6f
22e6, 928d
252f, 7472
9ef3, 8e28
3eca, f243
d076, 016b
db8a, 5184
e963, 7950
e3cc, 3d0b
f9cf, 2442
3d13, 2b4f
5d45, 59bd
0453, 7453
7546, bbe5
efc6, c830
4a6f, 13cd
795b, e845
6cc7, 3603
ab19, 016f
48c9, 713f
0f0a, c5a8
5aa9, 8c31
2c89, defd
b3ec, 5974
4d20, e4f3
028a, e3de
0a3e, 3946
09a2, 17e7
40b4, 0d02
55cf, f847
de5a, 0387
8d4f, ba43
351c, d7ce
ec5c, 515b
63a3, fd65
fe8d, da27
5324, 2ce8
3ca1, b27b
a20a, d72f
2f1d, 7c49
e899, 35dc
2ebb, e1d1
0b0f, ba76
faac, 8fe7
1518, a368
be32, 8ffd
dedf, 8c5c
fafe, 42ce
d979, b774
e93d, ed15
b21b, c040
cd98, 1711
eb20, 44f9
8139, 0a81
37da, de61
b2d3, 626b
5863, 440a
12cc, 2ce7
b5d3, b5d8
33bb, 7338
47c3, b277
da56, 2f81
3c64, 3fbb
f328, 1939
7fdd, accd
281e, 45c0
cbc7, 16ae
7ae2, 69f2
a801, 12a2
5cdd, 3494
e96f, 2e83
ffe5, 1220
a72d, 26dc
64ae, d6cd
1a88, a365
4f75, e15d
9f22, 44e4
d093, bc7f
9d78, fab5
4c77, 6505
8489, 3655
437e, c197
9b6d, d0b6
f497, 4d8a
98c2, 1380
46aa, cdd6
8cd3, 023b
1e15, 4ddd
9d5a, c98f
1fc5, ee4b
fb91, 5aa4
45d9, c575
5102, ebdd
3bbe, dd58
ba5a, eb1e
aecc, 315a
03e3, c3d1
fd90, a3e3
a1ec, f2b2
9a4a, 0135
9590, 9edd
2e2e, ac31
9ae9, a26b
c364, c054
a954, de0b
ceec, 844d
b8ee, 8324
454a, acb2
1f9b, ac27
dcc8, 0c80
6049, a0f3
66aa, 4a73
9821, 463c
3038, 0a8f
d13c, 8c3a
0857, 5484
6ae2, 8766
7ec3, 8492
4715, 3be2
b92c, 0a47
3046, 6e27
4630, 6dcb
c335, 6bf8
fe32, e86d
288c, 3908
b71e, 1375
f8c7, 621a
f1b6, 1f6e
db2b, 65ac
4fe7, 4260
40ed, 4921
750c, 5e97
f94a, 1e5b
4967, 17ea
09a7, 25be
953d, 958d
7d7e, 06ea
4879, fd4c
4d78, f2c6
1f79, 59a2
dd4f, 96cf
fddc, 05e5
c272, d404
3044, 9c93
3e3d, e096
1e61, 5c32
f1a8, eb9d
ccc4, 448e
1873, 67af
3f44, 2582
f6d0, a5f5
4973, e00a
9983, d57e
6cce, a913
