1057, 44fe
b79b, f461
f13e, fe77
8a05, db5c
8fba, 5eba
bcd3, bb0f
20fd, 2d9c
9c42, f977
1e30, 903d
f201, ba09
4176, 2cc9
3966, 3fb8
e3b1, e192
1cbf, e11a
3cf5, 82d4
c355, d36e
013b, 5f03
399c, 53d8
ebcf, 5d75
3651, 5c47
2b70, dc37
c09b, 39ad
aab7, 507a
026d, b760
920c, 2ccb
c4d4, ba9f
013d, 7aeb
3fae, 38db
997a, d277
1827, 717d
d175, 6e4b
5b01, 3047
c626, a1d3
f84b, 3afd
a045, a1c6
4482, 0fbc
d218, cd12
c0eb, 9170
56db, 1f3a
9de9, 4d67
c485, 7393
04fa, 2c5a
a414, 0ed7
398c, 6135
0671, 2f7e
13ef, 9be4
b3b1, 2192
4c99, 9a9f
92b5, ffff
5873, a5a8
980d, bdff
0e03, 0fef
0d9f, 8ee8
cf9b, 559b
4873, 3ffa
93a7, 6cae
c6e7, 2743
f977, 9c42
b82c, 6f10
66cf, abbd
54aa, e9cd
57ab, 9435
aff9, 8369
104b, 12bb
cef9, d0f9
2788, d3f3
f4fb, 4a0b
e2df, 9416
9933, 3bdf
e919, d9a6
1887, 9d37
d823, 3923
0dd3, 7d1d
4560, 662e
228a, 84f1
a757, 65c8
a6a2, 65a5
2732, 0903
0649, 7976
6375, 0538
eb91, 7399
058d, 5ef5
4004, baba
a7fc, 701b
e90e, 5d65
e4f5, 6432
2a82, d586
07bf, af65
5139, cfa0
365b, 36ee
b203, 34f3
b70d, 0125
d13b, 91eb
77d3, cfb6
7ddb, 6b74
5d52, eb5f
7727, 3d51
95fe, 244d
3f32, ac9a
e4cc, ab73
0984, 6a0e
8863, b40e
82d7, d151
64b2, 1864
a285, 7348
3e92, be92
629c, 859b
1504, 22f6
09eb, fe31
7d31, 0d51
1965, 6b21
138c, a539
37a0, a345
52d6, 0dde
ccb4, 54b6
27e7, 4f4a
1448, 94c8
4ac4, eaaa
e307, ac85
aed6, f975
1176, 2d1b
21a3, c00c
5843, 0ecb
40d1, 4ee4
383d, 1d70
e11c, 1754
baff, 6994
7b6c, eb5b
0872, 098b
eb97, 0e46
825e, 3233
eb69, 3bd9
798c, 7d14
9509, 2142
0e49, e041
5adb, 92fa
64c9, ab7d
e2d6, ef3b
2bb3, 0140
d77b, 99de
4e90, b612
664d, 7be1
170f, 6bf4
37dc, e9bc
8bc5, eb0b
4324, a5b8
46e7, 3b33
6bcf, 60b8
34b5, b07a
3c4e, 91e1
5c61, 6c32
8275, b2fe
198a, aeeb
e950, 7a8a
7d69, 757f
ac6e, 13f6
b116, 28bc
1532, f75a
b5e2, abee
9329, 90c1
2ca8, defe
f1be, 2e17
b05f, 7d39
02f0, 68e1
ecc6, 8c19
0b08, aa4e
9edc, 2532
818f, 75ef
7626, 2e0c
6459, 87f3
a7c6, a8a1
2b3c, 7e84
8198, 319d
810b, 37a7
01f9, c559
b31f, 87a3
8273, 6413
9beb, 8afb
2f9c, c555
aa05, e43a
f5a5, 491e
820b, 4fbf
8339, e933
d912, b912
b67e, d27d
09a3, af69
f360, 74da
81bf, b5a0
54e9, bbf8
4488, 2078
0e51, 180c
88e7, 38e4
a460, 25b3
d508, c10c
e7cd, c678
1cb0, 11e8
fa64, d3a4
6e1a, 43f5
8c0c, 37ba
8f27, ad90
d053, 306a
c98b, 20f7
67c9, c8c6
f4ad, 2b18
200c, 7711
1d05, 73e1
e24a, 46ff
2774, 96fe
c0f3, 791b
4d73, fd00
46dc, 9bdd
3952, f9c2
57ec, 7263
bd96, 6dc6
949c, 1d3b
580d, 807c
0d3d, 217e
e79f, dc2f
36ff, 96c5
eebe, a6bf
12fc, 9afc
f6b3, 48b0
eaa8, 9935
d261, 75c6
fa6e, 1d12
5038, 4691
163b, 429c
362d, 36cb
a561, 0425
8dce, 8c7f
bac1, d3fd
53c8, e404
0a1b, be04
9e65, 9dca
20a5, 0d2c
7389, 9c88
3288, 053b
4818, 8674
e38e, 6046
7cff, a9a7
bf19, 0dc0
1cae, d4a3
423d, e491
a928, b8d6
5c06, 872a
7094, 3dbf
bd66, 9ebd
505b, 0bbb
9da1, 4357
efdb, b75f
2a95, a680
56d1, 5daa
01f9, c559
5665, 06c1
d76b, f485
0a0e, adfe
62b3, e9e2
13bc, 3a36
cace, 52f1
f366, f689
33b6, cd01
6fac, 1a7c
42ce, dea3
3e1f, bca0
ee94, 0279
0c30, 755b
70c5, 1c1e
9ce8, aaed
0ad3, 28da
1cb8, 10cf
dd13, 9615
5db2, 4cd8
65f6, 1747
aa84, 84f7
3404, 9d02
560f, 8615
7698, 19cd
67ad, 11fa
6933, 723e
1a4c, 924c
2295, 0fc5
6b96, 2b19
67fb, f30d
8db0, 36e3
5426, 245b
cacb, 0d61
4646, d314
2bad, db88
73c9, 57be
0bb4, 0053
256e, 5f49
1b44, 2a60
39d1, e47c
2347, 992c
0fd0, 66f6
3f6d, 4c00
9ae3, 0c97
2b82, dba4
bdc1, 3891
55c5, d4e6
747e, 52a6
194b, 1bb7
877f, 386f
b59f, ace2
460f, 2821
7fb2, 43e8
3055, fbc1
bcf6, cb48
3cbf, f83f
1d24, 9dc2
f4bb, 3526
b226, a01d
eeaa, 3211
1aa3, 2987
47eb, 24b8
fd9d, 57ad
4231, 1587
cc45, a4c3
c72a, 63b1
663d, 36d8
5a19, c94f
9d77, 4df9
22e7, 92a2
4bfe, 9c4a
f52d, b20e
1468, a76f
9445, 4f5f
ec7f, ef99
652b, 6deb
162e, 821d
2eb8, 2b24
ecfa, 5a41
3085, 5021
665b, 36be
a0bb, d065
d8b5, 2437
2d17, d954
4db5, ba40
ba63, 1133
2242, 979f
0cd4, a110
b810, 6f2c
3f61, 3367
f218, c362
cde3, fb38
4457, 9d49
f4c1, f214
971b, 0b2e
6d08, f47d
1b93, ba08
62e2, 9abf
41a0, b623
c731, 2070
06d6, add5
b8c0, 5f32
27b5, 8f75
ed1f, 30c3
6185, 873b
895b, b81e
e53d, 353c
0372, f5bb
dec0, 487b
e6c6, 9483
6cd1, a121
5ea2, 87fa
f656, 1f67
257e, 005d
be51, f80c
64f4, 1434
d349, 13e9
ce34, 64c8
dd59, ea6b
05e2, 3182
c0fd, 2738
18c6, 374b
9a36, dfbd
d5c6, 52f9
5563, 8ce0
7993, 96a8
6692, 6ef0
13c0, 9e20
27e6, 185a
abe4, 75e1
780d, da0d
57d1, 2584
2f0c, 7d09
9f87, fa0e
9a80, 7fc1
1078, 8c87
86cd, f680
b5e6, 64b1
405e, 20e5
6217, d427
d800, aa35
b098, fc93
67ee, 59ab
da29, 594f
9c04, da01
32f8, 6208
aa60, 8347
cf37, 5ddc
ea93, 5a90
068b, 46af
5fef, 8eef
b571, a5d4
b471, 77c4
09d3, 2fe6
3c3d, 10fc
416e, 0e71
0397, 6bdb
11aa, 38b8
bf78, f273
453d, 955c
da27, 5a67
9a29, 8a3d
475e, a7ac
5b53, 0736
7f01, 67ef
dd57, aac7
4be6, 90b1
76df, ecc4
cf54, 2f6f
23d3, 1a2e
f6db, 9da5
61e7, 8757
9e46, 63ee
17e0, 4b4a
10d9, 7c65
8346, f7bb
687d, b82b
e863, 56b0
f7fd, 410d
cbb2, ba68
9f82, c637
197d, 77df
df54, 2b61
bcc6, 5a2a
b4df, 5231
d7a8, 2829
92e4, 2778
9c13, 1110
0477, b714
4d22, fdc4
a9ab, 97e5
0236, e40e
f5c7, 9318
f8f5, 32bd
e506, 8cf2
48ed, 9c10
ddd5, 7798
1113, 9910
3ad4, 4ac7
4f1e, 72f8
9800, 6f1f
99ea, 2891
c5ea, 4f91
13ad, bc56
76fb, 764c
450c, 12fb
5b05, 304e
1775, 2dd4
a56f, dc32
8f87, 45f3
05d3, addf
c523, 97c5
373c, 6c85
04d0, 3345
6fff, b846
f280, 18fa
78cb, 0e1d
d682, 99f5
076f, c923
e0ca, 4063
cfd8, 0b93
d11d, 2108
0a86, 1c09
76d5, b17c
838e, 7ab8
0820, b320
ace8, 0cd7
1534, 456b
0f5f, 0308
74a8, cfa4
9792, d442
4411, ea01
7f50, e6ed
4c0d, f900
2252, 70d8
4a7e, 3f35
a855, 1208
4fbc, c663
e7c4, 5e61
74e0, 10b4
baa6, 17a4
7568, 80de
6979, 0f0b
cf3a, 723d
f7f5, c604
b3a9, 6873
c6c9, 9614
493e, 5ad8
b3cb, 037c
66ff, 48fd
7ce4, 32e0
9c64, ccd9
3afa, 8541
5eef, c547
ea4d, 5a48
08a7, 17c1
c8af, c5f3
5d11, f37e
b123, 6c93
e64d, 29e5
a116, e261
14f2, 2ff5
ea73, d6f1
447d, 88a2
8fbb, bfbc
91a5, e1a5
db27, 2b99
89c5, b94e
3fe0, bde0
9bd1, 69b3
4968, d071
2f56, 0265
f0ad, 1e72
8369, aff9
7f60, 0fb3
70fe, ac05
e5a2, 1577
b6cf, 6f9b
680d, 0479
fa7b, 8fdc
581f, c230
791b, c0f3
c7ef, af35
a0aa, 3cb6
2713, d868
a8eb, 01a6
43bf, fee4
8a4a, 5c4a
8ea8, 89af
6732, 8178
a4ec, dd41
e850, 7658
408c, a2a7
a3c3, 9a78
5e15, bbc8
06fe, a27f
69f7, 6f3a
d510, d7fb
98bd, 1d68
c756, 29b9
a772, 6ea2
9893, e1d8
0c98, cdf8
35ec, 1449
8bd6, 50b6
b14a, 15eb
407a, fe55
f0ed, 33e4
ca45, 20b4
3d6f, 039f
a329, c240
a2b8, 8ec6
35a2, 02fe
370b, 4efb
d2da, 24d7
ea2f, 3c2f
59eb, 0268
4de9, 9d67
1bb5, f6be
3157, 14d1
394d, b80a
5c2e, 01cc
6a9d, 2ba8
a513, 6d15
0008, 65e8
8fc6, 6826
0487, 1704
b40c, 8a9d
ce0b, cd45
2cf6, 6ed7
aabe, cdc9
e60c, 53c4
b554, de88
3603, 869e
a8ac, f3b0
2db4, dd52
c98c, aef1
d363, 24d6
62ef, 91d2
1c21, d044
e615, ee9f
7b1b, c9fb
dd32, 523d
11f3, 186e
f52b, b1b1
4c81, 514d
e442, 45b5
33b7, 88b1
30a4, 9bdb
0f44, 6e50
b199, fe9b
670b, b162
225b, 399a
6c4d, 6f04
eb03, b687
fad8, 1d72
4c2e, 3835
eb3f, 5659
590c, ca6c
a8c2, 306b
b991, fb45
8965, a965
145b, f8f4
4357, 9da1
9535, 68f5
06f0, b09d
93d6, bba5
e11e, 1b2b
0bfd, 7d9b
bb5b, dd2f
4177, caf6
3f7d, 29bd
3064, 2b58
eb16, 9953
ce05, f34e
7ece, 87ec
4df0, 964c
50fa, ed41
f1a8, ad19
f3cd, 932d
dae1, 7441
a468, 8e26
9712, 1378
6db7, 9f23
8743, bf7f
ac39, 01ff
52c8, 7493
8095, e0fe
4c92, f911
5eff, 8799
5843, 0ecb
2444, 61e4
02a4, f3bd
9f96, 7c1d
aa04, ba50
427b, f575
a2fb, 11a1
fabe, 9814
e749, 3709
f8fc, bf31
1ccf, f404
5e86, 83e6
8f24, 3062
58a3, a0a9
4bcd, fdf3
9d03, dd9d
c64e, c30c
59da, bc66
0968, e432
ed10, 530b
6aa2, 10fe
7e8f, 38cb
cf96, 2265
89fc, a6d6
89d6, 2726
10ee, 626a
fa6c, 7e7f
0aef, 3c8f
37fb, d8a6
398b, b185
7d58, 58e0
bf9e, 7e3f
a3bd, 74d4
bdeb, 65cb
2770, 40f2
fa8b, dce5
d946, 8133
4b85, 2035
b701, cb28
ec82, ecaa
c9ed, 0786
429f, 59e3
b2aa, 150f
28db, 6bd2
8863, b40e
4c7e, 1311
9234, 22b9
85a2, b25b
e7f7, d2b5
73ca, 36fd
c7e6, 101f
8a1b, 01af
5663, 7de0
cfb8, 2853
e51e, 826e
8443, 9d6e
6572, 92a4
8671, e6dd
bef4, ed8b
13ff, 1248
100e, 0af5
02e0, 40b2
70f3, 3a60
c609, c062
300a, 1e08
4f5f, 9445
6629, 6699
