0d83, 5a1c
2a80, b801
d68f, 376c
accc, f9ee
339d, eea5
2c66, 5273
c16f, 0f37
fc61, 4bce
9a70, 06f9
55b8, 274c
8bcf, 440f
36a8, 626e
cf01, 5033
fafa, 4f25
c053, b464
5e60, e2da
247b, f752
1f94, 1969
a986, d65e
f4bb, bc97
2a2f, f370
3bff, ce8a
0858, 5767
a241, 8c10
c4b1, ff9d
a754, c9a9
bcb5, 5dff
a7d9, ae15
9fba, 92d0
64da, 6a26
0cca, c4b5
3207, 4b7d
4ea9, ada8
cd17, 2963
ee6b, bd5b
b167, bd58
4b1d, 249a
3b71, 2d6a
d127, ce7b
22af, 26c1
5378, ff32
519b, 2066
5238, 6bcc
b39c, 1291
1e72, 8dce
772e, 1de9
51e4, e518
228a, ee81
ef0a, 494d
f6ba, 7b2d
9dbb, d46f
3f21, c946
7c99, 2971
1fb0, d547
06de, 9dea
c47c, 5b0f
0838, 32a5
e11c, dbe5
6d9d, 915e
7ae4, d7f9
7ca2, d0cd
4394, 99a5
6e86, 2501
f411, 51b1
4915, 75d1
9eed, 2db7
912b, 6b22
1a01, 13e8
cacf, 8cd0
fdb0, 3522
6ae3, 9fd4
6865, 9430
8cf6, 8f10
aef7, 06bc
40bb, e514
56c5, 01dd
f08d, c644
84ec, eb21
421c, 4b30
e764, 7203
6150, cd0c
942d, 07e9
0167, 685b
e8f0, e111
6333, 3f30
6594, 639e
7b4e, 5b09
d892, d157
9574, aa66
02db, f32d
fbb4, 7b7b
9abe, af99
d827, 30f0
f031, 5468
6014, fc7a
1f72, e0ab
c88c, f3f7
f926, 5e39
5e6b, f33f
36b0, 3610
aa79, 4375
100e, bc6d
7456, 1d90
7e88, 77e8
ac81, e1c6
5435, 48f8
f2d3, def4
aa3b, ed02
809c, 6f64
3830, 0f29
5c1c, 8bd1
1301, 9f17
d856, 5a2e
b2fc, 1015
78b9, 6223
d037, e358
9b70, c227
7817, 4a4e
82b3, 4828
976b, a74c
67c2, e7fb
8622, 9a22
83b8, e2d9
6114, 1465
5716, 5661
8121, 8186
a7e1, 3fa1
443c, 6958
d31b, e9bd
3110, 6d85
630e, 7206
d091, f90b
44cd, 7dd5
4e4c, 11ea
0378, 14c9
f3a3, c702
fb92, 9d39
8a0f, 84c0
11ba, dbb5
959a, 961e
a3a1, 604e
0425, 3ee0
da26, 5958
448c, a1fc
6fe6, bb00
e89b, a1ae
e588, d64e
571e, 87c2
de2f, be83
da52, 7a78
048f, 0c27
45b6, d243
4ceb, 464b
c343, 7753
1145, 7e21
14a0, 4f2a
3a1d, d731
271c, 0f9d
78b5, ad8f
c784, f8fd
2b42, 34bb
9a74, ea1b
bb03, 7fe4
cef3, 578a
bb87, 4a88
7dd1, 15a0
0ad5, 0e50
ad54, e4cd
5b26, 9845
f981, 06af
cbd0, 2c72
8aeb, d999
e6a4, cfe0
450a, e00c
083b, 9970
31c8, 2d37
683a, b0f5
f868, 1f6f
8fb5, 8280
318b, 96f1
00e2, 754e
5900, f826
988f, 3573
adf3, ab8e
1133, 582c
e5b4, e0d7
6133, 9588
9cab, 66a2
45a2, 42f3
b893, a342
9468, 6675
16b0, fd71
7e08, 4894
87ae, 1b15
7d87, 844e
c3c9, 94ea
13e5, 8706
26c6, 0373
0a1a, 0596
74af, 00d7
5dcc, 10f2
8272, b269
bbe4, a1e7
5484, 8e37
2751, f7cf
22a2, 059d
42c4, e72d
6142, d93b
92f3, 9983
c4b3, 611a
bc2f, 7240
8976, 7da9
7323, 186f
4b5b, 4809
1230, c1c3
ba35, 0810
5d77, ade9
66e7, 9984
c6f4, 7fc3
9f2f, 5e28
058a, 56e5
6be1, c564
1d61, 7876
a9ff, 46d3
5abb, 3ee4
b479, bb02
2600, d6cd
bbca, 17c5
a539, e2f0
f99f, 1cc7
2204, aa26
16bb, a7c5
b361, 755f
8c8a, 5b5c
05b8, 9b86
c75f, 8c12
6c66, 09c1
6d5b, 2837
bb0e, bd10
6300, 01c7
0866, 79d2
c1f9, 0b17
3420, 3be5
3e1e, ca12
f3bc, f31c
98d7, f7f8
e272, d56b
d0ca, 8c7c
3d37, 916e
2424, 2a82
1c73, e37a
6500, f6c0
1a3d, eb09
d0a9, 7258
d731, 3a1d
28aa, 3ec1
24df, 2252
672c, 3de0
e924, e870
6975, 2671
69e4, f518
c060, c064
9dd9, 463b
7c3c, d9eb
b971, 76e2
0bc5, 99bd
29e0, 29f0
0959, d2af
f066, c96c
a0b7, b52b
c33d, f37d
e173, 4e56
5fd7, f89c
5aac, ca0f
e6da, 0dc5
0da3, f98b
efcc, 49ca
0661, c7b3
27d6, 2f58
b6d9, e971
cf8c, 0b62
5663, 93cf
4e80, 4f91
748b, 1d29
409d, 8958
16d5, fdcf
eb30, 7f2c
ee52, f521
2403, 8349
ecc8, efe5
bc5a, eaf5
4c6c, 8053
19e6, 8e5f
6754, f3a6
0102, 742c
e0c8, da8d
f289, 9f60
5711, 5d45
10a3, d370
d013, 89e5
b6d9, e971
69f0, c4f7
0e0e, 8bea
4221, 7920
8da3, 8455
7ddc, 4d2f
c20f, 481e
4a21, d39c
3d40, bf50
b98a, 0a76
f5bf, 0bb2
c931, b767
9ac2, 5012
cec6, 573c
a827, d888
3233, 3093
b807, c371
a5d0, be65
6d48, 60b1
8c5e, 8f9e
91e1, cb85
1068, f005
4e70, da56
ac2d, c5b1
644e, 0de7
c59c, 2371
0e3f, e628
1b1c, 61d7
512f, 1dc0
5a39, 6c4d
d1f4, c49f
62e0, f02c
a9a5, 736f
7762, 2ba8
b71c, bbe6
8a72, e334
085c, 043a
fb96, 0d03
0ad7, a1c0
47f2, 3896
f9dc, 414e
ece4, e08b
d8c6, 3f72
1759, de3b
c87c, 9d55
4250, a59c
9134, 01c8
a3fb, c45c
1220, e5eb
54cd, 0434
014a, 993e
8d5d, 879e
704c, 9b6f
7363, c762
4e49, 53f6
52c1, 0b81
f9f7, fba5
957c, ed40
34be, 789e
3ed8, 27b8
1b79, 8b5e
edfb, 8122
5ed5, 2443
44d0, be86
7599, 1254
ec48, 86e9
e270, f579
464e, d0e8
1c9f, bcfe
631f, 05e3
6e1f, 390a
4da8, 2f09
cd13, ec1c
dcdd, 86d7
0c85, 1df9
52d9, 35b2
e6bc, 1cef
e3bd, e4aa
b534, d078
4c27, d603
01d6, 2de0
0c93, 37fc
