f519, 6854
6e91, 1155
5550, 3b76
1ad1, d173
52b3, f3ef
cbdc, 5218
e2c8, bfbe
c6a5, c6a8
feb8, d3e4
237a, 4d46
85d3, 2bce
b225, 3fb5
6fbe, e4c8
5169, 133f
3fde, f617
6421, b21a
c403, 19fe
74db, 3a88
a09d, f690
f306, 601e
3011, 6160
4235, 3ff9
3c80, dd7e
98a7, 9601
456a, cd68
027c, e4a7
c0f6, fc6b
0eff, 21d3
5387, 567b
db9c, 4714
76bf, d4d7
3a5d, 8ac2
5b63, d022
be1d, 087b
8cae, 0e21
610a, b544
4a5f, 9564
b075, 1e09
d64c, 7227
520e, 7aab
64e8, c09d
5286, 4632
50a1, 8b64
942a, 6271
b1c7, 0b1a
72f5, 4313
4827, c98f
d802, 0f0d
d88c, 3d1d
6ed3, e769
4934, fa28
7103, 814c
3d3d, b4f3
7e6a, c4c1
21fc, 5fdd
c8f4, b67c
b116, 0a72
42ba, fabf
0bd6, 2edc
01ec, bc8c
331e, ef73
9a17, e5e9
b81c, ee05
03e7, 144a
4cc0, 270b
1c3d, 0886
7f41, a45c
6a77, 3f22
95ab, dd7a
2bd1, c5f8
d8a3, d611
1d2b, bfad
df92, cfcf
217c, 97fb
d854, cf6f
dcbd, 2aac
7150, 1141
6738, 9078
3fdc, d029
29aa, 4ae6
69c3, 8723
d18e, 915e
3a24, 21e2
43f6, a9b5
d96f, 2879
d840, 3940
72d9, 4f34
76d6, 9ca1
1074, 907f
74d6, 6a88
34f4, aabe
b540, 3440
d073, 3529
8b64, 50a1
4d7c, 57b4
06f7, 4ef5
ee24, e69b
5550, 3b76
24e1, e241
883a, efe1
e5d9, 0436
300f, e609
133d, ba05
531d, 58cc
ff5e, 931f
c3e9, dbe1
6eda, 7fd1
8905, 568e
a86f, dfea
62d5, aea1
36bd, f642
66c9, cd20
910a, 900c
9317, a8ff
dc3e, 9c55
deaf, ccb1
21c5, 9681
6528, f35c
c888, a6f1
c40c, a3e4
d917, 4d43
546f, 02e2
dd38, eda4
5159, e1b7
e4bb, 57ad
3611, a9be
8fe4, a0ed
f992, a49f
ae58, 227c
8913, 67f3
5b1f, 2ca8
98bd, 4c32
9298, f3b5
5613, 953b
0edf, a728
397d, b173
4f0a, 3722
b3f9, 8bf7
021f, a5cc
2af8, 3d1b
7a27, d82e
8fd8, 6da0
1b4e, 771b
d8eb, 9f80
fe1f, 43ff
c329, bfa5
6b2f, be2f
47e3, 22e3
ce78, 742e
58bf, 8276
b1ba, 370b
5cc1, a6d5
dcc0, e02d
feae, bed9
f5b6, 2552
d8f2, 7d8d
1bda, 8173
23cf, d968
c4d7, 61f2
99da, 94a1
7964, 1592
847f, e226
770d, b92b
9c85, ca30
8369, a33e
e762, 5b24
21bd, dbc4
b02e, d91b
bbed, e844
f7b4, 0a42
47f9, f144
9da4, ad39
20a9, 78fa
f7ce, 9e57
7180, a19a
51d6, c111
4527, 1cff
0fa4, 03da
a610, 0a10
b4ed, f4ed
8437, a084
a194, 5c83
f2d0, 14bc
1316, c7b5
bc56, c6e8
cd16, 3ea6
def6, c93b
6014, bc64
a1dd, 2e73
f805, e0f0
6b2f, be2f
5097, 3cd5
e5ce, 2ab9
5fab, 0679
6117, 11a7
ea06, e3ba
654b, 349c
831f, 7f85
aa4b, ad3c
f365, 9493
6bd6, 06a2
68ab, 414c
95bf, a70d
1fd6, 9886
beff, 9a26
13a0, 1088
3c18, 1667
abfb, fb9b
f159, 0113
79d4, a8bd
0bf2, 14eb
066a, 106d
5072, 9ab5
5075, 9a3c
49c8, a612
2405, 6e73
5ddc, e611
6e6f, 7153
21fc, 5fdd
1e66, a223
d181, 0599
c3b3, a659
8e60, 8ee8
1c51, 49e7
438f, 0462
d02f, 7482
cb7a, 5ea3
9a98, 4a2d
1dcc, 3f83
f6aa, e8d5
8c8d, 37a0
c9f1, 0a06
577b, 25e7
fd5d, 48ed
4260, 99dd
05a8, 7d3d
042c, cd45
5fea, 5e00
aa4a, 3783
2711, 4921
6d82, d514
c95c, 1307
cc71, 5ca6
d7dc, 9c53
8d94, 2c2f
a659, c3b3
749d, 05c3
00e3, a11a
489c, ba00
95e3, b8e9
7403, b5b8
b6f2, 4323
74ec, e743
52aa, 2be0
dd8c, e7cd
4d31, dcce
6274, b4c1
43c8, bf12
1b04, f293
7e4c, bd79
4d17, d228
07b3, 2eef
d715, 5315
cbcd, 712a
9882, 1912
6ced, b7b0
62fa, db7c
c351, e3e5
2120, e020
3adc, d6da
037b, 5935
c6a0, 2ebf
2a53, f953
cd3d, 5834
ecd4, 8a39
0783, 72e5
5444, 8729
2719, e363
7b25, 3f1e
b263, 07d9
e4cf, acd3
808b, 0abd
f62f, 4f6e
3a79, e625
968a, f313
8a1a, 9964
dfcd, 2d4d
0760, 62bd
d2d3, 281f
0f65, 7fc9
1939, 3e73
ec82, cfb0
4681, 1871
a954, 6f87
8256, fed2
380b, d4fd
7359, ca8c
e89d, 4c1b
5570, d67d
1530, 0442
4152, b57f
bda2, 49a1
fa51, 9fc6
8dee, 3d6b
dae0, 6097
1d1c, fcdd
d91c, b025
c4b6, aabb
43f5, 1706
4aad, 148f
8a0a, d64e
3da1, 2d33
7db6, d8bc
e3c0, 6389
86ca, e9d9
db2f, 5c28
7901, c3fb
3b6e, 4091
22e1, e7fa
1a7a, e819
0add, b07b
b1c3, b940
49d9, 66ce
ca94, 3938
fb49, 40c6
1d38, e1ba
ab21, 88d5
94c2, 689d
cb1a, 5ed3
0ad4, 6fc2
eb33, 89c5
eb92, ed0b
0306, 218c
c1bc, 1011
084c, 2f18
8e02, da76
6d1f, 6f04
0df0, b6fc
e123, 745b
8ccd, 26c0
9ad5, 34ab
bd8a, 3bf8
12ad, f26c
0f94, 5fcf
12cd, db82
3f94, 54d2
0123, a023
f512, 32d4
da0f, d1ff
b6da, fdd0
5d91, ec19
1f25, 8dd8
8231, db3f
95c2, 3bdf
0ca2, 321c
eb58, da0b
23b2, cdad
0ef7, 73a5
7dc4, b0e8
53d4, 5861
97fc, 8b2d
0684, 6d31
692a, 742a
3fd6, e9c9
8c8f, 31da
0110, cca4
9f8f, 177f
bd41, 66fa
c079, 9024
b8ab, 2c9c
92e7, de72
903b, e764
d506, 4cf2
a4f0, c6d4
b362, 79b8
0d9a, 6044
0b8c, 5ef1
e256, 7768
d46d, 1ced
6242, b90f
4ec5, 145c
1ef8, 9013
e67f, 31eb
3808, e758
3754, b7a9
770a, 139b
5441, cae1
1718, 9708
3925, 003d
0a38, c8a4
31d5, 73c7
cae2, a464
eef0, 3300
6ba3, b38d
e12d, ce3c
c841, 0776
8f87, a68d
cf7f, 7ff0
a5b0, 6e47
5e9f, 52ff
81d7, 21c7
3fc3, 473d
4f6b, 92ba
e378, a29e
3033, 80ad
780a, adda
d64f, 4327
b4e8, 852f
ceb4, c91f
2bc8, d1e0
1cec, c18c
0cdf, 8505
a9cd, 7ed2
e596, ecf2
6d0c, 06fd
8b20, fc0b
7d31, bd4c
2fa0, 2fab
1b9e, 724b
c1bc, 1011
856e, 261e
0f9c, 2162
33a6, cdf1
f5b4, 3228
27da, 4556
af92, 2624
e8e4, e3fd
cc2e, a399
1d83, e164
6e2e, a21d
dd90, df20
d4dd, 3e2d
4df2, 82c9
6e92, 809a
9718, fc34
e46c, 1f05
d05b, 8a5a
096d, 4949
af63, 9664
0129, dfdb
5c0a, 0771
4b9b, 559a
5613, 953b
8876, 2fda
b7d7, 8a3f
2bd5, 02f8
7e15, 07ae
8904, d27b
c618, 02f4
8109, 8eaa
9323, bf1f
2aa0, 3323
b717, a32d
120f, 1249
c282, f358
c9c5, d99e
bdca, 55df
f9e2, dfc1
e7f0, 1897
2571, 5536
0f37, dd7d
5702, 537a
9d5d, 32d7
96ab, 4d35
256e, 3946
208f, 9fe5
e106, 3c99
572a, 822a
defc, 0f5e
09a3, b823
f60b, e760
