b6e5, f851
d95e, ee4e
15f5, d5a2
c4e8, c9e5
b701, bb36
56ed, ad2d
fce1, feee
ae4c, a89d
9bfc, 0a1c
6d52, 4f92
0639, 0207
99a2, ad33
fc20, fe22
0b4a, d804
5c08, 62ec
3dcc, 951e
4bac, ff68
f620, 519b
68a0, 0863
0d63, b748
561c, 2adb
efea, 2593
e106, e3d7
47eb, 83ce
aa0b, a809
eba2, e7ff
dd7d, da1a
77a9, 7aa4
a0c5, 45b6
7af3, dd25
c605, 84e3
b90f, 6cc2
0791, b903
a178, db1a
4e77, 410e
8049, 876c
c149, ce4b
a50d, af02
8a65, 53f1
3831, 9606
f41b, 5357
46d1, 7208
4e2b, 4dfe
7a97, d1a7
c09b, ac91
bc64, b055
c969, a365
5419, 5887
35b4, 2b24
71fe, 7937
2950, 5e9d
bf27, b322
4aa3, d5de
bdb2, c10d
b78d, 3c84
740e, 9e1b
8ec4, 8e11
de6b, 38e7
748a, 9402
64cd, 510d
b40f, d53a
92d8, c458
7878, aaad
e821, ecc0
d5b9, d9e2
47f9, 430e
192f, 1c11
9acf, 270f
43d4, 46e9
94a4, 1488
7428, 7564
53c0, 07ea
0c96, 0b59
4159, 57f4
d4d8, a983
c1bc, 0e25
5aff, 0723
3973, 393a
a9cd, 40d0
1056, 05da
1995, 01a3
64be, 61dd
63e1, 6149
0636, b13d
00e2, 014f
3c30, 626c
90ba, f0d6
f5be, c89f
33b3, 338c
3aa6, 3756
e329, e8cf
a050, cc54
cb7e, 2d7d
872f, dc55
019d, 55ff
c78d, 2c34
4b0f, 4cf8
8c1c, 13a3
8d61, bbaf
0dc9, 9648
6f0c, 6095
6d30, e8ed
aa3d, 7df0
0807, 200d
521b, 3410
8729, 96f9
2b53, dcef
921c, 8fa6
f01e, 35c9
9c74, f078
9908, 9072
b382, b6e7
adc2, a5d4
c4c3, 2a0c
dfae, f055
f978, f074
4760, dadf
7f1b, a4ac
3ac2, 5c7f
565e, 798e
b0c2, af43
d8ff, db16
5589, 5af5
4e61, 4e4c
9899, fa29
80fc, 9353
cf71, dd05
5cf0, 6220
c52c, c829
37e3, 31d5
225c, 58ce
ad7f, da70
44a9, 483b
874e, 8c69
eae6, 3283
b267, 8c34
632b, 0da4
a555, 4955
5f85, 36d3
1e3f, 1d51
07fb, 02f0
c9cc, 7c21
996b, e779
d1df, 44ef
bb5e, 616a
4446, 411f
0acd, 07ce
c1ff, f44a
a7c5, dd01
0afe, 48ea
d562, d1b9
9805, a1de
e8a2, 31e5
6343, f604
9709, f089
eab3, e265
a15b, ef0c
eb18, d938
a5f6, 64bd
f648, c3fd
989c, 4226
d655, d360
acfe, a2fd
8711, 87c4
ec63, aed6
63d9, c96c
2a3e, c2e7
12ee, 998c
43b3, fb99
dfa1, b98e
7ffc, b6f3
bd33, 0f68
632b, 0da4
492b, 97c9
a453, a9ee
84c9, 29b1
2664, 37e4
dcf5, d210
b5d6, 8cb1
b62f, fd81
7d44, 7258
108a, b383
3e2a, 3317
e878, ee0b
