Checking basic encryption (a 16-bit word)
d42a, e251
8b3c, 1fd0
584a, 9cca
e367, 3df0
b8da, 6109
0028, b074
0f32, 78cb
22c0, 863b
3006, 4011
7d84, 75d1
Checking CBC encryption
5, 886b
6c, d6bd
03d3, 7f620778
59dff, 6ac03272
7892300410fb74234813672f8, 7165bc11f49d8001e467a05937cd
669022177a5d771fa7cfc6365b, e0a580a82f7a5a2b7cbfac29f104
08834953e81b5d462, 5bcaf74c3255bd77609d
027de94724d542a3fa, dd5755885d62d3a195ca
7e49a1361061471a7b7, e4973fb11a6d45b7fa17
5613cdeefa464c775ddd4e38ac1a53aa, a65b1299f77a4fdf5ed9d5fe0e9c14778f7d
