4dd9, 12a2
451b, ccc3
e7d5, d80b
eafa, f33e
a66f, 2eae
7026, 3651
713a, a935
e341, 6367
80fd, b869
6022, 2c8b
4315, 98a8
cf52, 8bbf
5056, de19
e9eb, 920a
e3d7, 2d2d
94e6, 452a
db6d, cf5a
a73e, 7b39
79c8, 456e
838d, 26ba
3360, e5e3
e062, 6a8e
81a8, 690f
c0c5, 6c02
3813, 1665
80ac, ba78
bd11, 5de8
fc79, 9834
923f, 173e
b651, 7e19
3fa2, 6cb7
22f9, db5c
46bd, bc7d
b46f, 6afc
3718, 6b47
fba6, 1492
c0cd, 5f2d
40c4, bb14
83b9, 8c7c
abc8, 1195
538f, bcef
e5e4, 3636
6958, cebe
a14d, 5baa
5fd8, ea33
83e9, 8430
93ab, 39da
67fb, 08da
e2c1, 25c8
32ce, 02ad
cb87, 9c70
65c5, c4e1
4816, 3d5e
8041, be45
5233, 8012
043f, 966c
64c8, 064b
d8fe, 9819
ea1c, a643
434b, 62d1
7d55, 714c
5803, 4089
f6b6, 07c2
6e45, 9eb5
3b02, 9052
37ab, 1659
5b43, 27e9
c9b8, f5bd
7621, 7958
53d7, 239e
8658, 87b5
ee17, de58
cbd3, b72c
57a0, 3179
88d3, 76a2
e867, 4dfb
136d, e7e1
448e, 1369
4055, 5158
69bb, af44
1d18, 2ec7
63f9, 0e78
695e, 4a88
74af, 9d64
d82c, ae4f
a348, 4fb0
01dc, bf5f
5edb, 86e4
d374, 943b
a842, 9bfb
2e2e, 8686
489d, e91a
2a7f, 2480
a712, cb75
4ce3, 6ecd
94dc, ad2b
2aad, 37f5
ed13, 75f3
4e59, 3109
54ec, 015b
deb9, 95a2
91df, 3ee1
06d5, eb54
ed61, 20ad
3fdf, cce2
71d7, f3c5
909d, 4b39
7729, 088e
2346, 0b59
d46e, a37d
ddac, d08c
d9cb, d9ca
5dcc, 2c0a
8f7f, 1500
909a, dc8e
b48a, ec24
0216, 58a3
5c28, 188c
7348, 999a
9f58, 15bf
15f4, 4496
a81f, fa3c
8aa9, 8a95
9761, 6aea
60c7, 709b
b288, 0fc4
606c, 6de5
5ebc, bd26
015c, ae29
9762, 2ae6
2e56, 9b7e
1fad, d5fb
b6ff, b539
cce6, b8a3
f211, 72da
62b8, 3049
3105, 9c85
1a1a, 787a
4b5e, 282d
7ce8, dbcd
922e, d4cc
62e2, eeba
fddb, 7230
5969, ab65
c376, 181f
ec3b, 83fd
4bed, 70ad
e651, d8d7
db82, dce1
5515, ceb3
2fad, eaf2
239c, 50b5
3bff, f546
7a63, 8e0f
68f2, d33b
8e37, 669b
10cc, e203
b37d, 77c4
34a5, d0c9
d66a, bf87
99f4, 8d75
38bc, 89e9
659f, 6593
b1a9, d755
d518, 9455
056c, ccce
d1d9, ce2a
5d3f, a43d
8b1c, c6e6
8171, 4246
de18, c277
