3339, c971
ba94, 68c6
be00, bc6a
5a73, 076d
095a, 0701
759e, 1a93
df4d, f897
d6e6, c0e2
2d47, 2b78
9c69, 9e71
444e, 141e
7edf, 883b
72ac, b6e6
6020, 6cda
68e3, 0f64
d653, 9955
7c87, a812
acac, a757
0d50, 3ee5
8259, 8c5c
892a, 8524
158d, 1227
b968, ec3e
905b, 9fe8
e479, c252
1a1c, 022f
a8f6, 73d2
bb28, d77a
f0e7, b887
7d45, 1876
baf3, 7a0c
247e, 86e5
07ef, e93c
faf6, c4c3
0e53, 19b5
b192, b3c7
1346, 1670
1788, 835f
9e8f, beff
c5d3, 4f7e
1caa, d1fe
9032, 7dc7
e56a, ef9a
55aa, fcbd
8dc6, 3db6
19df, 6c78
f660, 1a92
6566, a3f4
1845, 8e46
8861, c034
35f0, ff35
ff00, 9a10
2420, 9dd5
9edd, 7920
7b49, 7e1c
68db, 6bde
ec76, 4eb8
f596, f8e4
c795, ded4
b86b, bb38
abcd, 236a
6796, 7b6b
a03c, a11e
8526, 8925
9ad8, 9767
9992, 501a
976e, 9adb
5cbe, e677
b526, bd21
e6f5, 42e9
77b7, 20d3
dc78, ce1f
29ba, 2bb3
237d, 3007
67ae, 18cb
93ff, 4ea3
3fc3, 3a71
593a, 967f
2433, 26db
3986, a338
1878, c3b4
ec78, 79c0
43e5, d0f9
5d6c, 526e
083d, 0557
967a, fdc1
bc76, b980
3195, 8b0e
1316, 0c90
051f, 0972
b6ab, b397
32fd, a408
ef06, e8c9
b197, d72b
17b1, 809b
9e5f, c8e9
2dc3, 2591
736e, 469a
b93b, fe8f
56ff, ee11
6729, d1c8
f609, cf62
2e66, 204f
2ef2, 50d7
00e4, 632d
405a, 3635
f210, fc13
663d, 755a
98af, 9bc2
0ee1, 6903
86a8, 85d1
c317, 6eaa
57ba, ea2d
2f18, 251d
8b79, 867d
1861, ebd2
3c57, bb7e
68d5, ecef
e5b2, efb0
e9ad, eea5
0af1, 08f8
d735, 5e3a
9f8c, 9914
2426, 2155
cedc, 77a7
5324, 843a
02dd, 0620
2f64, 5a03
9658, c3be
99d9, a239
811e, 73db
2c91, 19da
f5ba, 81f2
38a8, d3ed
f463, 9a60
6be4, 6966
de1e, 3d88
d968, 3004
ff21, f9bd
8644, 14b9
12b4, 8d49
c111, c441
be1b, bd48
b920, be2a
365a, 0b85
3ed5, 3dd6
1ff8, 54d9
3c76, 3275
615a, 6c0f
bb41, c379
e593, b9a3
e38c, 7807
d308, 41ab
faa2, 81a4
48d6, e2ab
0cd0, 03d2
a8b1, cded
019b, a422
4aff, 453b
c065, ea08
6c60, 6eea
26c4, 1d96
e02c, e3b9
a45d, 602f
7813, d0e0
5220, cd7e
d114, da8a
c6ad, c68e
18c8, 73b4
039d, 0f89
de64, 3d0d
793f, 420c
aceb, a5be
58b6, edb5
caba, 6567
48f3, 4b90
7994, 4706
59de, 2cdc
40ce, f2e8
ed77, 5676
eb12, e074
6e89, 3824
ae28, fd5e
452c, 8cf7
7eb9, a8c3
aec9, 39e3
7b3c, 7b69
d705, 0430
