8cf3, 77db
d1a2, ea12
5498, e19c
b0c2, f56e
b9a0, 72e8
0e79, 1ed4
8ad8, 7ef1
2890, 542a
07df, cb86
7881, fcc7
2778, 12ee
49c2, a0b4
1b8a, 665a
84c1, 6c67
b630, 1ec2
71c8, 09c5
dc3b, 033a
5610, 75d7
9b5f, fb09
2d12, f679
3b54, 19e6
10f8, 7fc0
fdfd, b61b
4d5f, cd73
9490, aecf
d916, cb54
e15e, 7066
d571, 87b5
31b7, 0bfc
0671, d654
79c4, 8d55
63b9, 7e05
8350, 9dc7
8d7c, 2fa6
ac5e, 9ea6
2956, 293a
c67e, 1085
4ce0, 16d8
5150, ada6
5ca9, e0e0
6be5, 6ca9
3949, c272
91d0, b079
150a, 4880
65ad, 5776
f215, 959b
0868, be08
7d0b, cdd1
a5a1, b139
fa4f, 8116
b988, d3fd
ba67, d47c
d392, 79ef
d108, 024e
0a53, da56
841e, 6e1a
59e2, a888
4e10, 9f3a
7467, 0ea5
648d, 5200
6d63, 1926
0b5f, a746
2da1, 9231
66d9, 741a
a833, 2f72
2009, 7c5b
dfa2, 713a
c21e, 9d21
aa65, fdcb
f3af, 9d4d
bab4, 7b7d
dc46, 5b6e
2340, 7981
3d1f, 0133
752e, 0748
9f88, b2e9
eae1, dc88
f8cd, f6eb
1f24, 85f5
7469, 7fe9
524f, abf2
6687, 264f
3bad, 9fd5
fb8a, 8e6b
6f6a, 852c
84a1, e0bc
cf22, a3bb
6632, 0dff
a9a1, 58ba
70cd, 0578
1c0c, 7f10
b3e7, 9d7d
1c1a, 957a
9c79, 6b0f
159b, e992
d715, 0c36
be5f, f8d5
8f76, 806a
7a32, 8fe5
924b, d4a6
ad18, c426
bb15, 32db
b185, d122
6d66, f87d
3e6b, a8da
1a99, 1a31
fae6, 82f7
8ba0, 39b7
544f, 43ef
a8c4, 5fb6
eb2d, 9d3f
8a28, ca80
133d, 80d7
e26e, 70b4
1a1d, a121
4b9b, 5069
9c1b, e29c
d22b, 9ce2
46e9, d09d
f237, 5cad
f4cc, 9284
45ac, f7c4
02a3, 0913
c799, adea
0514, 6028
b1b3, c8f1
0a29, ecb0
8cd0, ff6b
e600, 5c19
3846, 45c9
511a, b626
5163, 272b
71ad, f1e4
5ddb, e7fc
308d, 2cd6
f11e, d3f6
6609, 51c7
bced, 9e22
3ce7, 82e9
9202, a116
68f3, fef7
e125, eb89
3d04, b2b0
464f, c6e3
7287, 016d
60ba, 469d
15f5, 9498
17e1, 719e
eaf6, 9336
c63e, d632
1cab, 2eeb
c3f9, ec35
2ff7, 31f7
d59d, 9c9a
fd3e, cf44
19f4, b52e
1465, 8441
5f40, 775c
371f, 9502
e222, e61d
cb8e, b1f3
4c89, b02c
e9c9, ff5a
a8dd, 5ea3
95a1, b932
cfa1, 8cdd
76a8, 16a3
ed8e, 6fc8
bfc2, b252
5131, de32
6906, 620a
e4e7, afc1
6bc3, e259
3294, aad8
ddcc, 9050
a450, 46ec
8ac3, af17
7849, dbdb
ed03, 4329
3bfa, 2f7c
35ee, 54e3
fe29, 3044
0eaa, 53ec
ecd2, 128a
68e2, 5a4a
f30b, f600
8865, 0f60
06fb, 9069
e9cb, d14b
c2b6, d472
90b1, 39b9
83f4, c858
a687, f5dc
57ea, da7d
80e9, 7704
b3c7, 93d4
77a2, 044b
bebd, be16
f79f, 3eb1
fd2a, 61a5
39e1, 0e81
d570, 0c91
4ae2, b1ab
16d0, de04
abf8, f434
87ad, e96d
d30f, 8c4f
0a06, 9110
1d1c, 2516
7795, e201
b8c2, b20a
056e, 4972
8015, 9ea7
9b74, 25d3
02d8, a512
23d2, 55da
74e6, 7c65
88ae, fed7
db2c, 9a41
8f14, 4e04
9725, 833f
293b, fc72
7b1b, dbe7
5f50, c5a9
a3cc, d636
c147, 1dc8
1ba1, c929
8d7e, 8e7a
b9e0, 3d1a
6978, 3355
08e8, 7d38
7202, e16e
d7f5, d316
9e30, 9e5b
2868, 98e2
eab2, b24e
9677, 790a
89fd, 0393
76df, 3ac1
bb15, 32db
c04c, 1445
a880, 47f1
9bc8, 70bf
cb98, 4b69
ce4c, d033
6199, 5491
e5c9, ea85
02a1, 5c18
61e5, 37bd
