3311, 1ddd
7626, b4de
320e, 7986
9cb4, 9072
6b41, 20ab
25a5, 1107
bc29, 5e4a
8a74, 2a1c
c383, 0f20
9bf7, a8dc
a0d2, f180
d8d1, 1af0
a4f0, 1ef8
c745, b49a
c8b6, c9fc
7d46, 0348
c2e6, b59c
092f, b0ec
7bfe, daad
d100, 9ead
5bb9, 1314
ea44, 9b37
249b, d80e
69d9, fda9
268d, c84f
809a, f90a
6d4c, 432f
2d2a, ead5
8a3a, 690c
d24d, 264f
3eb1, 9a37
a468, b00b
4367, f78c
c8e4, f73b
f0a0, 088b
9809, 69e1
17ad, 2a2f
f494, 5e6b
c304, 6d91
09af, 87ba
3780, d8df
ad3f, 5f9f
56a6, d279
20e7, b8cd
bbd4, 7605
fe0b, c3b7
3158, 71df
1609, b376
a3c7, 5c38
67b1, 8b4f
e48a, aa17
1490, 6226
151b, d8a0
89c9, 5c73
95f7, 1238
43e8, 036b
0059, 41d9
ae3c, 52e9
e84b, 6891
cc97, 236f
a876, 0d9d
86f6, ca81
a0cd, 252b
17c5, 4aaa
5e6c, dbd5
8cb2, 8cbf
9af8, 43b4
76a0, fed1
078b, 560b
5e9d, 9e43
1982, bc3d
cd2c, 7444
aced, 6e6e
3eb4, 36f3
07a7, 4692
253e, 6040
c20d, be47
0533, cd47
3fe4, 16ee
2cc3, a8e1
0cc4, de3d
161a, 7c39
fa77, 55c0
1bf3, 0a44
2870, 1f68
3731, ff13
c5e8, 0e1a
6a97, 940a
9d3c, 50ef
fdb7, 4a31
fc32, 29e6
d06f, d9ff
0d71, 4ece
a379, 9cb9
014e, 0ca2
c182, 0143
97fa, b5f5
61ea, 7180
6941, 71a5
035e, 77d0
c540, e010
4220, 4f34
d4b2, b7a6
732e, ca58
360b, 3abc
27b5, 0de4
590a, 452b
e2af, 32c0
0837, 1421
a777, acb3
0abc, 0d4a
0966, 3053
593d, c002
a1e3, 34b9
d73c, 857a
70fe, a0bc
e373, 8172
43a2, 4c52
385d, 7414
d015, 2013
271d, cc4a
0118, 5813
02ef, 0e5b
da60, 3856
d296, c9a5
2dcf, d85c
c06b, 2d6d
cacf, 0c8b
61cf, a2e8
f296, 4180
fde6, 2cd1
7e63, bf13
f520, 4d38
93a9, df4a
400a, d019
dbe0, 95f2
5f00, 454e
6371, 6a1d
4582, 2692
27f0, dea5
f0a5, 1032
2af8, bc51
7b86, c0e6
6d73, 179b
90c6, a4df
3b15, 440f
df0d, aaa2
3a19, ac8c
6bd2, 996a
462f, b849
02c3, 028b
a452, d943
083c, 9ae1
b9b8, 1200
9632, 11a4
6270, 9bc0
5161, f266
c9ef, 1064
ed97, 152a
9696, e5aa
360d, 7037
493c, a6c8
c46a, 842e
ee5d, d1f4
8902, 7323
3907, 0fdb
dc5c, 53eb
53fb, b039
07d9, 9889
4b15, 4468
c94e, 55bc
835c, ad7a
9da3, d077
84c7, cae2
3f17, 195e
6191, 382b
2757, f910
872e, 394d
5dc4, e18e
0c6d, a793
268e, d885
bd3b, 9af6
8368, bc32
9618, 1a7a
c9cb, 704c
4c5c, 1a2c
8beb, 3a5d
a319, 2c87
eb63, f4e4
9de2, 18a2
7a83, 2423
8995, 897e
739a, a102
57f2, b975
