73e7, 8400
c5ab, da92
784d, 7a11
20d1, 932e
8e03, 5cee
d26c, b26c
ef53, b04c
162f, ae26
d6c2, 2365
05f6, a652
6395, 151e
8b34, 7e3a
da99, 66c7
a46f, 7cc1
60b1, d432
af28, 0220
8fd1, cdfe
55f5, 765b
532c, 1ba9
bc93, b5fd
29ca, 75cd
b6a8, 30e0
a3c1, f4b3
ee10, 16bd
51b6, aeb3
e920, 223b
9e18, ca77
1dff, de58
532e, e187
0cd8, 65a7
1a65, 02cd
4c58, f1e4
cc4e, 545b
ad15, d304
f683, 065c
5d63, 133a
c89c, c75e
0631, 720c
8b50, 4864
bd8b, 05ed
fb3c, 49d0
ee4a, a0d6
90d2, e0d2
f5cc, 605d
e192, 6432
4abd, 9326
466c, de09
6a80, 9f1f
a9c0, c96d
d73a, 9948
8cf4, 0d9e
0d76, 3008
17fc, 5227
5b55, ac9c
6112, e2a2
647f, 6bd2
f411, b54f
48bf, d46e
628d, bf98
bccd, 4143
2563, fc95
0e55, dcba
6bd4, 54e4
cc7f, 78d8
e64b, 9234
8eeb, c9c9
ade0, 53bf
8511, bf50
578a, 78a4
5f47, f1f5
28fb, 043a
11e3, 0f2d
eacd, 70b4
e58c, 3a80
7bc5, cfeb
d25c, 56be
719d, 9999
53ed, 5b5e
25c3, fd26
c487, c48a
29af, 1e73
e90d, 1f15
f493, a5f5
4726, f7c1
248d, 90d0
c7e4, 1a7e
f29c, 8dd6
a814, 12a7
5d7c, 51f6
2b88, 918d
f655, 9068
4799, 4a3b
8a4e, 583d
a7b2, 8cba
6a77, 7112
0d3d, 1e9a
7e62, 4b06
64da, 4249
fc26, 1b89
7c20, 9358
7048, 2e65
88e3, 5555
c39c, 77ab
6ce5, 44cf
f880, f88e
f77e, f776
36b5, d0c9
7f76, 8a7b
57eb, 6477
2aed, ebc8
97e8, 023d
ff9b, d25b
ed9e, df0a
6700, c190
d5a8, c110
b9f3, be43
1b43, 4bdd
08d7, 0d86
a283, 7d0a
0730, 3ec2
566f, 6131
a2ff, 4de9
c575, 742b
dcef, 3cd7
2731, 596a
02b7, 8f30
de8b, a0e6
2e9a, e2f9
783d, 7795
42d5, a507
8d7b, caf0
fb07, 6b86
22d0, 957f
7ba5, d818
5c35, baad
f64a, 4afc
7eef, f1c5
95ec, e121
edba, 9bc3
b76d, 3ff9
4d3d, 5f3b
41d8, fe5f
b9f9, b3ee
e15b, 235d
5df8, c765
a818, 1e02
85f0, faf7
9e38, dd69
8a19, f0b6
b6cb, 5717
3582, 5901
9094, 774f
88af, e270
5f2a, dd76
15ac, 42aa
00d1, 2c5e
5b3d, 615c
ff60, 6831
ddbf, fc65
7db5, dcda
fb74, 354b
f986, 8756
84b3, 98e2
282a, 9a54
3572, 6980
7d6c, 5e32
dfb3, 189c
ffa1, 7e84
35f2, 8075
8ceb, 8a98
181f, 5647
807b, 0e7c
f210, 2d36
9f80, 2dd1
2364, 48a6
a1b1, 0e26
cff5, 8d6f
cd7b, 832b
a4c7, b99a
0d60, 48d1
12bd, 3b67
9cfd, a7de
b4c6, 6b54
df45, bc3e
719b, 222a
3e49, 36b2
194b, 0c85
89b6, b62a
3710, c520
5623, 3208
d67f, b50f
9e25, dca0
e49a, 9385
83db, f53d
482a, 9e11
78fc, 32e4
57a3, 1ab1
d9c1, 9c44
b4d8, b3f5
e3b5, 6ecc
b42c, 943c
998f, 2b5d
7d1e, 780f
600c, 100c
db25, cc8b
079d, 552a
fcf0, ca87
d1d2, 4624
6a36, 8a48
83b3, 09e8
0cff, 4e71
8184, 1156
756e, 21f2
3ddd, 685d
0ad5, 05ae
d85c, f64c
5241, 67ad
0c5c, 3f7c
e2e7, 4571
ba67, fd4b
0f0c, 9483
e48a, d0f2
f4a3, 861e
101a, 936b
3571, c417
71a0, 8803
c32c, 8e44
256d, c915
9514, 74bd
ed45, ea5f
afb8, 01d3
ce65, 6d6d
28c8, 7bde
cb7f, ce6e
e76b, 7f1a
5085, 01d6
5d63, 133a
0329, 0de4
62c7, 6678
cc82, 3f48
2a16, ca85
61d3, e9f0
935f, d123
1a93, 7140
71e3, 11f4
fb02, f7c6
b502, 8986
89ed, 698d
56fe, 3844
af9b, 4ab5
c98a, cb44
0221, 2652
bc52, 0455
5dee, 57ef
8849, f37c
d5ee, 02c5
98b2, 2163
0750, 997c
7ea0, 3565
c9fb, 9173
3218, 50a2
04eb, 35e5
9740, fadd
04b2, 65f6
e308, ca80
eb57, 6c8c
311f, 1ca4
ffb8, 4d00
1728, 6619
3ed9, 51db
b422, 4193
a800, d702
4c2c, 9863
d535, d442
a8da, 969b
d618, e9a2
5073, 7323
f104, 87b1
d271, 232a
dcfe, c7dd
d6de, d84c
8aac, 2e33
76ff, 3d48
283b, ed5a
6f5a, 249f
a8e4, f4e9
42e6, fcce
c8a1, c099
146e, 8df3
1d68, ba30
5e97, bb7f
d633, 40cb
feb7, 336e
5771, 1424
3d42, fc00
68dd, 1f6d
10d5, fbde
ddfd, 6ddc
7735, 3a03
3d95, 78eb
e850, 93c7
9cb5, 7c96
eaa3, ca97
6006, 72ff
e973, 80b1
11ec, 24df
854e, d463
88e5, cd25
97da, 38c4
b98d, 125d
4290, 6792
ca2f, fc9b
c92a, 4659
33b5, e792
69a2, 96be
3676, 4486
1415, 06d8
62fe, c9e4
a80e, 983d
ba31, a2e3
1d5f, d3aa
d929, 5ac0
4b79, aa29
e38e, b044
8211, 51f8
f67e, 7c24
3506, 4f0c
1737, 7dc0
79dd, 2861
057e, f1db
4758, ae47
12fb, cf1b
eb12, 0326
2016, 1a21
4c58, f1e4
f31e, 91c5
17eb, 1183
bc63, d6db
a57f, e8a9
aa64, 8514
767c, 46bd
b385, e4bc
c3bf, 3dfc
3fb3, 6fe1
7de0, b046
9592, 7054
1f6d, 68dd
48e8, d47c
0f8f, fd2c
f568, 7794
9a53, 706a
9c21, db0c
0b43, 0cce
4553, bce1
331f, a329
9ef1, f8ff
4db6, 2f23
fbbe, 400e
f5bf, 4d8b
122f, c847
6453, bc9f
c621, 9ed0
3051, c092
4626, e783
ca38, 42e4
4852, 481b
9414, 7814
4588, 9924
e634, 1fc4
f7b1, 4901
1a5d, 6ba0
98b2, 2163
f46a, 281c
60de, 4ecf
e67e, 9fd1
0a13, 2a24
ea49, 4c7c
1d89, 6bda
034f, dec0
ab21, 942d
cec3, c780
ca32, 8aec
745f, 2ef7
f0be, aa04
f152, 6326
f618, 2d50
488c, b556
533e, 36db
e2ec, f58b
dcfd, 8728
1c15, ce1e
3ab2, e5c0
fddc, 61ca
3f43, 3bbc
ffb9, 82e7
c770, c211
65ef, 28f9
115b, ac7d
b546, 4ed0
b3da, 2166
e166, c1ff
9d83, f830
b69b, 7b4d
f6e4, 1364
35ce, f9d7
bcee, db7e
4374, f374
f247, 78ed
b39e, c393
4969, f566
c289, ef00
aabd, 75f2
7625, 8ad5
f818, 559b
7206, 0968
6464, 1149
808d, d885
8126, fd00
fa94, 9a9b
8b72, 0d30
3a39, 0a55
5350, c12a
77b5, 1f70
d732, fb0c
df48, 34c1
112f, ff7f
d277, 8e51
05c3, e7e3
c7a7, ed9a
9a0e, 83c5
4e86, 9f06
fcc6, 7bd1
34ad, 3624
c65b, 3d58
fde9, d448
da24, 8997
e24f, 54be
1461, b5fb
9869, d501
de3b, cc96
0287, 4b51
5040, 09ab
1ce9, 6474
2cb4, 5317
b962, 4990
7d61, 20c1
7bd4, a275
8ec7, 72bb
4e98, fc7f
2f40, 5495
74f9, 4eeb
ae27, dab7
c8d4, 0e9b
6a8c, 648e
58bb, 5d4e
df74, a39b
b238, 5b5c
d8e4, c321
df8a, 6162
60f2, 167a
1dfb, b5b1
6d09, 97c8
4871, 5f3d
f71c, cb66
4beb, a0c1
1b33, b9e0
9a4e, 730b
98f2, 5943
cdb0, f5a0
e539, 060b
f850, 1ef8
36a5, 433e
6fe9, 7a50
5331, 1419
23a2, 0d52
47a3, 71f5
6c84, 1c84
a242, 9df2
dc7d, 4da2
4f7f, ab76
2dee, f29a
4d9f, 085e
5a53, e4f2
7e30, b6bb
14f2, 78e6
6443, 972f
637b, e55c
ecb9, e02a
91aa, 95b7
9198, b152
c887, bed9
039f, e8e5
c5dc, 4358
f754, b2ba
8c5e, 17ee
2039, 5809
b263, 0621
c117, 37d5
45ad, b2c9
5c7f, 7477
31c3, cc66
8cae, 6429
5aeb, ac88
d792, 5de6
936a, 7d44
f8cd, 152f
3d18, 8f3f
847f, fe3c
0bc1, 9cb4
871b, 2853
1220, 9f50
17c3, 65f5
7d0b, 336a
099d, 0794
