e945, 211f
58d0, 0b8a
9594, a859
bcbb, 37b3
533d, 444b
86b9, 8ed7
b7e4, 17df
6689, 52da
22da, cd7e
6b62, a0b4
dd2e, 0dfe
3704, ec37
f381, 97fb
c4bd, 87b0
340e, 3ac9
9c99, 1c26
df85, cd24
4f78, 65a9
43c2, 5499
385c, d8b3
cdd8, 6daf
8fe5, 5f69
b577, c4a2
8b04, 5351
e356, cd5f
a061, 1170
7f4a, a980
48bd, f1f0
3a94, c165
3f10, 2866
07e4, 7a0f
dab3, 1ed2
8ae1, a8e5
3fe7, c131
824e, e4f7
4fba, 9f06
cad6, 5409
732b, be9f
ca22, 35b5
f9a1, 81d8
0173, e12b
ea8b, ca2a
9bf0, f69e
bb07, 0341
987f, 0fa3
c19e, f338
af8e, 8457
e3ff, 231c
a14c, 3ee3
efc2, 58a2
d323, c323
fc28, faf8
fb59, 4632
2932, 91bf
2844, 2859
5f97, a8ef
eddd, 5e5a
0031, b0a3
d28c, 0955
881e, 2fa6
7329, 07b0
f710, 15a0
baaa, 32a2
6c8f, 4c56
76d1, 5f9d
f23b, 5e4b
637c, 8797
5162, 8c47
bc4b, 09bd
284a, a0aa
c1d5, ccf2
b78a, 0a6f
4c3c, 2a35
ec69, b956
c0b1, d084
98de, b1de
81fc, 7ef6
c71c, 6cf3
e222, 41fa
34af, 6138
d34c, a47d
70b0, b50b
ec7a, 747c
f692, 9bf9
a725, f8bf
65e7, da68
2b07, 77ae
b973, 357e
9d37, e755
9143, 418c
4653, e995
b6fa, 46ee
1ce1, bce1
6730, 795d
4195, c688
ff31, 3f67
b8b3, 388c
be89, b44b
3710, 35c5
2694, cbf3
a0fe, 1d2e
b258, e453
58b8, e885
eef6, 5a01
408b, 4bb3
6439, 5719
cc55, 8b9b
f5eb, 121b
03af, 832f
b9a6, 0196
cd1d, 3007
1a73, b83b
883b, 32f0
acee, 0d87
bfbd, cd0b
3500, 3450
cb39, df5a
9f6a, 2b24
8fb8, 0885
0c98, 77ac
accd, 71a3
a18f, 3ab9
5404, e391
ca41, 5b4a
bf8f, ca56
9ae0, 40d7
55a1, 2a01
d0df, 00ac
0c1b, 70e6
a05b, 7984
519e, ba01
3f48, 244f
bada, f830
9800, 0682
8a4f, a9fc
bb11, 6c44
a3b7, 7afa
6fc8, 6cf6
ff1b, 4370
593e, 3537
f06e, 6149
48a3, 5eb8
ed8c, adee
09f8, d55f
b76d, 3af9
cc42, 14cc
b0c6, ee17
6700, a6fe
2776, 8ccf
fbe5, ea27
ecff, 2c36
97cc, 6fbb
1bcd, 7bcb
55c8, 7cab
bde1, 38e6
975c, a317
028c, 84bd
c308, 4463
3794, 87cf
c861, c084
5c77, 7813
3e78, 1e50
d2c5, 694a
3c7c, 31e8
965d, b558
72e2, 8972
4ed5, 6e48
5efc, c18e
a361, 6929
dce0, bbd2
a519, 053a
6599, 1d68
54ca, 54fc
7da7, 1c1d
eeb8, 140c
78a7, 05f1
23f6, e59e
7d21, 1dca
5809, 9688
2968, 054a
eaa6, e45d
96b8, aa25
0bc6, c0a6
a954, 5e71
bced, 0b0e
f1bd, 7675
f12f, a1fa
03de, 567a
15a4, f6ba
1414, e634
e0b6, 5306
1279, 828f
0907, 0899
2132, 0c8f
2eeb, 818d
6671, bceb
7f46, 60b9
4ee5, 4d07
f9d4, d016
3ae5, 86d3
6e5a, addf
e1fd, cca5
ed63, 6ad8
0b31, 0b13
7ab5, b668
4a03, a627
3703, bc0b
fa19, fa97
8538, 562b
308d, 4f03
94c8, 72a8
9dfc, 1e6a
9f76, 5f1e
8444, 963d
d19f, 4761
5ec9, a261
6f65, d2d5
e67c, 060f
1004, 7cfd
b2e8, 02ef
a78b, 674e
3d19, 4239
2fa5, 5fef
10f1, abc1
50c4, 8e7f
7aa9, f9a8
abd4, 71ec
8a8d, 89e6
7af4, 55dd
cdce, 1e2f
06c1, dd97
bd67, 8f41
6dd2, 1ae5
179c, a8fe
4b97, 8a38
11ec, 6bd4
9817, 9624
e45b, e111
b0e4, 20eb
2496, 8adf
5af2, 26c6
2158, 9183
c880, 36b8
cb2a, 7e88
ff69, 2066
7f95, a8b6
ccd7, 88a9
e873, 9e1f
46c3, 6733
370a, 1b59
b595, 1913
40ec, 4898
068f, 89ec
2fc3, f8c8
4e64, 240c
9ef4, dcca
f1f2, 6448
9c7a, fced
a095, c69a
da00, 3205
845e, 7a93
e236, 9713
46aa, 498a
295c, 7eea
190c, c32a
c95b, d15c
c34c, b4ee
d551, 6270
50b8, 3dd5
eafa, fff4
2dbc, 2a51
fe2c, 901c
9ce9, 5148
80dc, f44b
0ad1, 8010
40be, b025
45ec, ee3a
6cb7, 0fd2
ea72, 14d3
4ad9, d412
d9c2, b4f4
2b2c, 65ca
a2ba, 5e35
64a2, e10c
62f1, 98b9
c3d6, bdab
de53, d939
4b48, 3e69
d466, 62fc
f37e, 3823
97df, 3974
68cf, 5c22
5c6a, e9da
5b76, e371
0dd6, f7c0
47b6, f68e
0672, d0e2
da96, aee1
2aff, 7882
bca2, 8497
75c3, 32e5
ea0c, 0ce1
5dd2, 8595
95d2, 37c8
30df, 832b
fa62, 5394
ea78, ce40
8e6d, 716d
033e, 8b38
0613, ad66
cdb9, 3f87
64ea, 79e7
93c8, 924c
27c8, 7e02
f3e3, 30ff
bc04, e747
697b, ca44
1afd, 4ccc
69cd, aace
b0e7, 16bd
4879, a447
d205, bc71
8009, c39d
46a6, 5c70
a591, 684f
af50, 49c3
8edc, e23a
36bd, b8bb
a797, b232
3c31, 0c17
547d, bbe5
47e1, cc4b
714d, 7540
07d3, 7edc
9211, 0ff3
1a4e, 6c80
e061, dd13
52cd, 48c7
b2a9, 72bf
bee3, 1c4c
