a341, 085b
90d2, 9323
a8e2, 0c9f
c619, 921b
5cee, cf91
120d, d307
f1fc, b3f4
217d, ed72
4f95, 498f
f697, f6a7
6a55, bf98
d8a1, dbc9
94c4, 9c76
631a, 5808
d989, e27a
3b91, 318d
1433, 17ea
43f8, 02d6
3a41, aec5
60dc, 23fb
08b3, 0ca8
daaf, edfa
cf05, 17f0
c30b, 11ec
24b1, 4b8e
e9a2, 02b9
f54e, ae7f
99ef, 608c
36ac, d069
7099, c82b
3f8d, 0b38
b534, 5511
5e05, e6f2
1b76, 3740
5f59, 905b
df88, 3139
11fd, 4f87
0a3b, 6e16
cec4, f7f8
14a8, 7ef2
2965, 1a03
6a5f, c705
53cd, edcd
a2a5, c0f0
9e2b, 7d28
581c, 6afc
0cbd, c9d8
d600, d566
5f5f, 60cf
cc7e, b3d7
7c5f, 3915
c9c5, 903b
6d28, d79f
65b3, 41a5
e2ab, 30ab
8116, 31d1
0b0d, 0a07
7fa1, e30d
5cf3, af0d
39e3, 14c5
eaef, a84d
54d8, 00c8
c839, 68aa
3c79, 4fdb
cb61, 64ae
5206, 71e9
eb43, 416d
a8b2, a124
6d4e, 5b82
a8b4, 6c0e
6028, 28cd
c471, 537b
5883, ce00
9a9e, 087e
aa6f, 0cb8
9cac, 5faa
08ac, cb0b
aa1e, c360
415e, e49f
f130, b22f
196d, 791e
807b, 6ff9
6264, 600d
18d1, e20e
fbe0, e4ff
acf2, 3292
0245, fa81
b6c6, 5b38
0340, bd74
5938, af53
cd2e, f032
a26b, 3fec
b201, fb20
cb05, bdcb
714e, 119d
24d6, 3bdf
5883, ce00
5f85, 2932
aab8, fc05
8057, fa8d
51f0, afa1
83a2, 84e8
151c, 1c30
2d70, cc5a
27b0, 1676
8664, 4c64
d12b, 4d4c
37d3, 7881
90ad, 2bfb
b4c8, 3d3f
feb9, 82dc
53b6, f4b1
9e86, 8673
4099, 3558
4a7f, ed7a
ea56, e10c
0f57, f95e
c0f3, b26e
2bb6, 745e
785c, 2373
6c0c, c639
a0d9, 9a03
f6f6, 62ac
343b, 2a69
3365, 1559
314b, e895
2539, 803f
8e95, 3bb6
aec3, a852
d780, 7bef
c1bc, cad9
4b55, 74ca
a2bf, b3b9
1af0, de16
32fd, 4f5e
31a4, dba4
a5eb, 0d1d
0af6, be1b
90c1, 085f
be04, f8c2
6da2, 6afe
0adf, dcb8
9609, cf36
8842, 4894
b15f, bd00
640a, c435
cc7f, c0e5
15a1, 7cbb
e8e5, e19f
3b2d, 3b4d
9682, 795c
0f99, c54b
2f86, 0e4e
aa77, 974e
8043, e2b1
4ed4, e44e
cbf0, 6999
e0a9, 1515
8f31, c24a
623d, 8d18
d197, de7d
bebb, b895
0480, 9bea
fb0f, 0760
2015, 9e5d
48dd, 24e1
2119, 48cc
1909, 0fd2
343c, d8af
d9a8, df12
283f, c758
e51e, bbae
cc39, 6ccb
bc61, 44f7
8c1d, edd3
3b67, 38c3
63e7, c6d1
b71b, ad3b
74a6, 81e7
7569, 450f
7706, eb3a
d2ea, 7345
d482, cd85
2bde, 2d7d
072a, be9a
9ef3, 12a2
5882, 0898
27b8, 2478
5ac3, ae37
c80a, b459
d498, a18a
6fb3, b2e1
f401, 5e67
c9c9, 7529
83ad, 3276
9993, 9071
50b3, f29e
e722, d444
aea4, 88c0
ae0a, 4798
9ce6, c67a
ccaf, cf1b
d449, e8db
3404, e162
2fec, fe79
5321, 81af
4b23, 6ee0
49e6, 40bc
3d3f, b4c8
34dd, 84d1
bd8d, 3679
3d99, f2ca
9ff0, a16d
3bcd, 3b0d
d2e0, e395
d210, 0087
0d93, b4e2
6c66, 8906
2ab1, 4a1a
c7d1, 8cd5
1fa3, 78b2
14f0, 3b5f
b31a, 9464
8e97, d4b4
9117, be11
