2a5d, 5955
1fdf, 3187
d84d, 0340
5495, b7a0
151c, 7115
c9d7, 852e
313c, 8183
3f39, f4f8
e7fd, 0f90
8156, e184
18cf, 7e22
26e6, 551b
3c4c, 2276
7e7e, a810
bd8f, bb35
1db0, 4fb8
1674, 494e
92fb, 8846
236f, 79fc
67c8, fe02
61b2, 2237
cfd3, 4aab
3fff, bf08
a5a2, 6aef
1589, f55a
ecc2, a152
1079, eaac
dc42, 303e
d388, 5c82
5222, 9e22
3c97, 5a9a
54a4, ea8c
09f0, 6aae
ca78, da9d
a6c2, 9e00
8e51, f2cb
a5fb, 1120
6344, 63c5
757f, fc11
be1d, e3ad
0742, 0cd2
9c9e, a1f5
c6a3, 4ee6
9d46, 2687
d363, 998a
c4f5, b474
1c18, 61fe
0025, 754c
c442, 6f45
e559, 558a
0d74, cbe6
6e79, d978
e74e, 4d48
d436, 3a44
a8e9, fbaa
e32f, ecb4
f61f, 4079
4292, 3260
5628, bd9e
da43, 4b8e
bb36, c860
5fcd, a826
286f, 4b07
2500, 50a7
6c46, 5c17
50ee, a3d2
146b, 17be
0613, df3a
d184, 9bd0
f84f, 0a80
27a3, bf2f
1501, f401
f699, b62d
0fe4, a81c
1d5a, 7d81
6cc1, 79ea
2078, 81a2
17e7, 741a
22d2, e8d9
84b3, 0cf4
5520, 6fb3
07a8, dea2
2e90, c897
85ae, 04ae
9078, 0c27
ef17, 08e1
b6c8, c875
df0c, 8a70
43e5, ef99
f148, 2a45
91e1, 4212
b652, 43d5
5a29, fa4b
f560, 0bc7
6fd7, 7e66
00f6, a01c
4b20, fd5a
eec4, 01b4
92a3, 89b9
49d8, 58d5
0bb4, f2cd
d261, a9f8
490b, 28aa
b1d0, b93e
af91, d036
83ee, c8e0
1e43, 87b3
f9eb, a0b6
c277, 54a6
1b01, f920
0ebf, b7d2
8ce5, 59f0
8432, 2388
57a8, 23a2
4524, 7788
390b, 59db
7211, 7342
6757, 86ad
ca9d, 1e48
2fba, 9f66
a734, ea0c
45c6, 9c2a
b947, c139
8522, 454d
0c11, 89ef
3658, b85e
d211, c792
725a, e035
b0bd, 0aae
8885, 08b8
7d97, 9d19
0f64, 5446
94dd, 9d94
8c30, 99f9
9184, 5954
8d67, 02f7
2c52, d2c1
4fc9, b1f7
40c0, f859
87e2, 42c7
e000, acb0
4be0, 2160
bda1, 3fa1
0d2d, 4bf2
ed0d, 9847
8a52, 141b
27e3, 4e0f
4cd4, 8da4
2be4, 4baf
9b45, 734e
b191, fbe3
41da, d278
36ab, 946f
4648, d24e
3b7a, fb7e
6c7c, 7990
7c5d, 6130
c16e, 87e3
c4fb, c5e3
f619, 20e9
f427, 898b
7673, 4beb
8135, 3a48
51e8, c22d
ec10, ed00
87f6, 216f
858f, b934
bc69, d826
18b3, 485c
e561, aaa7
2686, d39c
04f7, ead0
f5f9, a9e1
8d0a, 1593
0a21, 857f
143e, 6950
ce43, a187
b823, f5c1
911c, 8664
7f22, 4b3a
1bd6, 13f6
c28a, c021
ea3d, 2a14
ff18, 739b
12df, f23f
f1e0, cf03
9da6, 41ba
1bb7, 99fb
4578, d0d0
522b, ecec
f466, 4a44
7ae7, d088
bacb, cd0c
c25f, 81cd
9a26, f8ae
cd8c, 6a2e
8569, 7c3c
473f, 8bef
58c2, efa2
4aab, cfd3
d097, ddc1
1dd7, 1a10
3cdb, 762c
713a, 71d2
ad15, 21be
6428, 792c
