19e6, 131d
496a, ecc4
c84d, bbde
37bb, 3200
1015, 11e9
a953, a96e
d76c, 5a5e
f8a8, 3fa1
0205, 0ac2
7bca, e02e
57ed, 50df
da8e, 86ad
46f3, 1596
9b2e, ee11
32bb, 357f
059c, ec10
9748, 918d
ffb9, feb4
1678, 1225
1798, 70d7
4fb7, 45b8
3d4f, 3039
8699, d02a
2c4e, 6610
ad24, c2a7
21ee, 6640
cf34, 839e
27b8, 9bcf
3f55, f2c7
89df, 050a
ed52, 62fe
60b2, 175e
3205, f045
81e7, 6454
3c0d, 38e6
1dde, d05f
71c7, a02e
6077, 3ece
477a, 221a
f5bc, ad15
74f9, 192e
254d, 283f
1a2c, d8bc
e85f, e344
3e88, 8d4e
8c82, e027
6b0f, 8d5e
1f04, 91a3
d887, be86
3c6b, 8555
555a, f77f
7835, 8d98
9c20, a1ee
b436, 92eb
7aa3, 06b3
5ca1, 188c
2a0e, 4403
d597, 091c
391d, 3518
0756, 0937
3824, c48f
938c, 9040
f476, fd7c
b3e4, d764
38c7, da07
b421, 0a72
2010, c62f
25af, ac93
c5bb, 52b5
e3b5, 535b
1fa8, 1c3a
99b5, 95db
7b0b, 70de
e61e, d070
d700, db0e
9892, 5d9e
2ca0, 221c
efd6, 3386
a718, e1d4
4681, 7f81
b834, be67
ea7f, 18a7
9dae, f8a3
c9f9, e274
a012, efbe
5eda, 8eb1
e236, 1916
1c5e, 2538
63d8, 6643
38ef, 5314
5e15, 5bab
3585, a203
46f9, dd90
5851, 58f8
c27b, 5575
2f22, 10e1
69c2, a4f9
a2b8, 6583
626e, 3b9f
e7f7, 03da
636f, 6763
12d7, 3929
1b51, fc83
35c0, e171
6189, d5ed
5a96, 8443
cb44, b19d
f8ad, 98a3
cf37, 5fb8
eedc, 28ad
facc, ea58
9539, 6c5a
122c, dfbb
c493, c19e
8ce7, 424f
3324, 3627
96f6, c837
ab85, db67
609b, 6191
0920, d8c6
f978, ffd7
20d4, 3b07
8589, 87d5
5802, cd01
ad1b, 6d41
38b5, 0fc1
a488, 66d9
13fc, 7c0a
b48f, b876
8fbf, 857b
808e, 8f43
159a, 46f8
59a3, d69a
0400, 7dd4
29d6, b12c
6fdb, 17af
e096, 0ed5
5523, 4788
c56c, c560
7483, 0bf1
6e13, 6cfa
b7ad, d174
404d, 5a4e
ac52, daad
ad63, b2f9
15f2, 1914
5593, ed31
3fd1, 54b5
c27e, cc73
9b3c, 12a8
6b96, cb9c
d587, ddca
0525, 08b2
f6e0, f3ec
5e4d, 0dbd
d67c, 1a56
8bf5, ebcb
0a06, 112c
7b1a, 5889
5f7b, 863a
8edb, 2c1c
064a, 6b65
46c3, 76ce
fab6, f8bc
bd7b, f826
2e11, d1c8
6393, 7c59
f317, f614
454b, 2331
6b66, 6667
3513, 391e
2bc6, c4f7
ee8d, ebd8
3497, d1e1
f0cd, 6979
d0fe, ead8
8a4a, 8899
2e24, 5e2c
ccad, 80ef
9227, 7dae
023e, 43da
5add, 07f9
0b6c, c6dd
7d44, 4b84
d48b, da7f
92f3, 5d3b
7eea, d7f1
d3d3, f01c
dce3, d341
0206, 76fe
3e00, 4c78
2443, 3d65
b9c5, 209f
a729, ae70
3035, d63b
b195, 547b
7c7e, 7292
1df8, 22c9
d686, d5cd
dfa7, d2ba
abcc, d3f9
c1db, 31e1
6cef, 629a
9384, 79f6
7d0b, 70dd
97b1, 91d2
062b, ef6a
a365, a132
78fe, 1ba8
a05b, a151
8e16, 234f
9f7b, 90ec
4503, aae9
5ee9, 81d7
f55c, a550
4e94, f06c
a9bd, 11ef
c279, cd14
ccd3, d36f
e95a, 3a40
50f3, 5dcc
b83f, 1b06
6df0, fbfc
ea05, e227
198f, 130d
fdb3, e7bc
5a77, c474
a6b1, 4d31
ff25, e512
4192, fa9f
a733, a366
86f7, 33c2
a4ee, 6a78
36ee, 4819
8ced, 2bec
77c3, ab73
e324, e3e7
a34f, c2d7
91a7, 9414
e851, eaa3
3a10, 54a1
b822, be71
9562, 9f6e
d43c, d760
dc7f, 3d5e
2ca1, ba51
87ad, 8118
d047, c1d0
fbef, ceeb
ecc9, e21f
3969, 540f
26ad, 2576
e58a, 81d0
ea8b, 8d01
3da7, 3402
372b, e2ec
7596, 18d0
a2ea, 02b1
1ac3, c33d
9c18, 5e60
03cc, dce4
3a3c, 100a
f961, 0123
9697, f322
d231, e201
bf5e, b003
1be0, 489b
c1ee, ced2
b992, b2e1
970f, 916a
d48c, 3111
7c8b, 208f
5e24, 5181
ce5b, bd00
3fc6, b7d4
6e34, 6f39
3964, b451
1222, 1f7e
3d94, 9f5a
db93, c7bd
ac53, a968
4c1b, c2de
d4ff, d2dd
e1a5, e9be
9e04, 9369
f8db, 0fc0
8bd2, 57e0
4ccd, 44ca
381f, 35d1
ecd3, 4c5b
20cc, 70f0
c266, 15c2
dc8d, 31cf
9725, 8e88
c5a7, 17da
e37c, 73a4
bb19, 50b5
c356, 86d6
7a8a, 5774
7a8a, 5774
f720, dbbe
a986, acd9
b8de, be43
8c1e, 24b1
c102, c3aa
452b, 3f8c
19dd, 1344
85a5, 32ab
ddd6, d06a
0ce1, 40c6
24b0, 2609
2890, 7aea
1765, 13d2
579e, 08dd
ff67, fe66
3331, d667
7147, 2184
7e54, 1bec
375d, 8cfe
cb1c, c810
f7ca, f4dd
edf6, 8bc9
89de, 870b
71ae, 2ec8
115a, 2a39
d501, 3c31
e1e4, e421
af6b, a434
9515, 2de8
a79a, e35f
f2ac, c60b
2195, ffbf
cca7, 5212
08e0, e681
7510, 1170
c1a6, 1266
c061, c11b
7281, 7cd4
c3e9, cbf6
624c, a94b
6fce, d885
