e3b6, 7511
e821, 9881
c85d, 7e04
d0a8, d1d2
3687, b7e6
5009, 031e
13b6, 2d9b
3b3f, 1b19
e8a4, 495c
f3c0, 15ac
defd, b2ef
d58f, d7f3
1bcf, a5c6
ceea, 0ee0
0d43, 6109
1b85, 35bb
f6b0, 4038
1cff, ba70
36db, 5dc7
e679, d629
e44f, e746
dc02, 46a7
995c, 2fa0
8f6b, 370d
217a, 18a3
48e1, 95f0
696c, cd4d
01c0, 7c12
2382, 4b93
e322, b706
b052, d3c5
78c6, 75fa
d1b9, ce08
8af0, e8ed
3eef, 6ec3
092a, 0ea3
6ffa, 2eec
66c0, e1fe
63db, 8e4a
331e, 8c50
4a03, 4413
c667, 7f2c
724b, 7451
2bbc, 3650
63dc, 2983
b4f2, 46b6
3ea9, 504e
030c, b32c
8608, 9334
3edf, ea24
6b98, d15c
e038, c0a0
1cb1, 78e7
74f4, 6fd9
6f41, 3978
8f41, 73e2
0aea, c106
02bd, a878
8b3f, 038c
af87, 7536
a678, ccc7
bdb3, ebad
29ce, eb94
3381, 7c91
cc42, 0d33
33d8, e1ed
d4d1, 2fbf
6695, cd58
fd3f, 95a4
1aa9, 36cc
12f7, 3298
85cf, fc21
9a7d, 90d4
d9b5, 0886
6715, 043c
d563, 2d78
75a1, ac88
fa1e, b3a4
13bb, 878f
46b9, 9d18
b4cd, b287
5f5a, 8477
678b, 1a01
554f, 6bce
9278, ef27
a7d4, 6520
af23, 121f
33fa, b403
6484, b2e4
5a9c, 9fdf
ff3d, ed6c
6a72, 7e5c
59ce, 7b42
0450, 05c7
7bae, 346c
be5d, 8646
9544, 874d
99a5, 2602
8e5e, d53a
26f9, 4e79
bf47, a266
a04e, 7c00
58a5, 5e6a
48af, 5a91
3931, 3bfa
0c84, 9a71
1f92, 54fe
5d37, 4fd6
ee52, 80be
830c, 304d
62cf, dde8
bfd8, d040
d89e, a349
e635, 2301
155e, 9934
3ab7, 31d4
98fe, 5c5c
b304, 65cb
6436, 0216
c110, d53b
53d6, c843
d208, d4f5
49e5, 59ac
da1f, 295e
