25dc, 1347
c4ca, c86f
b736, 9f2f
26a6, ecb6
44d4, cf4c
399b, f07b
6c2a, 87dd
1441, ceb7
141e, 889f
330d, 3717
9afb, db5d
8421, acd7
da2d, 0191
2764, 43c7
18d3, 3e68
c95e, 4bac
b948, bab2
5755, 0156
e5dd, 57dd
ccf2, d7f9
ac6f, 7832
d107, 7312
758f, 3485
2911, 8879
a43c, d643
8728, 17f0
78b8, ca27
62ec, f039
e58a, 75d0
a21d, 0043
39e4, 0d07
2dfa, d547
0279, 2da0
b719, 1029
ae82, 6676
6926, 4d1a
64d7, eda8
a2ea, 88c1
ce1c, c264
93de, f438
9d45, ae6e
5609, 6c0d
9a34, c15e
b0f2, b2af
037b, e452
ea9b, b8f1
ef59, 94b5
3a5b, 3b1c
e2b4, af55
5b5f, 4b68
6adf, f00c
7d0c, 9a87
f79c, bec1
fef2, f03b
d0a1, a018
e025, 13b0
56f7, 3c18
af96, 9dc6
1244, a036
ab00, e430
ad86, 164e
a14c, 7a07
99b9, c89b
5d31, 0862
3cb1, 932c
a293, 48c3
9f7e, e7d3
b10d, 3e2e
5f58, 55a4
de2a, 4860
d109, 841c
17da, 0d6b
253c, 7045
4294, 5c7c
0f45, 1a26
1d7e, f3e6
f73e, f333
3326, 4ef1
183c, 8d75
8f16, 23d9
1301, bd56
2144, af64
0c13, 5cfa
6da5, 1fd0
2668, 9ba7
bf12, 69d1
5576, 73ce
6c82, 480e
7baa, c29b
77a2, 64d3
8233, 772c
f624, 565f
ad72, 0a69
58b3, c35b
9f11, bd62
6fb4, a0ab
cfd0, bfbe
364e, 9e01
c9e9, 337c
9639, 8ac1
1739, 30a4
93c7, 9c00
bf47, 75af
0465, 77d7
0b4e, 3992
20ba, c5c9
3c8f, a140
4c63, d293
6063, a83b
3665, 7570
ba23, 746d
797e, e492
2db2, e40e
14b7, bc90
f969, a46e
a7d2, bb84
d2c0, 3502
fe88, 5efe
07e0, f3f8
744c, ba29
82ab, 79f5
c9f9, 3fac
10ef, 065a
9ed2, a796
0e66, e9a8
1ddb, 8d8d
da76, 6f37
f8a3, 0ffb
a6dd, 8eda
632e, 6947
d7aa, b239
e09b, 1fad
9821, 6b40
cb6a, 6852
6e07, 670d
faa8, fdab
f9e2, 4ded
31e4, c81e
c179, e3b3
c453, f173
4a2d, b14d
8961, c269
74b0, b91e
1c2f, b08c
d6f1, 838f
68c1, bc4e
1dd9, fd0c
cbd9, 5cba
116a, ca1b
2be5, 0a60
9c4b, 0377
09ec, bcc0
700b, 3f6f
61a9, af76
a22d, 453a
e5ad, 7004
7c51, 2980
ca70, f2b2
4d83, 292c
ab1a, 4d43
4762, c78d
7387, 85d2
5fdd, f270
1494, ef9e
4023, 66c1
d49c, 5973
661a, d9f7
84dd, 51bc
21fe, 0a29
33a3, e66f
5a34, 9d6f
8908, 3335
e373, 9d8e
88e6, 0ac8
b030, 4bf5
54d9, 775e
fc6c, e634
ff5e, 1c50
89c9, 5924
0736, e3c2
21a4, c31e
3410, 4659
a4d7, 17ed
1600, 8655
c28a, 4563
6962, 0844
8469, 8768
c74e, ab37
13f8, b0d8
9552, 7e39
5a4e, 6f45
b64d, d84b
8f8a, c750
8a89, 0256
bac5, b117
2c2e, 63b4
c73e, de46
475f, 3ef8
85f8, 9340
6472, 1ccd
16b2, 8647
56b9, 21e0
bc8e, 0abe
7e0c, 2a4b
3d8e, eb85
ce63, f12c
11af, 0be7
0ef7, 5c40
2e21, db8a
3813, c3cc
c52d, 641f
f280, d8d7
19ac, edfc
5dab, 9ac1
494d, b0a6
14e4, a652
a433, 2eaa
0a65, 4876
2d6b, 9d37
03cf, 6415
1036, ad69
d507, 095c
67e0, ff51
cdd9, 596b
a1a2, eb7b
e13c, a003
bebc, da97
462d, a4ff
7fbf, 8822
fb9e, 5896
3ea9, ebfa
1753, 7cc6
e77f, 9659
4f25, ceda
788d, 9d9d
a248, f534
1f4a, 45e5
7845, 2f3d
ff95, 8c64
7aaf, 336e
5b49, 311d
bd18, d685
ae6a, abc0
0f5f, cdf5
0d75, 6496
c5d3, 38b4
7727, 9d7f
62ae, 550d
5709, b54f
55c8, b76d
1b23, bf93
e1b5, b1fa
e40b, 5e47
9537, 25a8
8205, f708
97d5, 9d21
f1f0, a444
2594, c2a8
880e, ceb8
16dd, a801
3511, d29c
01b0, 6231
df89, effb
b70d, bb92
7bcb, bac7
863d, cb1b
bb54, baa5
2fa6, f3fe
bbb8, c949
4316, 2aba
ff7c, 34d3
03d2, 2647
d4d4, a983
8438, 6ccd
c457, 6389
66b4, 2433
d983, bfa7
2497, 61ce
8a8a, 2c13
148f, ab81
72b0, df5d
c6cb, b6ac
78d8, 60f4
1488, 6220
81d6, 92d0
8868, d976
9788, e242
6e1b, aa58
d0df, 5c31
065f, 807e
5ddc, e2b3
b5a9, b399
