7bd5, 7e3b
2a4e, 7559
bb72, 2840
697f, 8da2
036e, 1994
f792, 5203
3b04, 0c2c
01ae, c175
4eec, 9b08
44ea, c082
46e4, 09f3
d0bc, a700
f557, c3b8
f826, f26b
ee06, ce49
57e8, d19f
e7ed, d304
7c01, 2ef5
15e3, 836a
90e7, e0e5
3575, 8df2
514e, 6c6f
03b1, 11e2
704d, 3f8d
fa16, f7a3
3adb, 01dd
7f59, 9908
54ff, 6037
82d7, 2a65
45d1, c176
8335, 0ec9
660a, 3980
850e, c0a5
ae7c, 7b30
dd84, c849
7a96, b595
2d84, 664c
b7b4, 5219
8293, 5962
bf51, 0095
1501, c21f
6321, 3b49
8a7c, 768f
f065, 63ea
678f, df5c
1464, fda8
2e88, 7ad1
f5d6, 9628
4866, 34bc
9f49, 12dd
0844, b1dd
c78f, ff89
9547, 14c8
e067, 3adf
6596, 1874
1797, dd08
798b, f2ac
c925, 3e5b
ecff, 1582
50d2, 4837
4e3c, a44b
4efe, 6910
c5ae, c1b0
d8b0, c448
6999, 59b6
f115, 5b28
a7bf, 3c13
d0a2, 3c08
e615, c57b
cf26, 04a1
edd0, 7880
b4fc, ca12
0a97, 9494
c606, dd63
0ac0, 0447
7265, e56c
1f21, 91d2
fd57, eebc
6650, a47e
2fe9, d595
48bd, 4a8d
b274, 24e2
beca, 1302
03cb, 03cc
cd66, d35d
b027, 6202
e4bd, 54bd
915d, 415d
2b29, a64c
de30, 2476
0e4c, be3a
e60b, 24a2
19d7, 987c
80d6, fe68
c90a, 3b14
8a9f, a337
f922, 172f
5db1, 387c
5869, 1085
4de7, e756
3b94, 8b94
cf27, bdca
4f23, 975c
2e76, 7ad2
c7a8, 1ce5
16bb, d226
dd28, 3eea
19dc, f009
b9f8, e145
08f9, df1c
e232, 65a3
c351, 3daa
64ad, 5eb6
4684, a32c
a4f1, 043b
50c7, 4010
6004, eff1
14bf, 952b
b8df, 60e2
8b2e, c3c8
002c, 29a1
b6dd, f34d
c492, 4d6d
8838, c1b5
f977, ec21
63aa, be7d
6560, bd6f
7f9e, 57da
8fe8, e042
41c9, cbd2
7d29, caba
ffd5, 2e5b
6a59, 14b0
a2de, 6843
618d, 7fad
a4ee, 3e6c
d233, f98e
3b85, 3185
95bd, 2704
786c, e542
4108, c7f9
6144, a9a4
01d4, 99c7
984e, c2b6
d215, d1c3
e68f, ac94
9d50, 2f2a
8c47, 45f3
5d08, 5f7a
a3f0, 2377
fc08, fd6b
44cc, c96f
885e, 9804
90bb, 3702
2ef3, 4e97
2464, 82e6
06a9, e648
57f9, 4559
89e8, 87e8
2453, d453
b75b, 56e7
81aa, 7e08
9e77, 0a53
53bb, df1b
b232, 32a8
6793, 9a49
26c8, 75cd
63f7, e5fb
2e3e, 1050
a137, f073
715e, f247
0955, 87ed
dc75, 0965
186a, 098f
79aa, d1b8
9304, 59df
5f10, 5a30
cf7e, 7f98
28f4, ef38
f5a8, d626
f9d8, af71
7ad7, bf8d
3198, b677
c12b, 38ae
9256, c46a
0305, f9a1
effd, 761a
2dfd, ae93
c139, ac4b
e51b, 4bb4
f655, 7bd8
25b8, 947e
e0b9, efef
f60b, c818
d0b1, 21fa
