ea4a, 62c7
3403, b829
c4c4, da06
983c, dc10
083a, 0cc3
bbcd, 0cae
704c, 3005
7458, 5ae0
fd4d, eb92
3283, 84e5
3e85, f339
9f7b, 2e2d
2053, 806a
e8ab, ca77
6673, e869
36d9, 5daf
dcdb, 27de
b408, 3408
e0f5, 3b45
eb32, 5de9
bf07, d518
d7f1, 7181
3688, 363d
ee0d, 244b
1b56, f367
b20c, 465b
20f3, 7224
4d99, 94e7
cc09, c8ab
9ba1, 4354
a3c8, c1e8
3ffd, ad3d
993f, 8a62
35da, 4a21
28b1, 2044
bc24, 1c6a
e4b5, b6aa
e1f6, 39ca
5ca0, d667
6357, fffb
323b, 7fc3
ebee, 5b6b
f06d, 7022
9726, ce9a
3d51, 7727
f1e6, a9a4
3c8a, b78a
7323, cfa3
2e0e, d1a3
a35a, c8f1
521c, f013
30e9, 365f
e09e, bd0c
6238, 5619
3527, 41b4
92ba, 1abf
44e9, 5118
679d, 81cd
38f3, e953
fca5, 22a8
8d55, 3d5c
c444, ab2e
6994, baff
944f, 8898
7a61, 71ad
eb96, 07ee
da55, 94a0
188f, cf1e
13f5, 8c30
2ea3, 9225
a771, 6ea1
94bf, 4e72
2bfe, 3c4a
de9d, eb58
c67b, edae
39e7, 6151
1d8b, 929b
03a5, ab11
afd2, ba85
87ff, 8d4c
e5b8, 81e0
d8fc, bad3
3510, b1c3
896d, e0c6
6557, 3982
a0f7, 4b42
b7fb, f5c9
50d9, 5b00
33f6, b7e8
97c5, c523
2717, 3cf1
9fb0, 1db3
3d8a, 96fc
d6bb, e0aa
58ba, 8fa4
2923, 8823
3e06, b9e8
7db7, c49b
9e1e, e2de
837e, 2674
b973, 18e9
81df, 6903
2759, a7b9
b963, 9036
4606, 4617
7d8e, 6b02
7ba3, d25f
6627, 3f97
7a1d, fd7b
a85a, df62
b9f9, 7996
fa33, a31e
68be, 824c
ade9, 0138
7d1c, da15
87f9, 5799
9a9f, 4c99
e8e1, ebcd
0152, 7b36
f7c4, 4109
5228, 0493
5494, 980a
2f19, 22ce
e8d3, 11cd
810b, 37a7
cf48, fe93
4f95, 3fff
fad7, b6b0
7631, 0de1
f784, a3eb
a97a, a227
9c14, 61e2
2637, 5d85
f27b, f41e
6e70, 42f9
c6c6, a56e
02a9, 3284
f29c, f1a4
c190, f08c
e24e, 031f
241f, 048f
942c, 4fca
8b30, 9eaa
2b80, 135b
f17b, 7dad
e12e, 01cb
52c9, d4ec
6ece, 323c
37a3, bb7a
0f6e, f614
09c1, ffcd
434b, e6ee
f0ba, 7250
7763, 74a2
e105, 2b1d
a403, 2df2
6002, 61d3
a042, fc27
ac95, a4c8
c8cc, 8197
d5b2, a56a
d617, 33b9
5a2e, 1aee
605f, 0689
9284, 2269
834c, e34b
70ef, d574
3b85, b1ab
600d, 6b87
cbc3, 0c28
f1a5, f019
397f, 88bf
75ae, c6a6
03e9, 6e36
fa7d, a328
7d89, b0ef
9614, c6c9
fed8, 9db4
cc1b, 5f8d
e604, 8675
dba0, 2038
d913, 28b8
629f, 47ad
06d6, add5
5c2a, d1ba
b416, c2df
8d2c, 9510
b964, 4c14
7275, 32d2
b420, 6543
654e, ea20
f3ce, 7d55
eeed, 3894
f83a, c524
c0f0, ed46
3f48, e882
04c3, 86bb
66d7, cda0
61a6, 757e
fecd, 4ecd
1890, 5afd
28ef, a051
d657, e128
9c61, 9567
2357, c056
842d, 6ac8
a1cc, cb49
7f4a, 80e0
2597, 9147
88d4, 5fb4
0e0d, adbb
9f6c, a6b3
5dd2, 8da9
45b5, e442
0611, 7ddc
1a2a, 6c7a
14f8, afee
12e5, 71f1
d3c0, 4f2d
1fd6, fafe
fd50, 1d5c
fe0d, 74fb
2c31, 510e
c1b3, 3979
9e17, afff
50ba, eba1
487f, 3797
ea36, 3cef
02df, c475
5bd6, e0f0
134d, 3570
9e9d, 381f
6ae1, 893f
4fc1, 2bff
47dc, 29bc
436c, 2ce9
b9e1, ce8d
e0ed, 76ba
db21, 2046
0917, 2e1c
c1fa, 6a5d
cc7c, 58a8
9e3c, dc2d
0e39, 1c8d
442c, 9fb5
5bae, de09
e2b1, e41d
00d2, 9cd1
dd94, c844
0a35, 69d9
4d0a, 49e2
e732, 9e38
d2ae, e7cf
2689, ffa4
f2a1, 32a1
bd4a, 004a
46ef, c770
4257, 9696
c74e, 1607
a368, 6693
77c1, 9d48
b02e, 1bf7
ed6a, 3da1
db2d, 51cd
2db6, d0cf
d529, 5406
8f29, bf26
952b, 1d3c
6b21, 1965
2254, 2b1a
8f42, 3b62
c249, 5942
0f13, a503
cc81, a896
5aed, 72e3
3311, ee21
0cda, db8a
5c85, 81e5
ca1e, bb78
3254, fde4
bc7a, 2972
b462, f8b4
666c, 866e
0c74, c318
cbb9, de67
0949, 6706
5f9e, 59e8
f024, 03ae
049b, a84b
74bc, 09d0
be26, c560
7474, 250a
75c1, 5f55
cb96, c327
7a00, a871
2a86, 3c71
e2fe, 84be
bb1d, da1e
590e, 0699
8bdb, 5bc7
108b, 2193
fe42, 916c
3032, 3636
7fff, 5d73
43a5, 83d9
d3db, 48dd
dd05, 2c91
e324, 8d00
5e05, 7580
606b, a824
0c17, 2cd9
7c71, dca6
000b, 60fb
66c5, 4fa8
e161, bc32
c149, da24
b7a1, f1f2
fa80, a255
eb05, 309e
db07, a73b
d70f, 580e
11d7, 01c7
d7fd, c10d
da6e, 21d8
fa97, 3c33
7aca, 416f
f689, f366
15b9, 4261
6f61, bfa4
d60e, 2c97
3308, 1a07
aec7, 48a6
cb34, de84
7499, 6a04
1cd8, 7013
981f, df91
4614, e29a
9a22, c2ac
eedf, 3704
8097, 5001
74e6, d486
eb63, fd1b
b931, 6115
3606, 6485
635d, be9a
3c9e, d55a
2b80, 135b
a890, 2dc0
fa52, 14b4
c497, c6f8
f042, 0b17
dcb0, 8701
bbbf, 4fa0
26dd, 906d
ffa7, f8d9
cabe, adc9
6f2a, 7e2a
751f, 0a19
5fd2, cf88
129e, 98b5
4d58, 2d60
9123, e6a3
9001, 75a0
f4df, 75cc
9222, 6a2a
bf46, ad4d
d4ef, eea3
093e, 4ca5
4c17, aaf9
26c5, e446
c648, c6c8
da61, ccd6
665e, e493
b269, 4b8f
23a3, 1ace
f5d7, 9aa6
34a8, 2ffb
ed0f, bd07
508b, 03f7
94ad, 44bb
3b03, 6087
416a, 8ac7
34dc, e2d0
0136, 7c52
e396, 87bd
9dfb, 209d
2743, c6e7
1737, 7adf
e882, 3f48
af26, 69c6
7718, c0ff
8dac, ce29
2d0c, 90fd
4256, 0908
616b, 14d5
8399, 176c
5ccc, 6c08
a45e, c788
cc83, 22e6
7ad7, bb72
5b51, 8c04
8114, da89
f6e9, 7151
5fd9, ae92
50e8, 254b
d8b4, 7365
bcd2, 89aa
fe74, 1bf2
f432, aa57
7217, b97a
b8b4, 9a06
b2ee, da22
7ebc, 00e5
6392, 3342
8a0d, 180d
c90f, 5000
6b3a, 0d0b
c0ea, df8e
2012, 0b80
fe4a, 19e0
d212, e2af
28a7, 0aae
91aa, 9c82
1af0, 88f0
6a4b, 8a2e
2534, 5584
5e0f, 3946
c06c, d06e
8ed1, 527a
ca01, 440f
8f42, 3b62
a1b6, d3d0
aa15, 0615
262b, c075
b47c, d0ec
7a4a, cc8d
90ee, 205e
53d1, 81f9
529d, b665
5e29, 71bb
e103, 81cb
0bb6, 3577
6eda, 0864
b063, b022
c19b, 119b
ce1b, 8144
d132, ca6f
5349, 39b0
bf9d, dc9d
1f60, f685
c2ae, d80d
7926, db5a
3e07, 6cb8
ef0b, ee5a
743e, 6788
1b2e, bc99
717a, ce73
8e14, 5877
aada, 051a
0ee5, d066
2e5f, 2f83
7908, d782
9c26, 3dc5
5b99, 8bf9
47bd, 246d
8ee6, 5386
f8ba, a970
231b, 0711
d1f2, 2a99
e475, 76ab
bb65, 336b
3461, 7145
b81a, 9f45
e3b4, 8f6a
a37a, 5b80
81ff, 55f6
3360, 60cf
1bec, 93ec
84b9, ffe1
93a9, 6ed5
84cd, ba75
3242, 74ee
3a44, 46fc
a710, ccf3
cf34, 7430
cedd, ab38
c486, a353
6796, 09f9
e228, 7293
092e, 5795
8e16, 6c68
9542, 9c96
2b6f, e578
dfae, 4a6d
cb5b, 9700
24c1, 6477
7fc8, 62d5
8b14, ed8e
9a56, 2a64
72d6, 69a3
9dd2, b28f
a0a3, 4ad1
d121, c59f
af4a, 2d4a
d347, 97cb
b7f0, 3cf0
0b95, 2e89
4c0d, f900
c0c2, c51e
f250, ac64
0869, 205f
ce38, 118a
911d, 4f5d
6331, 0af6
1cab, 780a
cd48, ad28
1c89, ff80
2115, 0f88
08b6, cb54
26cf, 8ee5
0212, 2282
a4e5, c983
8e72, 0aa1
d4cd, d4c3
0c57, fd56
dae3, fceb
2fbf, c85a
c74e, 1607
da68, a260
fa8a, a256
30ec, beec
882b, 038f
6540, 96b5
fe1d, d045
cae5, 2786
8a01, e194
bb90, 0d00
c858, 94c5
7863, 786d
37c1, ec02
77f9, 6799
fb2a, 73a5
99f2, e48e
4574, 35aa
6de8, 19a2
915f, 8a27
3562, 978f
867e, 5dff
17f0, 9cf0
fb98, 621d
6b4a, 80cf
cbbe, 9aef
021a, d1f7
a92c, 1eb6
7565, 7936
5374, 8942
1a52, 6af5
981c, 359a
7264, 5ce6
f78c, 6b7b
a7d3, a2b9
681c, 653c
07f0, ecf0
d82e, e6c7
c370, 904b
9bfa, 465a
795a, a944
2855, 825d
0721, 18cd
f5d1, 4ad6
1e15, 87f5
2e3b, ee87
68c8, ce63
d68d, 1f9d
1872, df2e
e87f, 7da8
09ba, feac
a15c, 413e
cfea, 286f
892d, 3af8
55f1, 81fa
58b8, e6bd
f507, 637d
0129, bdd9
103d, c080
9d47, 1897
9791, 0131
10d0, 1372
b651, 709d
f004, f443
1526, 3cfc
974b, 451b
19ef, e22f
6237, 19a4
295b, 3815
eed7, 3cf6
8f0f, 68ff
7ec8, c72f
0389, 4c88
8662, 509f
6a30, e435
33d5, 1b6f
a49f, 8314
6ef2, 19f2
