21a0, 3da1
6720, 5d8c
9c4f, 60f1
17b5, bd86
f4f8, 0788
e85b, b858
4c0f, dcaa
461b, ecdd
5e4d, 9e84
79e0, c800
4d1b, 6e64
6550, 2ea2
e393, d4f6
1911, d0e5
dabe, edfd
13e7, ba5f
6aa1, 77fd
c9af, 03a8
bb4f, 74d5
fcc9, 936d
1872, 4b72
24cb, bb08
bf00, dc20
f8f9, 6ef9
6ff1, 6abd
f433, 7889
7eab, f23c
0441, 0bf5
0686, f5e6
df2b, 43dd
b555, a3ca
a389, 7b9c
9596, c843
1440, 8d41
30be, 93d9
d347, e98b
2550, 3f95
1600, bc3c
92f6, b82d
7a5c, c84e
a1bc, c802
5aaf, ea4b
8679, 13cb
8845, 1e1f
18f0, 1c71
14ac, 1e70
c8da, 51bc
3bf5, 7ce5
4cfd, 246c
a906, 88da
080a, a94a
4520, fb65
b50d, 46c8
71c1, 6a49
5b2d, f6b6
1d30, 1e9f
4454, 333d
623c, 6dc4
7109, 67fb
f8fb, 6e29
9b56, 6ec0
5bd7, 37ed
2ded, e502
b096, 159f
794b, 1701
3365, 2563
9a9f, 0ecc
0297, 000e
89cf, e2d2
5574, 06ce
948a, f78f
e6bd, dcdb
d2b4, e3dd
f4ce, cb99
d9c1, 16a5
ec63, dd25
2205, 3250
0282, 54cb
6b8a, 9fbe
d927, 8f27
332c, 62e5
a8d0, ad43
caa2, db5b
0f62, 50aa
9085, 9045
0a96, b5e2
5154, f172
13c4, 8f77
f23b, 0c02
8526, ef43
8210, 40ef
285e, 2342
f844, f7b9
597f, 4838
8f48, 99ff
4611, a0d3
e460, 4b03
f366, 556a
e8f9, b7bd
edad, d807
f39e, d102
8696, dc96
473b, bb62
8618, 5889
d103, ea5f
c682, 55d7
61da, 2725
c810, 5df6
5c7b, 327b
c46a, f770
134b, b2ed
44f3, 17d3
f7fb, d9c8
e41c, ba2f
43b6, 8240
be5f, 5af9
d994, 1dbb
f7bf, c231
e6dd, ecac
ecdc, b0b5
0282, 54cb
123e, 8c99
ce6d, 2989
af53, 5234
d591, 02ad
877d, a162
e10f, ed9f
6f35, 533c
0946, 3e1d
1050, da86
9952, 3416
7b67, 41d6
acb6, 8c2a
f6b4, 017d
a064, 10a9
2ef1, 27bf
20f6, cc40
922a, 2fdc
b47c, 1f2a
1f7e, 793d
dcd4, 451b
baf4, 0d0c
b368, 4c64
d69a, 4030
5f67, 4b70
b024, 7527
b72b, 41f9
1913, e9e0
7296, 8fb2
ec63, dd25
e369, 11d8
b89b, 209f
0032, f95b
96ee, 2049
f78a, 2bf3
8052, e59d
7d36, cba3
e7ad, 1d0b
f99b, f552
d727, e1fb
a33f, ba54
4ba3, e519
872c, 1bd5
d6d7, 8c2d
57bd, 931a
5407, b4d2
f39d, b15f
d5ce, 4258
5dbd, cad8
2368, 125f
ad0e, fcc4
73ff, 461f
787b, 7b18
491b, 82db
7e7b, da6e
e997, b6ce
ecfa, 7461
11b1, b8ec
e05d, e90e
bf27, a92d
8121, 8186
9600, 974f
2107, 5233
3aca, bfaa
d2af, 0959
7615, 19f1
9a2a, 968d
0b76, fda6
bae9, 8dd4
01a6, 2a1a
f499, 626f
6ee6, 359f
abf0, b550
3727, 31e2
a7bd, c3da
9143, 94da
0839, 1d2b
6c55, 007a
d159, 71a9
dab7, 2830
334e, 3242
418d, d364
0e73, 29e8
449d, b13d
24a9, 3caf
6821, fb1f
a313, b611
3c51, 3f35
8462, 9978
6b4b, cef9
479e, 4157
908a, 25ec
2316, e813
30eb, 35e4
53da, 2be8
aae7, c190
fbbc, 9f0e
c87c, 9d55
2b4d, 4554
0ba3, 080c
b407, b7cd
ac55, 19c0
794c, bc16
63e2, 9a04
7ddf, d7d5
65dc, 5d78
3946, 6f20
5091, 3f96
ff27, c3bb
9b02, fd32
8cff, 7321
df5a, 153c
2228, 65b7
6828, e43e
c15b, 5d52
9522, 39d2
825c, 4ef0
1683, 134a
e5d2, 554c
f31f, c543
a198, 4de1
1bec, d48a
cbdf, f7d0
ef86, b5ea
26aa, 2a9d
6102, 9ffb
8cf3, bfdc
e898, ea94
9017, 2548
e93b, 836e
d2ef, 4c34
8ed8, e2ae
cbfc, 627a
0079, dba1
3643, cc41
7be2, a182
4dee, 1414
48b1, d1cd
eb55, 4a5f
c808, 7127
930e, 77c4
2d18, 45a9
2f9a, c955
556b, 1d7f
eea5, 339d
9140, 61b5
73e2, a982
277d, aa0e
9e02, c4cd
3a6b, 0e6d
ecda, b2fa
6dad, fbc2
efc1, 89ca
f368, 266c
4454, 333d
3760, d5f6
4fe6, 165b
295b, 3f69
05f1, 0c8a
8c87, d64d
11ac, 4341
0d8c, 623f
6e32, f2ee
a41b, ebf2
9827, 5aee
b92c, 86e5
3309, 5992
527f, f1d7
72dc, 919a
008a, 05fc
0c0e, cd46
fa4b, 9be9
fa43, ec30
fbce, ca6d
5253, 2690
ddae, 34c2
f7f0, c9e7
f0f2, c6e8
94e0, b772
f007, 396e
5166, 679f
94f0, f846
e7cd, db7d
fcb8, 06d9
e5dd, 80bb
6a4d, 1b0a
5212, 006f
f682, 90f2
27d5, 58e1
dda8, db4a
6625, e158
0a76, b98a
d470, d9b4
f742, feee
38ab, ff5f
415a, 786a
6f5e, 2fc9
7716, 6923
e0b4, 8cdb
ed3d, e85e
ee6b, bd5b
6d3d, 373d
a7c4, dc76
1b97, 44a7
ab47, bb4d
eb31, ea5a
9362, f607
4358, 4604
7c89, 70e8
84c4, d1a4
0033, 657c
35de, 2018
4062, 7f98
9d37, 5ba8
668e, 3c1d
f966, 3576
dc06, e6b4
4b91, aea0
1abd, 50c3
9c76, 5f7c
608a, 15eb
92d0, 9fba
9c11, 334a
ffac, 91ce
8efd, dabd
cc3d, b492
3c33, c492
c9c0, 2bae
1818, 4e8d
da6d, 47a8
a7be, 7de2
0fba, da82
f413, 5251
9a17, 39b5
7b25, eedc
8160, ed61
671a, 01df
f826, 5900
e5ca, 8070
22ff, 0f21
7980, 16f5
454a, 3d01
7b0a, 7e53
2a15, 2aa9
c1d4, a773
9587, c880
7887, 61ca
3d0b, 21a8
0163, f891
3985, f320
3b09, 5e92
092a, e389
2a55, 5d3f
4bde, 14f9
02c9, c5ad
8a1b, bbe2
7bd2, 8f81
15ec, aff6
f3f6, 6ff6
295f, a174
0798, ceef
0dd7, e323
6516, 381e
0056, 57a7
4537, ce1b
4936, 33e7
d163, 8ba3
c2b6, a416
3377, 9608
032b, 6227
ebeb, 837b
b285, 80df
c5fa, 5646
