25d5, 04ee
d42f, 39bf
ad77, cadb
bdb9, 352a
cb85, 7be2
3f5f, 5138
a768, 2068
f028, 1390
33be, f027
78cb, 2296
3494, 41d0
183a, 3775
c9db, 5e11
e703, 7bd0
bc84, 893a
5cb9, 43aa
940b, 1afb
ed24, 8be8
8547, 9b4e
d1fd, 8de8
c719, a36f
2aba, a1df
7c29, 98dd
a9e7, b51e
0f25, c368
7e1f, f56c
9ca3, d5ae
a5e5, 2e75
2204, d656
cd11, a5dc
4256, 12b9
aacc, 7a1d
a30f, c452
03fc, af7f
7e03, 0f9e
1f72, f265
46c3, 3c12
4f4a, fd4a
0fa7, beaa
dad9, 5c23
f12e, 47cb
ba46, f58f
bcbe, acee
92d4, d7d1
088f, 6c07
4b0a, f304
af24, a69f
ab99, ce27
ba0d, 480d
2452, a4b2
2bd4, baea
968e, 9dac
5133, 0e70
ea43, 5520
0f1a, 9735
2db8, ad6d
375a, ad36
25b3, 6346
d815, cd7b
1431, b4e4
7fb9, c4c6
c971, 0f67
94b7, 49b1
64a3, 828d
de4a, 9478
19f2, 917f
f4ed, b4ed
75ee, 6d03
b5da, 5fd5
cc9f, 096a
4fb7, 1666
465d, 82d1
f883, 24ae
a175, 60ce
b6a1, 62ed
e443, 0293
ddd7, 31ad
85fa, af2b
8624, 7989
0723, a323
cce2, 5a7d
380d, cd8c
2dbc, d6ac
683f, f13d
aaef, c2ba
675d, 338e
2d6f, 0b5e
e9bc, 5e49
28b7, 9f23
5fd3, f011
87c7, 52ca
8e64, 8914
9e60, 2cef
3f20, b902
cff6, 8866
4464, fab2
5d42, 8b92
6ac3, 135b
b74d, 6c23
3bd3, 71b7
0973, e908
20fa, e118
f9fd, 1f5a
0820, 8485
8c6a, 6a32
f26f, f66f
8da7, 2ddd
d770, cc78
84c3, fc10
0274, 3de4
97d7, 2e60
8781, 99f1
1051, 9dd7
8ef5, 5345
5252, 9de6
6182, 726a
a26b, e827
89cf, 9602
93b1, c321
fc8e, 71dc
3d88, 3d27
128c, 6aa5
3c34, 5961
469a, 1b6c
3f84, ef51
7054, 665a
4a76, 03c4
f0d8, d967
bd9c, 70f0
a80f, 44a5
bcc6, 6ac9
73bd, c871
4d86, a4cd
f774, 192a
cc9c, 2ac0
