a33e, 13e1
9796, 7d18
8385, 9e36
d66f, 7cd8
cca7, a5aa
0c46, 024a
40c3, bee0
142d, 1fc4
eca2, e7f8
a349, f56e
1d18, dd1b
7501, b20f
9406, 7a88
aef8, dd1d
1a67, 11da
c529, 2d2c
25e7, c9b4
dffb, 07c1
b1f4, 77f7
ce19, cc1c
45d3, 2aa5
ae64, a211
66ee, f8e1
8068, 8bde
15b9, c32a
ae59, b010
6d81, 64f6
2724, 2a49
b123, 18f3
0edc, 2087
f152, 1402
fb77, 9ad3
7e23, a768
8dca, 535e
c131, 1cce
eb03, ee0c
4da2, 8883
fbcc, 3b5b
5f9c, 53c3
dff1, f47e
2d23, 202e
43d0, 6f90
f6b2, 20d4
b398, 2a25
d5ba, cd63
2439, 90f5
6cd5, a949
a166, db6c
38a8, 987d
c4fe, fafd
8de7, 32d3
d699, cba3
6e92, 6b07
6776, 61ca
61bc, 6329
fb3a, b080
92b6, 998a
2a1e, 94f8
d5c0, 93d5
4cd1, ffb8
e20c, 6917
bb1c, be23
2f54, 4daa
b5a2, 1826
d1a7, 7a97
a115, c9f9
6a79, 6cc6
d4bf, d7e1
dcd2, b991
1fde, 14a6
6326, 61bb
b3fb, aa44
9903, b904
a37d, 7fc9
8d7c, 1aa5
cc73, 2b74
3b2f, 3019
d02e, 0b19
ed65, 66dc
75e2, 79e7
4dae, 4e5e
0037, d17b
e03d, 8ded
cdde, 1acd
1bcd, 5694
9c0f, 9370
3913, 342e
f3a5, fca1
387f, 5801
ab6e, 988d
e718, 844d
fe1c, 796f
002f, 0d29
9c32, 3010
98f1, 21c0
1a2a, 69b1
74c6, b7c1
e89d, eece
e68d, eb3c
f784, fb88
329d, e5d4
e4cd, 982e
9c41, fe2b
c23f, e6f3
ed83, eedc
b337, 8f59
b7f3, b49e
4d2a, ab1f
ea32, e47d
ef7a, 5377
1b44, 1998
b14a, fcc8
e301, 59ae
6ca1, 696f
e55c, f0b4
7c2d, 7acc
edfe, d53e
c21e, c816
62eb, 8e55
ef09, 77cd
7a5d, 323d
2b88, 98bd
422e, 4891
2f82, 5883
9d75, acae
e685, a92e
a605, 1f00
3330, ca89
87cd, 871c
be5b, 617c
5ecd, 26bb
21c8, 249e
2abf, 2cb9
e43c, e876
d1bd, aabe
e7f4, 936c
865c, b3a0
e7c1, e831
0ff3, a993
787e, aaab
e93b, b893
fa36, f751
365c, 3b3d
80da, bc1f
8534, 03d3
ae5f, cbb7
02d1, f3df
dfd0, b5ba
976e, 943b
0d92, 0250
bea5, 13d9
1e1b, e743
741c, 0f46
b9e9, b19c
33e0, 9eb2
d1ff, 442a
fba7, 55de
d74b, ca0c
f0f7, f342
d399, 6318
3477, 52c6
0624, 0329
839d, b64c
341b, 1772
459b, 1827
d31a, 98ca
c4e7, ab74
0a03, 29d2
9970, 9595
e5fa, 7fda
144b, 1699
d0ea, 494c
6161, b925
e27d, e532
9868, 2e3d
cfca, d222
df3d, fd86
5e8d, 358a
de2e, 2694
85ab, b679
1318, 162b
aac7, 259a
7586, 72fc
8c1f, 838f
fb16, 6906
d9de, d9dd
f95d, 193c
90a2, 9f59
2237, 8036
14da, 3d18
4dc0, 4524
c246, cd4b
668f, 0f81
7c3d, b258
6f78, ebce
d5a5, 3eae
099e, 0c57
d4b9, 9aa7
9f93, 9492
258d, 218c
6d29, 32cb
d8dd, db8e
aeb2, 7368
fa76, 0c84
69ae, 6077
a8ea, e9d9
151c, a22c
8247, 8866
9612, 478e
82b8, 1be1
07d9, ff37
e7fc, e7a9
abe1, 898d
71c3, e16a
797b, e187
26c7, a5c5
ce74, 2c00
1855, e5ca
dcb1, 2b6c
e14f, 586e
a631, 6c8c
517d, 0caf
2b5a, fda1
6bd9, 6de7
f49a, c10f
633e, f037
536e, 7da5
38c1, 3ecf
340d, 32af
2a74, 2670
add9, 6cd2
ca4f, 82e6
a01a, fdca
e970, 60ff
00a8, b663
501f, 3f4f
0943, 094c
66ee, f8e1
44ec, 88ce
0d43, 0e4c
0a3e, f914
5ac8, 579e
0173, 204f
2b02, 2970
6208, 7205
9611, 0a00
b1c7, 4b91
dd06, 1876
9246, c51f
8b18, 884e
9e10, 0676
c777, 2a04
be70, 898c
338d, 3fbe
ba50, 67de
46aa, a6a6
d06d, ff6f
4e8b, 2c2b
12f4, 59d0
eafb, 0bdd
c95c, 0095
6b59, 6837
e8b0, df28
b9cc, 3c57
47e7, 436e
79a7, e534
c6ff, c3f1
3b3b, 3050
7745, 7498
f2f3, fdf4
b17e, a80e
c832, cb37
93af, c88b
446c, 49de
2e9b, d644
2595, e3ba
69b5, 65dc
ecd8, b1bd
0c0b, 59dc
eeb4, ede9
0a69, 55cc
b62b, c852
d537, 1978
3853, 5ba3
17bb, 809b
38b4, e25b
ba56, f8d4
5dcc, 0bc3
15d5, 861c
55bf, 5448
8d71, 85db
fddc, feb5
a536, 4a80
09e7, 05e2
13ed, 32b9
b4db, bf77
f5c8, 2c7d
e91a, 34ca
0cd5, 1b9c
301c, 8406
263a, c3a1
b223, d58f
5b98, 21ba
22ca, bda4
d1fa, ae7d
7c0a, ec71
ddae, 4977
7ca9, e11b
42fd, 1725
4e13, d554
a47e, ea07
0c8a, 62ef
8b34, b867
bc1e, fab1
d17f, d3f8
e257, 65a6
299f, c5af
3319, 3e2f
297e, 54bc
032c, c7bb
f76a, 16bc
c286, f281
97fc, 0e20
3edb, 9b89
d37f, 4f9a
4401, ae67
f9c2, 746d
bbfb, c5fb
93ea, 93d6
75a3, ecac
d046, 6276
1030, ba06
4c8c, b137
8cb5, 3e96
bad0, b872
cf88, ebfe
79c6, ebee
2196, 2401
59d5, 7b0a
8eb5, 7fde
8526, 317f
e2f7, e224
abc5, 6908
1c5f, f35d
8426, 2ce6
6bae, 8c76
4041, 57c9
9930, 3e0d
e551, 02cb
1b44, 1998
e49f, 6340
99fc, 9ef7
cbb0, 0ed1
b077, 801f
a861, 1da1
7ad3, e1dc
709e, a95b
01cc, 7520
9824, 9a48
2dd5, 9883
dca2, 4ab2
e69d, a4bd
055d, 35ad
8af8, 88eb
5f01, 543b
6548, db24
244a, d652
dd49, a0d3
00b1, a2c0
71c6, f03d
0e4d, 0d4e
3553, 3fca
6894, d9da
e187, 797b
4d0d, bdad
7bac, 76dd
e6e7, 4410
eff4, e314
2cdf, 92ef
16fb, 60f6
9c4e, 88d9
de5f, a369
1871, e797
9135, 2432
499e, 3e13
a97e, a57d
24bb, 29b0
3501, 5f31
ca4c, 7f08
1cc8, 4b24
7202, 7634
eb5e, 7926
2c55, 041f
c39e, cc97
9558, 8693
e3a5, 7f71
766f, d0d8
ad21, ea41
278c, 531e
e84e, 2b5d
8498, 84ef
6ec2, 6c60
c179, 207c
7336, 50ac
