e568, daf3
0a15, 461a
0e47, 417f
8a95, b418
290f, 84fe
1d5f, 5acb
becc, 7efc
1299, 33bc
2d4f, f39d
bb6b, 947d
4a62, 2d53
de64, ffa6
e6d9, 83fa
6c75, aca3
a10b, aa0d
7781, f56e
c450, 5922
98bc, af80
541e, b2b1
0959, 1028
fc54, 3e1e
8d87, 8d77
77e6, 9af1
5fbd, 76af
41c3, 7846
232c, ea6d
4e3d, 4a48
7887, 82fc
55de, 898e
aaf0, a1fc
ab96, 7881
86cb, 829c
e1aa, cbe8
69be, c474
46c3, f216
b976, 798c
733f, 9941
5ff7, 4150
0734, a032
7014, b83f
3095, c24f
4b48, 3f29
8a73, 65bc
63e2, acdc
b2ac, f7c2
107e, 5222
8389, 7763
264f, 4ef8
d498, 3186
5f63, 2b54
3ac2, 4959
e45e, 91c3
bfb4, ccf5
ae99, 691b
bee6, b799
849f, b099
eef5, fb4a
42a4, 4f97
c819, 576a
084a, 7bd6
8b27, 5baf
8443, d0ee
afa3, 764e
583b, d6f7
147c, d7c2
46b2, e992
791d, 741e
60fc, d295
c60a, c408
f992, 7e76
c2d9, 6b03
a7b2, 4fbc
1174, 341b
8422, bc8a
1cff, ba70
4315, 4916
0378, 0717
06be, cdb6
9c2b, 7df5
fbbf, 567b
c083, f6e3
d111, 85ac
2d63, 5419
7882, 6843
896b, 8e27
ab5b, 409c
85f6, 1811
e8f6, 6b50
ce72, ed8b
3a02, cb61
7fad, eb12
d870, ff52
81da, fbd2
d5b0, a67c
c642, d1b0
c724, 4f29
cdc4, d8a7
9693, 89ce
49e6, 2241
f6b1, 5920
b260, f9a6
f7fb, 4f20
190b, 64c1
65fa, a084
1cf4, 7b49
aeb4, 0bad
e6f2, 12a3
4efe, b691
5257, b133
8736, 54eb
aff3, e2be
80b6, 41db
e3dc, 539a
5dda, 950b
9ba4, 9d67
da2f, ddc8
ea4d, f8ce
745b, 252d
5d30, 0fc6
c33b, 865c
94ef, 6831
8b36, f59b
fcbb, da02
15e7, 87f4
7273, fa33
6235, 0432
947f, 4f1e
5dd9, 1f4f
c1b2, 645a
fe12, 268c
ebfd, 7eec
a048, 49e4
9535, ea22
6ed6, 3160
cae4, be32
6a4c, a623
b50f, 10f9
3d9c, 6e3b
79c8, 43dd
dd9c, d790
c85b, a3fa
126c, c4a2
f668, d064
b725, f46d
00a1, 2cee
0a38, e049
e9b8, d40f
8105, 4dbf
6835, c194
83f0, aa91
73b3, 8214
639d, 1950
72e3, 8b4a
a24b, 25b7
0db8, 3424
