95d2, 2e96
3b7a, 3284
f255, 9579
6261, 6960
adad, 775c
ce22, 1e7d
8974, 19b6
1dcc, c97d
fbee, 8fb8
f40e, 0d57
88bf, 0e33
6aeb, 2bdd
6cd1, ee1a
7a6e, 856a
555f, a671
abea, fbf4
2dcf, f9d7
63dc, f5ff
1bec, 401d
b449, 1dbd
0b5f, d59b
7ad4, 38cd
f0a2, 2279
bbcd, 5e54
47ec, 00ea
1d00, 9a9c
9bc5, a1d2
4814, 7dd4
ba06, cf72
da8b, e860
7c7f, 5320
ebfe, 38c8
3941, f77d
2243, 41ea
9d17, 5ed4
1e77, ba46
709a, 7adf
94f5, 2785
4046, 4bb3
10eb, 44e0
a25a, cda6
6e05, f8ca
be76, 4d3a
661b, 945f
e451, 8fa5
b690, 9381
bbfa, 89fb
d0a5, 548e
1f9b, 0c7b
b0f8, 36a2
ce45, 806d
6ecc, dd47
fa91, 3ba0
1a9e, 667f
6a12, d1a6
01b9, a342
7371, 5c34
6f5a, 4097
e616, c39c
ee0a, be43
a31a, 2811
06e6, c91c
a589, 78fc
9823, 0735
4c41, 10b1
54ca, 0e90
8023, 6229
4122, f247
a9a0, a2b9
1f09, c050
35cf, 4234
c33d, 7ba7
7b47, 44f4
d842, 96a3
ebda, 2583
39f2, fbca
f66b, b375
be92, b49e
8175, de0c
9c04, 6c1c
479c, cd73
6f8c, 5b12
576c, bdbe
898b, ace6
7c6a, 7c88
95f8, cb91
8f88, 9380
4dfc, 0bdb
db85, f5ea
ac76, 9257
8350, 2de0
34ac, 3ac0
bf7c, 4b74
02a2, 30a3
77a8, e0c8
4973, 7bba
520e, 14a1
1304, ce4e
fd56, 9496
7a55, b9ba
3d31, 280f
b81c, d774
c737, 7ed2
b4e6, 38fb
a996, 2fd6
9819, 1dbb
dad1, 8db5
76ee, c5c7
8ef4, 0198
f51f, c245
2af5, c493
a00b, d89d
f031, da29
15c3, d2b9
c81b, 1468
1b22, 03e9
e220, fbea
d398, f35f
225d, bf82
7689, 9afd
aaf4, d741
b9a0, b218
b243, 2fb7
6125, 56cb
d368, 609c
91f3, 6348
3f76, d717
3170, aa44
65ad, b477
eeda, 9fdf
4682, 42f4
d910, 2895
c77f, c6e9
ecc5, 813b
413e, 30da
79a9, e852
4d3a, be76
7f17, 12c6
6427, 0e2b
f12c, ce63
52fa, e082
abe0, 0b30
865b, 3be0
83ef, d467
7f1f, 7210
fcf7, d25f
8a51, aece
c313, e1ae
ba9b, 94de
163b, d040
fc6a, 6d29
071d, 953f
b46f, 8d76
1baa, 3d1e
327f, c3a3
a892, 74f6
1543, 49e0
2617, 5890
2015, 6897
2791, 1a8f
3288, 0464
