8a23, 9665
cb56, 23e1
95d1, a0d8
501e, 06f4
e2d8, 1e07
25cf, 625e
00e0, 3f4a
dfcb, 2370
2a9c, 6b61
a12c, c397
0101, 926b
2eda, 9644
42c8, f293
7993, 96a8
4baa, 79b6
1314, d3d4
9268, 3318
a63d, ca9c
b8f0, 7416
5a5e, e188
a7ff, 52bc
b599, ecfb
bf51, 5510
6ef3, 0af4
124c, b161
ee1c, c15c
9f62, 27e9
c925, 46d7
cd22, d8c4
e600, 86fb
fa48, b262
18f8, 98f8
ea30, 353b
c7a8, c466
0d5f, 1a06
58a9, dec4
464a, 986a
71e5, 13d9
2cf2, 2a96
d399, 9dd9
4dba, 1ed3
18b5, 1108
a009, e38c
2345, 4ef5
5a56, 217a
d7b1, 936c
fa13, a0cf
5429, 25bc
8371, e327
7eec, 50ec
876f, 76de
81e2, e586
bfd4, bf61
dd8b, be84
c7c4, be61
dc6c, 4017
b64b, 063a
c018, 0ac5
fb0d, 346b
445a, 4304
f7ca, 4106
e1a2, 91a2
a8d1, a416
70fb, b0fc
426f, d778
f1ee, de06
23b2, cb2a
fe34, 4b84
53bb, 0b65
50e2, 5de2
f9b5, b0c7
29d7, 9c52
623c, af34
d3a2, 34c3
0207, be81
ec8c, 4ad5
7e01, 033b
ad00, 3692
eb17, e316
dece, cda1
d450, 9765
f4a7, 3767
b6cc, 8f9a
6446, c5ec
6881, 9d1c
3030, bc7d
5e9b, 8e9b
73c5, 395b
c060, 5990
cf55, a486
39a8, 6e1f
6cf5, f529
572b, e1e7
cb0c, 2180
b0aa, 9fc8
ab98, 61f6
1f20, 4507
7c76, eac7
a61a, f23c
791c, c4b7
a0e4, 92f1
976e, d45d
2004, 03dd
e302, 2b73
45d4, d1d7
0b0d, 7d4b
d515, 4939
a883, e8df
d35f, 94f3
d39a, 9218
a450, 4b9a
4e00, 1c1a
63f0, 25fc
311d, 7166
55d4, cb85
3a83, 72ac
0ccd, c6db
bb1a, 06dc
3755, b2ab
1a6b, fd14
6a48, ace6
1ba8, 9edd
f2e9, cc34
b397, e03b
3e77, ee27
253b, e960
2c16, eca3
c41a, 73a1
5d72, eb7e
c58a, 32f1
53c7, 77e5
750a, b5f7
c8aa, d339
040c, f3fd
fc1e, 6b75
d761, 98ac
6b7b, f78c
089c, c0db
3cc3, f0c0
249c, df3d
1a87, 9437
48c2, 4f63
1e46, c69a
8c2a, 95aa
55bd, 9b6a
d2ae, e7cf
3adf, 7205
2f11, fcd3
7e76, 7b3e
d23a, e2f4
54a8, 0d1f
0d58, ef50
a1f7, f197
1155, 2ef9
d398, 5bb2
38f7, 0b2b
0a40, bfeb
3129, e179
864e, 0d8a
dffa, 9b17
d938, a0f0
9a66, e703
9de6, 13aa
5d21, 0716
6f45, 0e3f
76ff, 75ad
5962, c2a9
258f, dfbb
c6be, 3c11
d972, ba24
d6f0, e684
5dc9, eb12
c376, 5eae
948c, 53ce
a268, 6021
4902, 02ac
2bce, 4b1e
4dc3, ebc2
e3a7, 3911
092a, b42a
e56d, 4052
e62a, 30b3
9a69, e708
cca6, 41ba
e055, e0bb
cf77, 2364
c131, df21
bc80, 2749
47e1, 2372
60e9, 9a11
1ddf, a81e
44a5, 5ec5
2eb9, eb6c
43c7, f0c6
2c61, 4c8f
f44d, 4a9d
9785, 55a8
5c9b, 59b7
bee5, d892
e784, 4664
fe04, 4bf4
8fd7, 3424
0a41, b20f
c68a, 85db
6dfb, e045
fdbe, 10b5
86b4, 4058
0e69, a866
b411, 2a91
290b, 99fb
6759, f8cf
c42d, aa98
13db, 5cef
826d, 5960
5779, c739
4b02, 9784
39c0, b720
3480, 9707
5ef6, dca5
360e, bb4c
b171, 7ffb
7f80, add4
5434, 7f25
38db, 3fae
e1b4, ecd1
61f4, da3e
9928, df0a
d57a, e1ef
39a5, 3b11
b34f, 8342
d3e2, f216
34a9, b489
9fe8, 018a
9198, 3bcd
31e8, ea58
56f4, 3d01
08e0, e6e0
6912, ac7a
e3e9, b8cc
88ef, 0320
ee7b, c755
9174, b15f
0d23, 49c8
53a4, 8411
c2bc, e7ff
bb03, ecdd
5040, 8d40
54f9, c742
6274, 932c
a7e4, 6494
1b34, 6466
05ac, 26a6
0762, a86e
ddbf, 0b5b
a1e2, 6a92
a689, a9c6
91f4, da07
079c, 8467
be12, e88e
0a01, 7fe9
1008, b91c
d555, 94d0
eec1, 09e5
37ff, 8892
b744, b5ff
6b53, 33e0
b0fd, bb81
963d, ad13
de8f, c3df
4092, ab01
95c4, 5ad4
6c19, d86b
ee73, 97a3
4511, 6b56
e6e0, 08e0
9f1d, 98cc
1bce, 7a4f
389f, 4129
0950, 205a
3a44, 46fc
59ba, f52f
ac7a, 6912
60e8, be22
e390, 3e37
a44d, cec6
fa9f, cedb
f562, 1dd5
c23c, 0da7
dda7, 1412
756a, f6b9
6a6b, 6aaa
7b09, f7b3
0b3a, b69d
891c, 5afb
8ccf, e522
56b4, 36a7
d6b8, 8660
29eb, 83c5
59de, 0e0b
e77b, 17ba
c357, db51
f4a7, 3767
aae1, f23f
ea6d, 9bb4
75fd, 4ffb
0aa4, aa14
36cd, 362b
9305, 83ff
8ff6, f4db
7546, d07b
f518, d0ca
abb1, e3bc
93a0, 10a8
6ed8, 89f0
643a, 6cbf
3545, 0440
6b38, bedd
070e, 2e7e
7a05, 8c7b
4867, b11d
3291, e71f
0306, 273e
cfb7, c9cd
bf7b, b58c
ce9b, aac2
5c23, bf9b
f089, b7de
3789, a681
f6b6, 39f0
23c4, 221b
3a1f, df95
a685, 1be8
97cb, d347
fdd7, ce21
ba78, fd18
8d62, 73c4
f14d, 3d7c
75e1, abe4
d42d, 2228
fe48, a898
fba6, 0cbe
7249, b5fa
303d, 93d4
ee50, 480b
7fa9, 01e8
abdc, 762b
a956, d9b9
0f68, 08bd
9a1b, 494b
3120, b990
9a22, c2ac
c485, 7393
91ac, 9017
fa07, 0180
b7b2, c4c2
59a6, c160
e97c, f964
c2f8, f309
1e3e, 8ea9
828f, 3980
2f39, f684
e317, 83c1
ad04, f905
29d3, cf46
f28e, 33cc
6d49, 34f8
c831, 23ce
64bb, b4ad
0b08, aa4e
b3e0, 084a
b7eb, dff2
5610, ee0c
c8ad, 5c36
f87e, 7418
10de, 65cf
3f43, 949f
e527, 0119
73c4, 8d62
1ed2, 8984
3785, bc50
2e6b, 44a7
9637, 1831
dd74, 8315
fdd4, 82df
7172, cab9
39d1, e47c
095e, eb99
19ba, 042b
2607, d36a
08e3, ef53
4edf, f38f
1ce2, 552c
f248, f302
d01d, 5cf5
9473, 5862
9f67, 308d
b2da, 1546
71bd, cb64
6e66, 2e35
4ac2, a2ab
3f42, 91c9
e1d8, 9893
387e, d76e
91ea, 797c
9b33, 2b6b
2ec4, c168
1fbb, 1655
97de, f079
f56d, 65bd
1def, fea8
aaf4, 5ef3
a785, fc50
c588, cf14
7a47, 64f2
3f75, d75b
9ac0, d3eb
1343, c843
1c51, 1626
6cc5, 5c1d
711b, fbcb
fa97, 3c33
9758, eb79
bf38, 8fc9
c9fe, 1001
2b86, 51dc
6e8c, b077
7841, edec
1233, caec
1282, d93d
1ff8, 4ff3
b1ee, aed7
5c5b, 813c
6c0f, 743a
d02d, ecc0
ba01, 88c0
9dd1, 9e57
a03d, f080
8581, 14a1
b702, 24db
947c, f51e
6f70, bfcb
cd69, 7722
0d47, c00d
948c, 53ce
6ccd, 1bc0
343e, bf7c
e481, 62af
b4fb, 798a
9f2d, 2ec0
1703, 164a
1816, 9b51
283c, 3e0d
38da, ef64
a2ad, 9485
aeca, b476
8947, 4f1a
13b1, fbe6
c2a5, 0dd1
6896, a69d
31d8, eaae
b657, eb43
840f, af4e
9b3c, d537
c911, b3a7
1f8e, 4fa5
5b61, 8b61
158c, 21ee
2f13, e413
fe77, f13e
bccc, 8c2e
72f4, 0251
e588, ba8c
0acc, 7f6e
147d, bd08
4d32, 8aad
2ec4, c168
4b98, 9b9d
6ae2, a0e5
287b, 4e1d
79ab, 696c
b3f0, bd9f
1919, 5aac
78d0, 7dff
77ea, c94a
afbd, 8a36
ad0c, d516
9921, d2c1
b134, 3459
2001, c93c
0b0d, 7d4b
4fa6, 2b47
f24b, bc61
f574, 4da2
f143, b043
6b90, 7d00
93e8, 63b2
4028, d6c3
2f0a, 477e
5eb0, 2c4d
a21e, 528a
1bb0, e344
c82a, 60bc
62b3, e9e2
ae30, b957
8aff, e542
c7e9, 9372
f836, 4616
7a58, fbe2
9e23, 6743
9349, 6ee5
ce42, a3e8
313f, 7a52
397d, 77e7
8d0c, 560d
ccda, 03a0
c3f2, f697
5724, 53b7
80dc, 43a9
f9ed, 9044
841c, dd5d
eb68, c0cd
2dba, d6ef
a009, e38c
f141, acf1
9200, 8f0d
28e8, a868
2085, db53
f27e, f41b
b3e5, 9e96
f0ba, 7250
a406, dff5
1fdc, 3156
2162, 0256
a928, b8d6
81ce, 612b
87e9, 6769
b98a, 318a
f9d2, facb
9516, da1f
034c, 9cfc
a187, af46
95c5, b52d
3ad9, baa7
2b64, 7f69
a9e3, 7ffe
0d28, 1793
6c2f, 2ab1
d8b6, d229
d3fe, 737a
ca36, 6cf2
ccab, 0eab
001f, 5fbc
449b, fa4b
ea01, 4411
40fc, 4917
dc48, fb3c
3bab, 8b17
6022, 33bd
41d6, b111
fae9, a2e4
decc, 400d
41ee, 19e5
8e8c, fb64
cdb5, 6c16
680b, a4fd
d1b5, 569d
639e, 5fc0
39af, 30a0
d8c3, b793
bfe4, d0ed
8787, 4f8a
2128, 6d2d
4b37, b73b
0795, 592e
8a99, 3146
d46b, 27dd
9c65, 5b06
5b08, ed4e
f5a9, fcaf
9891, ca54
24bf, a2ef
9d5b, b5fe
369d, dff3
aee9, 5bbe
6e8f, c1ed
4dd3, 7140
81fc, 396a
6abf, 82ba
544b, eb74
fe4d, 351d
d1f4, f87c
6912, ac7a
c835, 94b8
1496, 856e
a65a, 2ee6
cc60, 2e23
37ef, f72f
7884, 0123
c99b, d19c
426f, d778
5f1b, 296d
c239, c3e8
5785, ef03
d9ef, 1268
5154, c794
48ba, f6bf
04dd, 323e
16ab, 96a5
d4fa, 7f75
7c97, 1a50
1b16, fcd5
8c7d, 7cb6
679a, b502
0916, 08c6
827d, 16ce
9587, 37b1
3b4d, bf06
498c, 9071
8634, 460c
b3b4, da0f
a1b2, 6ac2
ad10, ea13
e1ec, 3c8c
dc60, e3a6
7d6c, 04c2
c0c3, c512
d4ba, 9c56
aabc, dd26
e1f7, d00e
810c, fefd
1914, d149
00e5, 7ebc
f993, a8ff
acef, e57d
f70e, a802
b56e, 5515
2ff8, 9805
9029, 6bec
e35d, e9bf
4694, f56a
5aa5, 7806
fa40, 159c
e27e, 088b
e4ab, 37dd
d7eb, 3325
eab9, 254c
716b, 5391
44a5, 5ec5
088d, 1011
11d8, d817
1429, 97f4
3be3, bb2a
84a3, 1cc4
0064, 5353
d8ab, 7da9
88fd, 940d
e480, d63f
0fa5, af15
aa77, 5635
45c6, 35d3
6b4a, 80cf
67f3, 8caf
4648, d093
188c, 8540
7c91, bcf7
cf56, 0c24
c2ec, a841
4979, 39a6
a079, fc65
7824, 7644
6b3a, 0d0b
e76e, 03c6
3ef4, e5d6
ca10, 5880
f862, 07df
a26b, 590f
3e6c, 60be
2fa7, 08dc
6e27, d2e3
17d1, e7d1
c889, 37d8
fac8, 442d
d09c, 4274
0ab0, e3c6
