48ac, e214
e226, e3fc
3486, 5134
2d6c, 7506
efcf, 497f
dbe9, 48e2
4170, a6b8
723b, 1b1b
4d3c, 4b3a
918c, 641a
e5c2, bfcb
7158, a111
2804, 1186
58d7, b9f9
c232, da59
8394, e36e
aca8, 8357
ea70, cc79
0e77, e1bb
c081, 66f1
6c47, 3d52
a8e9, d632
7170, 7521
3696, 6f50
474e, 5985
ad31, bd90
8894, a859
e2fa, 7669
f838, f97f
5c4e, 96e9
f2bc, d148
b09f, 1089
49c3, 2f3b
7b7c, 7e65
8a14, ba4e
7671, ada1
86ab, b39d
2ba6, 7cec
726c, fa53
b1e2, 3177
e686, 3ec0
778b, 7968
f54b, 2ff7
5fe2, 6774
c63a, 376e
32e0, 3021
7d02, a90b
32a1, f737
ba11, b89d
fb8b, faf7
daa0, 11c5
9e50, f31e
b3b4, a9b7
73ba, 5b0c
b6bb, 6cda
b087, bc4b
ef20, 40ea
3ac3, 46d6
ad78, ee07
92dd, 904d
711d, d419
a937, a109
7f10, 919c
44ee, 7e2b
4b83, a55a
7988, ab5a
5e81, 116a
66c5, 0fac
7b3f, 960d
3a96, 04a1
d3af, 655d
bd74, f8d2
782e, c3df
5784, 3412
4bb8, a27b
23db, 2143
1188, 5a5e
a3f1, 0307
1b4d, 71e7
85e9, ec42
ce59, 3e68
41e1, b781
65ea, 1cfd
3c58, 5659
9807, a1e6
de59, 1bba
fb6f, 31dc
b96a, a095
b710, e25f
c59f, 06ca
b571, 3ca9
2f5d, 1a69
45a2, 42f3
eaf3, edba
8f27, d927
17b8, bb89
aa0d, 8e25
89cb, b364
6bb5, 2ae0
4b86, 41bc
5bc7, 68c2
8c2a, acb6
0b67, f45b
a0ae, b109
4a11, ee4c
7012, ef7c
fc6e, 336d
58b5, 9d26
cea2, 6d3e
2303, 3973
6b02, c4c2
0da6, 649c
b2a4, 8c23
289e, 47f4
a185, 7e23
32b2, 30d2
7c16, e62c
7b5d, dea7
f570, f006
7c2e, 7512
90eb, f420
290d, c938
3316, f119
9af5, fc0e
ba7f, e1aa
10d4, b614
6ac8, 3104
8c14, d596
3c2d, 692b
7c4f, 7d0f
b7b4, 8e8e
45e0, 786c
1f43, d5d6
25df, 2025
8860, 4a33
8252, 14f2
712b, 8719
61a6, c2f4
629e, 2269
b0ee, c135
d7ac, 4195
9d6c, 2bc1
28ee, 9d2e
14dc, adef
0b13, cf77
bda0, c56b
f930, 5655
5159, 010e
901a, 55bc
50d0, 3281
878e, 1e2d
f5a6, 74c4
9f05, 5c30
2b05, 3a36
e4c0, 4d56
f4b7, 5af7
8473, 4e5a
eb92, b107
7f87, c1af
6898, 1110
b4f9, 8fcd
441c, aeff
caad, a57d
d3b5, fb7c
94d4, 2e1d
07e1, f113
127f, 721e
7ecd, 62ec
8032, 72a7
14ec, 37c9
316f, 70e1
d9e7, d9f7
19ed, a94b
7029, d2a0
135c, 1f51
8922, 06d6
d725, aabf
5d40, fbb6
afa7, 81b2
9834, 2e32
ccb7, f4f6
6f19, c912
c8bd, 1c9b
3835, 573f
98dd, 2714
211b, 9884
fc2b, 7caa
b5e0, d2f5
c19d, 2b09
5af9, be5f
efa7, 6706
46c3, f5b4
15bf, 4021
8afe, de49
8c99, 123e
5397, 92c9
ff01, bec7
d3a4, a2ab
a13f, a80c
1a32, 4134
2da3, dae7
9e5e, c4a2
065a, 926c
4190, a76c
d52c, acd6
a61c, b32f
af43, e986
a012, 75de
1bb0, de5e
d930, b630
cd16, 68bc
2ded, e502
078f, 5740
af21, 8d9a
01a0, 12c2
57c4, 088f
c500, 7ece
14a4, 9ca9
1e19, ea1d
91c6, 12c4
a044, c6ec
2e8e, 2d47
bb83, 14d6
cfae, fde0
138e, 92da
f7d9, bb64
c8e9, 6d44
39d0, 2f21
db6d, 8132
cbfe, 0d14
5e3b, 2892
