1f47, 70d8
4f29, 2e7f
e14f, 38a4
b103, e157
956d, dbca
5ad9, 7239
f426, a8d9
8e25, 2915
e473, b563
3845, 5938
344f, 6253
a838, fc31
904c, ea44
bb22, becf
2678, 30d9
1cd4, 8228
52a6, a837
e57b, 9070
3975, 437e
9e8f, 74b2
619c, 394b
89cd, 314d
65eb, 8255
ff89, 9a0b
fb19, e3c5
c855, 5eaf
7191, 5f7b
0e01, c7de
0227, 282c
0114, cf21
4e07, bb75
d334, f863
bc41, 01f1
7ce5, e5bd
9334, 1b3a
84fc, a382
8edb, 4b6f
c697, 225b
c27b, 060e
93af, 6978
3c83, ea85
e888, 2fff
d6cd, 8c98
8f95, 7c30
41f9, 2199
9dba, 46ef
ea60, 0155
2bfc, ea97
4398, f343
e24a, 8929
240b, d49b
e50f, 5a09
87ef, f684
6a62, f481
8ffb, a5fd
5844, 6bed
8b79, eceb
3b85, 3b11
fb1b, a6a1
3e88, 1332
ca39, 74e1
12f2, 1296
5bd0, e083
90a5, e408
b82c, 1a94
122d, f36e
b1e2, 3cba
7e0c, ad1a
7ccd, f6c0
5c57, 61f8
0f83, 9016
59bb, ebc9
7338, def2
77e2, dbb8
2b20, 5143
090d, 692c
159e, 62bf
9934, 92c3
ba62, 8a05
151e, d3c9
39b3, 4ebf
a60a, 9b09
2fb4, cd6f
be90, f99d
5048, 3d93
d973, a9f8
0777, ecfa
8904, d27b
b025, d91c
8cd9, be0a
0d89, ad3e
4426, 32df
bfdc, 6d85
e299, 213d
a96a, 047d
4753, 2258
d456, edbe
3faa, e72a
5640, 8b40
0dda, ce2a
72e5, 0783
f93d, a801
832e, a9fe
c77f, 0313
fe16, 19d5
9146, 6eb1
51a9, c177
9a74, fc09
d1ea, 55fd
ee9b, 4c2d
274c, 412c
7c3a, 98e4
daf0, 26d2
8c2f, d3fe
7a07, 3e1d
096e, f0ef
8d0e, 5df8
62da, a196
e2d7, 8c0b
9641, 5b88
4940, d70c
5e18, c44e
fb1a, 401f
1206, eeca
ed40, 3040
5289, 62a3
8b5a, 5654
5e50, cecf
f81f, 12d3
e0d7, 3b6a
8d43, 5043
76b2, 2586
1199, 7ce2
941e, d9ce
49ed, acae
9b29, 1096
a2ba, caef
7164, 0b42
4c62, efee
c3ef, 48c3
c8e4, e065
b0da, 6abd
3970, bc78
1cac, ef7f
c4bd, 176d
e376, 1c60
2962, e7cf
d551, 510b
5da7, 9be3
b893, b3f3
1a9a, 3f45
6113, 8910
9dfa, 5c7e
0303, 7f9e
2207, 0537
f18a, 4978
5ff7, 7f76
4794, 02de
65d3, 1ddf
14ac, ed78
539e, 8e05
f683, eaaa
de2e, ca24
8e43, ec35
619e, b72b
48e8, cc03
bf9c, 12fd
bc9e, 69cc
0553, 525d
bade, 123b
6fa9, f929
2cf8, a650
9f00, 6500
686e, 8525
f832, 34a8
bb5c, bbb5
2a78, c480
3263, f263
043a, af8d
5f78, 3e15
36fb, d5a8
b0ef, a106
0259, ee2f
ac90, e390
edba, ddac
072a, 272a
841f, 54c9
3b6d, 8b24
53df, cfe5
56c5, 0e92
