9c21, f516
96a4, c6a9
e5b7, 7cb2
f1aa, 4cea
b9d4, b183
7e43, 7d4c
61b3, 3024
6fd2, 06d7
d4f4, df0d
ac23, fdd1
4963, 493c
b66d, ec9d
9854, 21b4
9ebc, 9ce9
d055, 2c59
d810, de7b
0e8e, 0f83
296a, 709d
bc97, 0b75
9ac0, 462a
ed48, ee2b
0933, 2dcb
7989, cfea
eeaa, ecf2
bc3b, 220e
f559, 1dd2
d8fe, 4d18
8125, 84f5
7fdd, e08b
399b, 8966
616d, 63cf
28d0, dc2f
cf00, c50f
199d, 1b42
ad59, ae54
3271, c9cf
0ad6, ed0b
7c7e, 7a18
a6ec, a3e3
fd58, f55f
dd53, de6c
1de2, b658
79ea, 75e6
9275, d24c
2046, e2cf
128e, 1755
3112, 6b89
dbf5, d777
ee84, 6767
f22a, 0e22
b214, 9faa
73b7, 7476
dd17, c984
07a9, 0aa4
d498, 89d3
2ac8, 12b5
3673, 9438
3f87, 4609
cf4a, 610c
acf5, a2f0
c5fa, cdfd
f93c, 6005
5070, 4fb0
394e, 31b6
831f, 0355
767a, 0077
4ea1, 4b5f
c8bf, 168f
3dab, 5775
bc82, cfd1
69db, 6e11
82cc, 6626
5816, 0396
d37d, ee22
8dc2, c506
5ca8, e30f
2f26, 234a
542c, 592d
1942, 1b90
a376, a26c
ae29, 9d7f
0194, 0a08
a7f6, 135a
cb25, b9f3
42e7, db3c
ac0f, 129a
49ed, eb00
650c, 6a37
ec78, 8a28
fca7, f3ae
5a3e, 55d7
7117, 7412
1928, 1c1b
de92, d743
c330, c132
95b0, 591d
8be5, aaca
c2d0, 1c31
666d, ff62
d450, ef28
bec3, 89d0
3f1f, 9f2c
2bbc, c1b6
32e1, 39df
2091, d791
267d, 9308
bfba, 854a
e222, db46
cced, 08a8
d12a, bd94
c17c, a316
c84a, 3915
fa25, 9627
7aad, 77ae
77a3, 4da9
81c9, 8a16
670d, 629c
ab81, a88f
f32c, 9147
0ba4, d8bd
6e47, 6ff1
d6e8, d3bb
f32b, 9141
d785, eb7e
0ba2, dbd2
abc3, 67dd
916d, 60c3
24ec, 6e9e
20a0, f663
872a, 81f6
9d2e, fe4d
52d3, 82ee
d69b, db4d
9143, 971c
dabd, 76c8
e7fa, 9ce6
5ec9, 5fcf
d174, f8e2
5416, 5881
abfd, ac79
d53c, 33de
1e54, c909
7a7a, 78af
abeb, ac57
3ccd, bc6f
b433, b6f4
4004, 197d
4ba2, fa22
76ce, dabb
efcb, daee
1050, 031c
395a, 39a6
84fb, 872e
3110, cdf9
2d04, 2001
ecc2, e352
e58b, b2dd
7c50, e83d
e327, e8ca
c88c, 6f70
0273, 04a2
dd58, 6db4
7c40, 015a
8b1a, 9a51
6728, 0658
8c67, cee8
f211, f81b
dcb6, d3e5
d1a8, 7497
2b57, c1c1
c433, 2821
d359, 6268
5873, 07a0
78e2, ac85
28b4, 0dba
462f, 4243
fa04, 1e8c
8112, f015
de46, 15bb
16c1, 137f
283d, 223a
b303, b69c
3252, 180c
f40e, 07a3
2aa6, 45df
559f, 320a
38c3, f19b
afe7, c6b4
40ce, 73f1
cf65, c060
ae19, ac7b
aca1, a2af
b6f2, b430
7869, be67
5686, 5af9
b718, ba2b
a681, cb27
91f7, 7752
dd22, 830a
ae42, af99
5992, e35f
01f7, 0386
8857, 2ebb
f6b9, 3dbc
6e42, 6f38
0b03, c54d
e294, 2d4f
d2b7, dce2
d01b, a176
b548, 56ec
31e8, 6c54
ba8e, b609
3b32, 3c0f
3917, cab1
4960, 4c35
5e50, 48f1
0b96, 089a
ff0a, c807
3027, 61b5
1356, eb7a
7300, ad9a
7e82, a7f7
52a1, 38f8
05e2, 09e7
f6bd, 9b60
fcfe, 1b0b
1982, 05c2
