f75a, 7f92
7496, fdee
39f0, 4f00
b4b2, c286
5dd1, bc82
18f6, 8af9
049b, 7036
25fd, db02
80ca, 9c6f
527f, f3a7
f8c3, 41e8
a7c8, 130f
bfcd, ca92
eca9, 2eea
bc1e, 60dd
e5cf, 337e
46d9, c92e
4dd5, e25c
f561, 4cba
d1d3, 3728
4578, df9c
48a8, a7d6
9a53, c345
b955, 2c4b
a1c4, 3794
a51a, 4a81
2a90, 5d6c
6e0a, ee02
37e5, 1090
6112, da7d
85fd, 68af
aec3, f3e9
f18b, 6b71
3800, aa05
b2cc, d9ac
c859, d358
1091, cc01
7280, cdd0
a65d, 121e
c5db, 455b
bffb, 298f
90cc, 90c1
3128, 6f99
9744, c179
e90b, 7006
defc, 3a62
f568, c547
b0b1, ce54
f5d0, c43b
601e, 2a4c
9e96, 6012
754b, f0d3
eed0, 4135
0a9a, 4a3f
81a7, 6509
2293, d2f3
d396, 1906
eab2, 380b
a32e, 2c32
241a, 22f2
2a59, fc70
c321, 0a98
f9bf, 3c49
555a, 9ab0
d6d5, bbb5
724e, 6f9d
d1dd, 11a2
9c76, 77cb
8d5f, f686
6f48, bfcb
6d3a, eddc
1acf, 5a0f
88ac, 0ea7
1035, 7b49
c3f7, 7085
5c20, bb98
6d5d, be16
0beb, 6b25
877a, 0aa2
0a05, a97f
a214, 291d
0e97, b885
a89d, 2895
7ccd, 997d
f802, a890
6f74, 64eb
becf, eb71
5d1a, 1bf3
895b, ac38
e42c, d40b
7c6d, ca69
0874, 6dc9
b984, 69a1
e50c, 4cfa
7d0b, cfe3
5c65, 9880
66f0, 53a8
10df, 4004
a385, 34cf
187d, 8117
df60, d5c6
eae4, 5502
c9ff, e2f4
e5c7, a559
0fca, 4277
8f40, 2091
c5a3, 3f30
1991, d8f6
3a46, fd51
eb8b, 7aeb
4719, a1c2
293e, a35e
1850, 1d0d
3378, e17f
2371, b32d
2ebe, 1ecd
5d58, 8b32
4151, a1de
ca68, 0c81
80e2, 0af5
68d5, 4d84
d08c, 3673
ad4b, e69c
415e, ee27
c8ec, 2f25
fca3, b341
859b, 26c1
a45c, 6cdf
f44e, 3672
0bfe, f8aa
3c35, 23a2
f4cb, 58cf
1497, 7e63
574c, 08fb
ccf4, 4981
c76b, 9821
a3f8, 8fa7
50aa, 17ac
378e, 85f6
b130, cb37
0120, ad50
21e8, 0c20
6f31, 06f8
2406, 5698
d5a1, f531
4a0c, bacc
9c4c, 717c
3418, a26c
3494, 4702
d433, b3fe
0b24, 0b19
05c5, a2f3
fed5, 1d9d
3884, 38e9
fa72, 9d30
35e5, 8245
970e, 7700
3193, cd61
772e, 9dc0
01a0, 2c98
81e1, 26b5
abdf, 4be9
26c3, 7b7d
c2c7, 721b
6af6, 078a
53a4, d014
e8c8, 0610
910d, 5be5
f031, 1359
75f5, 9d55
65c8, 67f3
0cdf, a45a
2b07, f23d
ec70, fb60
0b67, 5d66
6b48, cbe7
cc34, c8b0
526e, 166e
0d2d, 53cc
57d7, 35bd
59a9, bccd
3e0c, e256
1032, d9b1
6e70, 0250
bfae, 025e
6406, bfc4
88fe, 1f1e
1a37, 858c
ec56, 6126
976e, 82d5
3205, 9668
abec, 9129
9a70, b035
3af4, a927
d8d9, fcb9
59b9, 5dd6
0702, 2c31
de39, b359
8adc, 93a4
0451, 9518
d67b, 904a
16a5, 881e
2a14, 15d9
f6fe, 10a3
fd50, 6120
775e, b335
d497, b496
b1b3, a023
fc4c, c111
d51f, f55f
6902, 4740
2160, 3107
3136, d12b
df7c, 4e08
353d, ec5d
6fd5, 7fa9
9a5c, 6d68
278b, b996
07a6, fd97
9cb1, fec2
f4a8, 87c5
9b20, 8620
c8fe, 514d
981d, fea2
a859, 59a0
58c5, 5b17
3366, 876b
0988, 433f
ff55, 51a8
b95f, c73f
daf2, 5bba
a5ea, 7b12
c423, 4da3
d17a, 319c
9de2, d326
89b1, 39c1
98d6, 6959
eef2, 97fe
2398, 5e5a
f289, ee8e
fe08, 5703
107d, 5f18
5634, 52ab
294e, 2f21
9277, 447a
a216, 9d92
8b06, 2166
f910, 3082
70dd, 43ae
8e01, 4ed7
951b, df68
54b7, aa97
6dcd, 7aa3
4541, 3388
38b9, 3824
e336, a140
bf96, effe
59e9, f709
461a, 4e74
d743, 6748
8689, ab0d
597e, 32a8
278c, 4452
5ee3, 9efd
db50, 1c50
48db, f5dd
9900, 45a9
9603, 72c3
bd72, e06e
0cd2, 41ad
44d3, cad8
20a5, 7d1d
dc0c, f5af
d459, fa29
6960, ef9b
1509, a3b0
a1a1, c19c
b9d3, e938
5b41, 86ce
b457, e6c3
0c65, 688d
7f90, 06cc
3063, 88f8
cb73, ff2c
03ef, 1063
6bbc, 9503
63c5, b68d
8689, ab0d
4b48, 4001
25b6, be78
7751, ec2f
59d8, dc28
934c, 2ae6
98dd, 8534
9cdf, f812
39ff, 21f4
106e, 423a
18e8, 8e37
270c, d431
0fe0, ea62
c456, 8527
d074, ea78
b493, 21a8
8034, afda
a7b4, 1f3f
384b, de85
728e, 231a
46e0, 8834
201d, c5ae
ba7a, 4aea
73b5, 9af5
24f6, 2d33
