b02b, dbd0
f307, 4451
7d88, 4ff6
4262, 87d9
f248, 1578
2808, 146b
e8b0, f69b
9283, 85b8
a0d2, a703
4186, a87e
abdd, 1ba5
2051, 08ef
550d, 1ede
be48, ade6
012d, 0ee6
4272, c937
0238, a040
d9f2, 743d
9f20, 30a5
b03e, d65e
5603, 7fba
f771, ecc9
0ab8, 656b
b052, 3968
e919, 54ad
3e06, 4bad
36c0, c69f
981d, 9b7c
68be, ca9e
61c1, f131
c744, 9179
3f58, 8238
d911, bf59
4ff7, 5967
1c7e, 1558
47d1, 3b5a
9117, faa0
3b15, 4fd7
5814, 1a18
a0a6, ff10
d8fe, d905
f666, 1fcc
0eea, df10
0461, 9d2e
2e27, bfd0
7524, 0774
2d38, 960e
4c16, b78b
1770, b775
ad2a, af2a
6cb6, 2d9d
77bf, b4ab
8896, 9ac2
4309, 4eef
ffa1, df31
10c1, 5b27
7f25, f64d
7d51, 7690
7e67, 7b49
e9bf, 1ac8
69c2, c535
eedb, fb87
0142, e97c
93bc, 9260
a8dc, 16da
416c, 4a61
a345, 04af
9423, 1126
9404, 6d0b
eba2, 03fa
ec3e, 43d7
9195, b9b4
64b2, 6502
13d5, d46a
55fe, cbdf
4a29, b472
3fd5, 6ddb
345c, 9854
fa99, 1471
9ef4, 6131
edf8, 17ca
45ef, 206e
152d, c1d4
c32b, 136b
9ec2, 4fc4
bce6, c3e8
f6af, 9c2a
3f04, f28f
9ea9, fe74
1166, dcc1
2268, 8668
6c9d, baf2
0966, 267d
07be, e2d5
50c7, d047
7d28, 940f
a898, 7e02
cd7c, 23eb
adb8, ee9b
978a, 343c
ae00, a262
ea99, 536c
bc77, d5cb
4be8, fa95
0e7b, f29c
4b46, cbae
284f, 38c4
6772, c2d5
5eef, 0986
3418, e2c5
cc9b, 00c1
5489, f4f4
0547, 805a
0665, 0fca
515c, 409f
8900, 11ee
65e3, e4e6
0b6c, ed2a
b160, c212
5f89, 5438
ab9b, 7b3f
369b, aa9c
57f7, 470f
16e7, d507
0da1, 7423
08ec, 18f2
db88, b16e
d288, 2248
f7ab, 1988
99e3, 7c0b
b9fb, 41a6
