bf5e, 7c96
aecb, a8c7
9391, 4a58
6b13, b418
9681, 7066
18b8, 4c9c
22dd, 1c1f
70f5, fecb
7a19, a473
3952, 5509
bf42, 6bcd
e723, 4401
aa7c, b2cb
caf9, f3c1
fadd, 2250
7b20, b6d8
1485, b0cf
390d, 9b6b
7f76, 1944
b56e, 2568
d17c, eb08
2b21, 2855
9006, 4f11
2469, 469c
a345, 6a60
41a8, 8348
0888, d4a3
01f1, c775
c6d9, 2dad
ee8d, 6aa8
89ae, dbf0
8ec9, fb7c
3220, 3879
7afd, 2904
6473, 15be
c15f, 77fb
81e3, a685
c02a, 890d
22bf, 2deb
46a3, 081f
4a7e, 4c65
1963, 2420
7ad4, 90b6
9132, 317a
c77f, 2e29
ccee, 075c
513d, 3439
c023, c6b3
a803, 97b0
03d1, ad7b
eec9, 483f
aaf2, 9c58
618d, e5e8
a648, bbf2
d23d, f313
ffb8, 850b
6785, 049a
e4c9, b32b
9ad1, bc2a
e39c, 9e40
371a, 97c6
7eab, 5179
1703, bb6c
c331, 168c
f755, cedc
fb0c, 8ffe
6c1b, ff82
b134, e0a6
46f3, 89d6
37e2, 13ef
01c5, 5c5b
626b, a27a
baf7, 66ef
afd4, 38c3
f685, 11e3
f91e, 5591
9235, aa93
b8b7, a13c
f210, 0071
f38c, 9fcc
fc1c, 8a43
18fb, 8397
7b4b, cd31
b3c2, 4ca9
5381, 3ae3
52e6, bd19
a8dc, 1c06
8189, 1225
4c03, 3dfd
19ba, 1ce1
89dc, ef67
2dd0, c93f
3f5e, f6dc
15aa, 7b89
325d, f11b
7ff3, 7395
931c, a105
90f6, c302
eab3, d4bb
2667, a1ba
a04e, e085
7adb, a379
c20a, 3722
c18b, c5c3
46e3, 3749
ed74, 2cd5
144a, 6c9e
6a69, cfe6
6ef8, 2ce5
c88e, ae4e
f33a, d8c3
5037, a2d9
f93e, 8c17
8e8d, 24d1
049d, aeb4
d269, ff49
daa2, 07c5
435c, a449
47d1, b351
40b7, 3697
3658, 1c5a
233e, 13f2
018d, b2bb
df63, 05ec
05a9, 883b
5bb2, 246b
b713, 79eb
f4e8, 7b5d
c0d4, c664
b6a6, 5aed
0a1e, 0758
4445, f2c1
c827, 3687
ef08, c7fb
762b, 03fe
b9c7, e315
4730, eec2
23cf, a348
9462, f469
20a0, ec98
3d71, 4896
a591, fd61
f10c, 79f7
db49, 0c2e
b36d, cc94
29e1, 4521
411e, f47f
4723, 73a9
635c, e4f0
81d5, f1f7
de59, a888
281b, afe3
75e6, 7ee7
5259, 2e2e
4413, 49fd
c239, cb06
8fd0, 5500
5047, cded
16e7, 6f3e
ca6b, 0ae4
9381, e2b3
0b9d, 14cd
6c73, c439
0ae7, 37d6
7aa9, f473
fdb4, 49b7
e4c0, ea4d
0f8a, 2428
4855, 1d97
3a8a, 782a
84e7, 0daa
975d, 753d
cf36, 1cf1
c4c7, 8268
451c, 4132
7a8e, 39f9
517a, 1ecf
009c, 08af
4b3f, 4d0f
a62a, e934
a7c5, 959f
e96b, f8a8
afba, 7ab0
dd36, 746a
54c6, f135
697e, b0cb
6270, a1d0
19b7, 34ea
9dfc, 7e3c
5b39, 8ce8
f922, 0262
9cd5, f6f5
29ac, 1805
1340, 58f0
cdaa, 82bd
93d9, ca64
9c1c, 919e
7e9a, d70f
3fb8, 0fbe
2b7b, 7af5
5d1d, 8f93
37ea, 1a47
b3b8, e7c2
02ed, 5ae9
e366, 9558
a2b3, 4470
10bc, 45e6
0797, 7bcb
bde7, f132
0dba, 026b
e744, 7067
f9e0, ab5a
b39e, 7665
50c0, 6ed0
8579, ff08
60e4, 6108
2f05, 0afd
e0ed, 67c9
b35d, ab48
223a, 2336
fa85, 5f4e
6718, 5442
c51f, b92d
ec87, b702
695d, 9c0e
e086, 7857
4130, c831
ffcd, 95dc
0f54, 8da8
bc01, b005
9008, 66c0
a924, 20ab
9216, c010
9644, fc1f
97f7, d7aa
abd7, a53b
6567, 1ef5
3b9c, 0dfc
ed02, 5d09
f2f6, e281
b30b, 67ec
c7c1, d3d4
4617, 527c
cc9b, e421
d1fd, ffe7
df38, 94ea
a530, 4a8e
f516, 11ad
3454, 5a09
e74c, f9f0
ddf8, f86a
a785, f707
bb27, 9daf
40e7, 7073
37b1, 4a82
f3b2, 1ce6
dca3, d5a5
e7f0, 6d45
12ab, 8428
3a40, 952d
4610, bf98
dc7f, c658
6566, f45a
9914, 3154
89ca, f483
844c, 5bf4
fa4c, 7b58
57f6, 6341
a8cf, 815a
71f4, 271f
705e, e875
8c0d, 809f
04dc, 5597
de0b, 916a
4e3e, 91bd
a825, 07fd
876a, 9998
54e3, 9ba5
631e, 6f79
d186, 1036
2003, 679a
5cdd, 926c
32bb, 1376
4abf, 4671
cd67, 153b
80ee, 9c20
ab45, 0876
09c4, ac4e
f7d0, a037
1b1f, 1d1c
cfc8, c974
a1e3, 7f7b
4261, 3f22
e65b, c117
7923, b088
e545, 75a2
1b3c, e675
0057, 2eb5
b623, 4ccb
5507, a00a
6f1c, 5098
ccf4, cc38
7444, 46a0
1c62, 61c6
06d6, b337
a86d, 427d
c2c4, c2b3
46db, 4982
9685, 4c3e
9180, bee5
