20ab, 3c4b
c557, 53c6
83a2, 6f37
0c94, c17a
160c, b415
43b4, 2e44
2c3e, ad81
2101, a9f8
1e1b, d388
42b3, 448f
378f, 2662
44a7, 16fd
6d70, 3d4f
67bd, fbef
bc5d, 9ea9
a0a6, 4135
fc68, e9b4
0464, 0406
9f5d, 0458
81ed, 147c
8619, b6f7
d428, 98b5
6da8, e03d
45c4, 83b6
c2ad, 2a86
f2bf, 16ca
a0ed, 13f3
24ad, 5d02
45b2, 5c51
01b6, 4eaf
390f, ef25
3d19, 72a3
6f63, 4a6a
3d0f, b65c
b3a1, 754f
d37e, b867
0b3f, ebb3
d7da, 6573
8d87, aea6
cb09, 4bc4
5dd3, a802
a259, 5826
f198, 170b
63e2, 50a9
d4ad, 04ad
9fd0, b2c4
7579, 6c8f
cdff, ca8b
d0f8, 7ce2
a538, 3b1b
25df, caae
289e, 88ea
d147, 4940
d1fe, 7ee8
d297, cb1f
3c11, ba15
89fa, 2209
cf41, 9ea5
90fb, 15e8
150d, 3cd3
e0e8, 4a01
688f, 1527
a0bb, 1257
d960, 0324
a0bb, 1257
7445, 139c
5d8b, 7716
5faf, 5946
a9da, 2e27
11ef, aebb
26f6, 99d6
4ed2, 0db8
70f9, eb45
472f, bad2
ce23, fa8b
77d4, 56f6
740e, 371c
5e25, f7c4
511a, 6676
aaa0, 3e0c
d246, d70b
b598, 06b6
f934, c69f
2c1d, 349d
a5d7, af32
190e, 751b
a530, 5612
0c6f, 9a52
e190, c46e
c1a1, c515
9439, 4ae4
a8d3, edfe
e178, de7c
3876, 5e3a
87d4, 09f6
546d, a66f
b134, eea1
c58e, 249c
b1f2, ed37
b14a, aeba
4d31, 3264
b718, 094b
b4d2, 768e
1dbb, c8e0
4e12, fc45
1d64, fa5f
1dc2, 6725
2412, 4a79
e77f, 6aac
8b4d, 45f5
28bd, 71d6
00c7, c693
af92, d852
abfa, 363c
2656, 0031
3036, 0e26
3339, 37f6
b005, d15c
e878, 7e49
ff2e, a698
3416, 507a
37bd, 950e
e6ad, b3da
8100, 7f6d
314d, 60ca
037d, b61a
dc90, c2fe
fab9, fdac
8aee, a354
c8de, f400
765c, 3712
1b53, 42f3
adf1, f58e
cf6b, e600
1dcc, 016c
da4b, 0148
094b, b718
59e4, c18a
5072, 5718
1c22, 80d0
05c0, c1f8
a56d, 90c2
3019, 8306
29cf, bf43
ce7c, a18a
5827, aee5
92d1, 023a
5d4c, 8f70
489b, 6b1f
4fb9, 95a7
e51a, cbaf
5ed9, 9003
0ea8, 8cd4
2430, 587f
52ae, b983
0499, bac7
d2f1, 445a
ade3, c329
a5c7, 4454
c238, 5288
3095, 19e0
3443, df65
ae8f, c5cc
fc9b, 052b
4ace, c9cc
b9d5, be76
c26a, 9456
38fa, aaaf
fe5f, 1b00
7522, 0ed1
ae56, dbdc
a16c, 64c6
48db, 6e55
4dac, a38a
20d1, 7c48
31bb, ed26
4f1d, 4db2
99e1, 934e
ced2, 5f26
9b9e, 4e47
ef64, a87f
13d0, 2540
42ee, 59ed
bf44, 4c27
e843, 5f48
